"","RegionName","RegionCode"
"1","Acre","BR_AC"
"2","Alagoas","BR_AL"
"3","Amazonas","BR_AM"
"4","Amapa","BR_AP"
"5","Bahia","BR_BA"
"6","Ceara","BR_CE"
"7","Distrito Federal","BR_DF"
"8","Espirito Santo","BR_ES"
"9","Goias","BR_GO"
"10","Maranhao","BR_MA"
"11","Minas Gerais","BR_MG"
"12","Mato Grosso do Sul","BR_MS"
"13","Mato Grosso","BR_MT"
"14","Para","BR_PA"
"15","Paraiba","BR_PB"
"16","Pernambuco","BR_PE"
"17","Piaui","BR_PI"
"18","Parana","BR_PR"
"19","Rio de Janeiro","BR_RJ"
"20","Rio Grande do Norte","BR_RN"
"21","Rondonia","BR_RO"
"22","Roraima","BR_RR"
"23","Rio Grande do Sul","BR_RS"
"24","Santa Catarina","BR_SC"
"25","Sergipe","BR_SE"
"26","Sao Paulo","BR_SP"
"27","Tocantins","BR_TO"
"28","England","UK_ENG"
"29","Northern Ireland","UK_NIR"
"30","Scotland","UK_SCO"
"31","Wales","UK_WAL"
"32","Alaska","US_AK"
"33","Alabama","US_AL"
"34","Arkansas","US_AR"
"35","Arizona","US_AZ"
"36","California","US_CA"
"37","Colorado","US_CO"
"38","Connecticut","US_CT"
"39","Washington DC","US_DC"
"40","Delaware","US_DE"
"41","Florida","US_FL"
"42","Georgia","US_GA"
"43","Hawaii","US_HI"
"44","Iowa","US_IA"
"45","Idaho","US_ID"
"46","Illinois","US_IL"
"47","Indiana","US_IN"
"48","Kansas","US_KS"
"49","Kentucky","US_KY"
"50","Louisiana","US_LA"
"51","Massachusetts","US_MA"
"52","Maryland","US_MD"
"53","Maine","US_ME"
"54","Michigan","US_MI"
"55","Minnesota","US_MN"
"56","Missouri","US_MO"
"57","Mississippi","US_MS"
"58","Montana","US_MT"
"59","North Carolina","US_NC"
"60","North Dakota","US_ND"
"61","Nebraska","US_NE"
"62","New Hampshire","US_NH"
"63","New Jersey","US_NJ"
"64","New Mexico","US_NM"
"65","Nevada","US_NV"
"66","New York","US_NY"
"67","Ohio","US_OH"
"68","Oklahoma","US_OK"
"69","Oregon","US_OR"
"70","Pennsylvania","US_PA"
"71","Rhode Island","US_RI"
"72","South Carolina","US_SC"
"73","South Dakota","US_SD"
"74","Tennessee","US_TN"
"75","Texas","US_TX"
"76","Utah","US_UT"
"77","Virginia","US_VA"
"78","Virgin Islands","US_VI"
"79","Vermont","US_VT"
"80","Washington","US_WA"
"81","Wisconsin","US_WI"
"82","West Virginia","US_WV"
"83","Wyoming","US_WY"
