CountryName	0-4	5-14	15-34	35-64	65+
Argentina	0.0827	0.1617	0.3066	0.3354	0.1137
Bahrain	0.0635	0.1193	0.4049	0.3857	0.0265
Bahamas	0.0688	0.1472	0.3232	0.3833	0.0775
Chile	0.0608	0.1316	0.3027	0.3825	0.1224
Colombia	0.0729	0.1489	0.3371	0.3505	0.0906
Cape Verde	0.0940	0.1874	0.3584	0.3129	0.0479
Costa Rica	0.0683	0.1400	0.3177	0.3715	0.1025
Israel	0.0980	0.1803	0.2806	0.3169	0.1241
Kuwait	0.0678	0.1468	0.2427	0.5124	0.0304
Oman	0.0888	0.1360	0.4246	0.3255	0.0251
Peru	0.0859	0.1610	0.3187	0.3471	0.0873
Qatar	0.0469	0.0895	0.4576	0.3891	0.0169
Brazil	0.0681	0.1390	0.3174	0.3796	0.0959
United States / Arkansas	0.0625	0.1303	0.2632	0.3704	0.1736
United States / Idaho	0.0650	0.1426	0.2675	0.3622	0.1627
United States / Kentucky	0.0610	0.1254	0.2621	0.3834	0.1680
United States / Missouri	0.0600	0.1254	0.2640	0.3776	0.1730
United States / Nevada	0.0602	0.1273	0.2657	0.3858	0.1610
United States / Oklahoma	0.0646	0.1360	0.2737	0.3652	0.1605
United States / Tennessee	0.0598	0.1237	0.2663	0.3827	0.1674
Albania	0.0578	0.1146	0.3114	0.3692	0.1470
United Arab Emirates	0.0505	0.0977	0.4383	0.4010	0.0126
Azerbaijan	0.0814	0.1537	0.3144	0.3831	0.0674
Belarus	0.0580	0.1144	0.2472	0.4246	0.1558
Belize	0.0992	0.1928	0.3716	0.2863	0.0501
Canada	0.0528	0.1049	0.2573	0.4039	0.1810
Cyprus	0.0537	0.1121	0.3000	0.3902	0.1441
Germany	0.0484	0.0911	0.2260	0.4175	0.2169
Denmark	0.0533	0.1095	0.2538	0.3818	0.2016
Estonia	0.0521	0.1128	0.2333	0.3980	0.2037
Greece	0.0393	0.0973	0.2093	0.4313	0.2228
Iran	0.0900	0.1565	0.3136	0.3733	0.0656
Lebanon	0.0829	0.1677	0.3333	0.3406	0.0755
Latvia	0.0604	0.1039	0.2211	0.4077	0.2069
Monaco	0.05	0.10	0.35	0.35	0.15
Moldova	0.0500	0.1087	0.2953	0.4209	0.1249
Puerto Rico	0.0295	0.1281	0.2201	0.4141	0.2083
Palestine	0.1360	0.2478	0.3632	0.2211	0.0322
Kosovo	0.0480	0.1057	0.2556	0.4001	0.1906
Russia	0.0640	0.1201	0.2414	0.4199	0.1551
Ukraine	0.0483	0.1116	0.2392	0.4314	0.1695
United Kingdom / Scotland	0.0497	0.1087	0.2528	0.3976	0.1911
United States / Washington DC	0.0643	0.0955	0.3578	0.3587	0.1238
United States / Maryland	0.0599	0.1237	0.2614	0.3963	0.1587
United States / Maine	0.0473	0.1042	0.2343	0.4020	0.2122
United States / New Hampshire	0.0468	0.1055	0.2535	0.4075	0.1867
United States / Oregon	0.0540	0.1165	0.2642	0.3836	0.1816
United States / Virginia	0.0592	0.1219	0.2699	0.3898	0.1592
United States / Washington	0.0599	0.1229	0.2760	0.3823	0.1589
Afghanistan	0.1457	0.2725	0.3633	0.1920	0.0265
