"","CountryName","CountryCode"
"1","Aruba","ABW"
"2","Afghanistan","AFG"
"3","Angola","AGO"
"4","Albania","ALB"
"5","Andorra","AND"
"6","United Arab Emirates","ARE"
"7","Argentina","ARG"
"8","Australia","AUS"
"9","Austria","AUT"
"10","Azerbaijan","AZE"
"11","Burundi","BDI"
"12","Belgium","BEL"
"13","Benin","BEN"
"14","Burkina Faso","BFA"
"15","Bangladesh","BGD"
"16","Bulgaria","BGR"
"17","Bahrain","BHR"
"18","Bahamas","BHS"
"19","Bosnia and Herzegovina","BIH"
"20","Belarus","BLR"
"21","Belize","BLZ"
"22","Bermuda","BMU"
"23","Bolivia","BOL"
"24","Brazil","BRA"
"25","Barbados","BRB"
"26","Brunei","BRN"
"27","Bhutan","BTN"
"28","Botswana","BWA"
"29","Central African Republic","CAF"
"30","Canada","CAN"
"31","Switzerland","CHE"
"32","Chile","CHL"
"33","China","CHN"
"34","Cote d'Ivoire","CIV"
"35","Cameroon","CMR"
"36","Democratic Republic of Congo","COD"
"37","Congo","COG"
"38","Colombia","COL"
"39","Comoros","COM"
"40","Cape Verde","CPV"
"41","Costa Rica","CRI"
"42","Cuba","CUB"
"43","Cyprus","CYP"
"44","Czech Republic","CZE"
"45","Germany","DEU"
"46","Djibouti","DJI"
"47","Dominica","DMA"
"48","Denmark","DNK"
"49","Dominican Republic","DOM"
"50","Algeria","DZA"
"51","Ecuador","ECU"
"52","Egypt","EGY"
"53","Eritrea","ERI"
"54","Spain","ESP"
"55","Estonia","EST"
"56","Ethiopia","ETH"
"57","Finland","FIN"
"58","Fiji","FJI"
"59","France","FRA"
"60","Faeroe Islands","FRO"
"61","Gabon","GAB"
"62","United Kingdom","GBR"
"63","Georgia","GEO"
"64","Ghana","GHA"
"65","Guinea","GIN"
"66","Gambia","GMB"
"67","Greece","GRC"
"68","Greenland","GRL"
"69","Guatemala","GTM"
"70","Guam","GUM"
"71","Guyana","GUY"
"72","Hong Kong","HKG"
"73","Honduras","HND"
"74","Croatia","HRV"
"75","Haiti","HTI"
"76","Hungary","HUN"
"77","Indonesia","IDN"
"78","India","IND"
"79","Ireland","IRL"
"80","Iran","IRN"
"81","Iraq","IRQ"
"82","Iceland","ISL"
"83","Israel","ISR"
"84","Italy","ITA"
"85","Jamaica","JAM"
"86","Jordan","JOR"
"87","Japan","JPN"
"88","Kazakhstan","KAZ"
"89","Kenya","KEN"
"90","Kyrgyz Republic","KGZ"
"91","Cambodia","KHM"
"92","South Korea","KOR"
"93","Kuwait","KWT"
"94","Laos","LAO"
"95","Lebanon","LBN"
"96","Liberia","LBR"
"97","Libya","LBY"
"98","Sri Lanka","LKA"
"99","Lesotho","LSO"
"100","Lithuania","LTU"
"101","Luxembourg","LUX"
"102","Latvia","LVA"
"103","Macao","MAC"
"104","Morocco","MAR"
"105","Monaco","MCO"
"106","Moldova","MDA"
"107","Madagascar","MDG"
"108","Mexico","MEX"
"109","Mali","MLI"
"110","Myanmar","MMR"
"111","Mongolia","MNG"
"112","Mozambique","MOZ"
"113","Mauritania","MRT"
"114","Mauritius","MUS"
"115","Malawi","MWI"
"116","Malaysia","MYS"
"117","Namibia","NAM"
"118","Niger","NER"
"119","Nigeria","NGA"
"120","Nicaragua","NIC"
"121","Netherlands","NLD"
"122","Norway","NOR"
"123","Nepal","NPL"
"124","New Zealand","NZL"
"125","Oman","OMN"
"126","Pakistan","PAK"
"127","Panama","PAN"
"128","Peru","PER"
"129","Philippines","PHL"
"130","Papua New Guinea","PNG"
"131","Poland","POL"
"132","Puerto Rico","PRI"
"133","Portugal","PRT"
"134","Paraguay","PRY"
"135","Palestine","PSE"
"136","Qatar","QAT"
"137","Kosovo","RKS"
"138","Romania","ROU"
"139","Russia","RUS"
"140","Rwanda","RWA"
"141","Saudi Arabia","SAU"
"142","Sudan","SDN"
"143","Senegal","SEN"
"144","Singapore","SGP"
"145","Solomon Islands","SLB"
"146","Sierra Leone","SLE"
"147","El Salvador","SLV"
"148","San Marino","SMR"
"149","Somalia","SOM"
"150","Serbia","SRB"
"151","South Sudan","SSD"
"152","Suriname","SUR"
"153","Slovak Republic","SVK"
"154","Slovenia","SVN"
"155","Sweden","SWE"
"156","Eswatini","SWZ"
"157","Seychelles","SYC"
"158","Syria","SYR"
"159","Chad","TCD"
"160","Togo","TGO"
"161","Thailand","THA"
"162","Tajikistan","TJK"
"163","Turkmenistan","TKM"
"164","Timor-Leste","TLS"
"165","Tonga","TON"
"166","Trinidad and Tobago","TTO"
"167","Tunisia","TUN"
"168","Turkey","TUR"
"169","Taiwan","TWN"
"170","Tanzania","TZA"
"171","Uganda","UGA"
"172","Ukraine","UKR"
"173","Uruguay","URY"
"174","United States","USA"
"175","Uzbekistan","UZB"
"176","Venezuela","VEN"
"177","United States Virgin Islands","VIR"
"178","Vietnam","VNM"
"179","Vanuatu","VUT"
"180","Yemen","YEM"
"181","South Africa","ZAF"
"182","Zambia","ZMB"
"183","Zimbabwe","ZWE"
