"date","countrycode2","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"2020/01/06","LK",21323734,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","LK",21323734,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","LK",21323734,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/27","LK",21323734,0,0,0,0,0,0,0,0,0,0,0,0
"2020/02/03","LK",21323734,1,0,1,0,1,0,1,1,4.6896101780298e-08,4.6896101780298e-08,4.6896101780298e-08,4.6896101780298e-08
"2020/02/10","LK",21323734,0,0,1,0,1,0,1,1,4.6896101780298e-08,0,4.6896101780298e-08,4.6896101780298e-08
"2020/02/17","LK",21323734,0,0,1,0,1,0,1,1,4.6896101780298e-08,0,4.6896101780298e-08,4.6896101780298e-08
"2020/02/24","LK",21323734,0,0,1,0,1,0,1,1,4.6896101780298e-08,0,4.6896101780298e-08,4.6896101780298e-08
"2020/03/02","LK",21323734,0,0,1,0,1,0,1,1,4.6896101780298e-08,0,4.6896101780298e-08,4.6896101780298e-08
"2020/03/09","LK",21323734,0,0,1,0,1,0,1,1,4.6896101780298e-08,0,4.6896101780298e-08,4.6896101780298e-08
"2020/03/16","LK",21323734,18,0,19,0,19,0,19,19,8.91025933825661e-07,8.44129832045363e-07,8.91025933825661e-07,8.91025933825661e-07
"2020/03/23","LK",21323734,68,0,86,0,87,0,87,87,4.07996085488592e-06,3.18893492106026e-06,4.07996085488592e-06,4.07996085488592e-06
"2020/03/30","LK",21323734,33,1,119,1,120,1,120,120,5.62753221363575e-06,1.54757135874983e-06,5.62753221363575e-06,5.62753221363575e-06
"2020/04/06","LK",21323734,46,4,165,5,166,5,166,166,7.78475289552946e-06,2.15722068189371e-06,7.78475289552946e-06,7.78475289552946e-06
"2020/04/13","LK",21323734,44,2,209,7,210,7,210,210,9.84818137386257e-06,2.06342847833311e-06,9.84818137386257e-06,9.84818137386257e-06
"2020/04/20","LK",21323734,85,0,294,7,295,7,295,295,1.38343500251879e-05,3.98616865132533e-06,1.38343500251879e-05,1.38343500251879e-05
"2020/04/27","LK",21323734,228,0,522,7,523,7,522,523,2.45266612310958e-05,1.06923112059079e-05,2.44797651293155e-05,2.45266612310958e-05
"2020/05/04","LK",21323734,195,0,699,7,718,7,717,718,3.36714010782539e-05,9.1447398471581e-06,3.36245049764736e-05,3.36714010782539e-05
"2020/05/11","LK",21323734,145,2,776,9,863,9,862,863,4.04713358363971e-05,6.7999347581432e-06,4.04244397346168e-05,4.04713358363971e-05
"2020/05/18","LK",21323734,118,0,861,8,981,9,980,981,4.60050758464723e-05,5.53374001007516e-06,4.5958179744692e-05,4.60050758464723e-05
"2020/05/25","LK",21323734,160,0,975,4,1141,9,1140,1141,5.350845213132e-05,7.50337628484767e-06,5.34615560295397e-05,5.350845213132e-05
"2020/06/01","LK",21323734,492,1,1423,3,1633,10,1632,1633,7.65813342072266e-05,2.30728820759066e-05,7.65344381054463e-05,7.65813342072266e-05
"2020/06/08","LK",21323734,202,1,1540,4,1835,11,1816,1834,8.60543467668468e-05,9.47301255962019e-06,8.51633208330211e-05,8.60074506650664e-05
"2020/06/15","LK",21323734,54,0,1366,4,1889,11,1802,1888,8.85867362629828e-05,2.53238949613609e-06,8.45067754080969e-05,8.85398401612025e-05
"2020/06/22","LK",21323734,61,0,1232,4,1950,11,1830,1949,9.1447398471581e-05,2.86066220859818e-06,8.58198662579453e-05,9.14005023698007e-05
"2020/06/29","LK",21323734,87,0,1174,2,2037,11,1871,2036,9.55273593264669e-05,4.07996085488592e-06,8.77426064309375e-05,9.54804632246866e-05
"2020/07/06","LK",21323734,39,0,1095,2,2076,11,1866,2075,9.73563072958985e-05,1.82894796943162e-06,8.7508125922036e-05,9.73094111941183e-05
"2020/07/13","LK",21323734,541,0,1476,2,2617,11,2322,2616,0.00012272709835904,2.53707910631412e-05,0.000108892748333852,0.000122680202257259
"2020/07/20","LK",21323734,107,0,1091,1,2724,11,2201,2705,0.000127744981249532,5.01788289049188e-06,0.000103218320018436,0.000126853955315706
"2020/07/27","LK",21323734,58,0,947,0,2782,11,2064,2695,0.000130464955152789,2.71997390325728e-06,9.6793554074535e-05,0.000126384994297903
"2020/08/03","LK",21323734,41,0,934,0,2823,11,1960,2703,0.000132387695325781,1.92274017299222e-06,9.1916359489384e-05,0.000126760163112145
"2020/08/10","LK",21323734,21,0,894,0,2844,11,1863,2678,0.000133372513463167,9.84818137386257e-07,8.73674376166951e-05,0.000125587760567638
"2020/08/17","LK",21323734,49,0,856,0,2893,11,1752,2683,0.000135670422450402,2.2979089872346e-06,8.2161970319082e-05,0.000125822241076539
"2020/08/24","LK",21323734,60,1,877,1,2953,12,1320,2658,0.00013848418855722,2.81376610681788e-06,6.19028543499933e-05,0.000124649838532032
