Attribute,Best Lag,Miscoding
c1_school.closing,8,0.013722971356363032
c2_workplace.closing,18,0.10324955366612991
c2_flag,9,0.002335772797351441
c3_cancel.public.events,1,0.002851684321652955
c4_restrictions.on.gatherings,29,0.012356201124279645
c5_close.public.transport,28,0.02009758457361091
c6_stay.at.home.requirements,29,0.005997133014922062
c6_flag,7,0.01199247695837015
c7_restrictions.on.internal.movement,12,0.006612330778071613
c8_international.travel.controls,1,0.017448669356058762
e1_income.support,1,0.022585710151144304
e2_debt.contract.relief,1,0.024806611218263018
e3_fiscal.measures,1,0.0011545416732067354
h2_testing.policy,13,0.017269838302912264
h3_contact.tracing,1,0.012654406953748207
h4_emergency.investment.in.healthcare,1,0.000864426466241261
h5_investment.in.vaccines,1,0.0002871623569507255
h6_facial.coverings,29,0.005049412125044995
confirmedcases,29,0.022816011246746926
stringencyindex,6,0.046137829580475194
stringencyindexfordisplay,5,0.043047000880698585
stringencylegacyindex,20,0.03314593342672748
stringencylegacyindexfordisplay,20,0.033182694033870364
governmentresponseindex,29,0.02500709918601701
governmentresponseindexfordisplay,29,0.025754029422728614
containmenthealthindex,29,0.023118575632328647
containmenthealthindexfordisplay,29,0.023937278256627625
economicsupportindex,1,0.02247746258137589
economicsupportindexfordisplay,1,0.022514323608977982
cases,29,0.027520606338566806
owid_total_cases,29,0.023938374702805687
owid_new_cases,29,0.025602898135871837
owid_new_cases_smoothed,24,0.01605903898073527
owid_total_cases_per_million,29,0.023938374702805687
owid_new_cases_per_million,29,0.025602898135871837
owid_new_cases_smoothed_per_million,24,0.01605903898073527
owid_reproduction_rate,29,0.06414258892055524
owid_stringency_index,6,0.049758482045328345
conf_cases,3,0.005797232298664904
conf_cases_prev_week,19,0.0
conf_cases_infected,8,0.015153060202202149
conf_cases_contagious,14,0.0003252657122449603
conf_cases_active,28,0.016007619997144968
conf_p_cases_infected,8,0.015153060202202149
conf_p_cases,3,0.005797232298664904
conf_p_cases_contagious,14,0.0003252657122449603
conf_p_cases_active,28,0.016007619997144968
ccfr_cases,29,0.027520606338566806
ccfr_cum_cases,29,0.022816011246746926
