Attribute,Best Lag,Miscoding
c1_school.closing,6,0.03590978151218248
c2_workplace.closing,28,0.019797609964048217
c3_cancel.public.events,28,0.019797609964048217
c4_restrictions.on.gatherings,28,0.019797609964048217
c5_close.public.transport,29,0.00822478420194103
c6_stay.at.home.requirements,28,0.038375825048584576
c8_international.travel.controls,1,0.028827396859167395
e1_income.support,26,0.030452656500264404
e2_debt.contract.relief,28,0.040077511922584456
e3_fiscal.measures,1,0.0005437651186627992
h1_public.information.campaigns,21,0.0078048000161859725
h2_testing.policy,18,0.023939504177446645
h3_contact.tracing,26,0.0044729437176462385
h4_emergency.investment.in.healthcare,1,0.0005412336507584889
h6_facial.coverings,4,0.03177567757577865
confirmedcases,20,0.03268487721157614
stringencyindex,28,0.04067922808142237
stringencyindexfordisplay,19,0.04710276262782454
stringencylegacyindex,20,0.04721207513331619
stringencylegacyindexfordisplay,20,0.04623064098894369
governmentresponseindex,16,0.052219236804641384
governmentresponseindexfordisplay,16,0.05109231221241525
containmenthealthindex,13,0.04526644526689274
containmenthealthindexfordisplay,13,0.04508614374343401
economicsupportindex,19,0.03041466832200822
economicsupportindexfordisplay,19,0.028565638620382548
cases,21,0.004315618317552252
owid_total_cases,29,0.042717337801835606
owid_new_cases,28,0.0051656461536326356
owid_new_cases_smoothed,29,0.01297066047321121
owid_total_cases_per_million,29,0.042717337801835606
owid_new_cases_per_million,28,0.0051656461536326356
owid_new_cases_smoothed_per_million,29,0.01297066047321121
owid_stringency_index,28,0.047747128822904064
conf_cases,4,0.00333518704801002
conf_cases_prev_week,25,0.0
conf_cases_infected,25,0.0010737559922091985
conf_cases_contagious,19,0.0006856656009972839
conf_cases_active,25,0.0010737559922091985
conf_p_cases_infected,25,0.0010737559922091985
conf_p_cases,4,0.00333518704801002
conf_p_cases_contagious,19,0.0006856656009972839
conf_p_cases_active,25,0.0010737559922091985
ccfr_cases,21,0.004315618317552252
ccfr_cum_cases,20,0.03268487721157614
