Attribute,Best Lag,Miscoding
c1_school.closing,17,0.009748330640597032
c2_workplace.closing,26,0.012144267253567998
c3_cancel.public.events,1,0.007517395774118006
c4_restrictions.on.gatherings,29,0.011065217770078307
c5_close.public.transport,11,0.007861490325968445
c5_flag,1,0.003629241880186837
c6_stay.at.home.requirements,1,0.020077566299220053
c7_restrictions.on.internal.movement,29,0.03070350844882644
c8_international.travel.controls,14,0.02887839402156253
e1_income.support,1,0.012488401312577429
e1_flag,1,0.0053075563298537656
e3_fiscal.measures,1,0.0005330262682286711
h1_public.information.campaigns,1,0.0012112776990534308
h2_testing.policy,1,0.01655309772234128
h3_contact.tracing,1,0.022713828173204095
h6_facial.coverings,1,0.017207999542632746
confirmedcases,29,0.04304685617638078
confirmeddeaths,29,0.0398026675428554
stringencyindex,16,0.022864933180169286
stringencyindexfordisplay,1,0.023960818442224006
stringencylegacyindex,14,0.02143309431288907
stringencylegacyindexfordisplay,13,0.02048622268413583
governmentresponseindex,1,0.0209874073007106
governmentresponseindexfordisplay,1,0.020364860074086402
containmenthealthindex,1,0.026742514656432653
containmenthealthindexfordisplay,1,0.026576197380089976
economicsupportindex,14,0.01873537162146961
economicsupportindexfordisplay,19,0.01873537162146961
cases,28,0.016998958617236947
deaths,23,0.012054534377160224
avgdeaths7days,29,0.03194927975643438
conf_cases,18,2.5031985938115422e-17
conf_deaths,13,0.00238918517020766
conf_cases_prev_week,24,0.00013226421069640246
conf_deaths_prev_week,24,0.00013226421069640246
conf_cases_infected,22,1.9843985272410716e-05
conf_cum_deaths,29,0.000859584747554802
conf_cases_contagious,29,0.000859584747554802
conf_cases_active,22,1.9843985272410716e-05
conf_p_cases_infected,22,1.9843985272410716e-05
conf_p_cases,18,2.5031985938115422e-17
conf_p_cases_contagious,29,0.000859584747554802
conf_p_cases_active,22,1.9843985272410716e-05
ccfr_cases,28,0.016998958617236947
ccfr_deaths,23,0.012054534377160224
ccfr_cum_cases,29,0.04304685617638078
ccfr_cum_deaths,29,0.0398026675428554
ccfr_cases_infected,27,0.04057115147286358
ccfr_cases_infected_low,26,0.03869642855404375
ccfr_cases_infected_high,29,0.0351187299224405
ccfr_cases_daily,28,0.008508040601054381
ccfr_cases_contagious,29,0.012825633664111767
ccfr_cases_active,29,0.019482741938111104
ccfr_p_cases_infected,27,0.04057115147286358
ccfr_p_cases_infected_low,26,0.03869642855404375
ccfr_p_cases_infected_high,29,0.0351187299224405
ccfr_p_cases_daily,28,0.008508040601054381
ccfr_p_cases_contagious,29,0.012825633664111767
ccfr_p_cases_active,29,0.019482741938111104
