"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_fatalities_smooth","p_cases_fatalities_smooth_low","p_cases_fatalities_smooth_high","p_cases_stillsick_smooth","p_cases_stillsick_smooth_low","p_cases_stillsick_smooth_high"
"2020-03-19","ES","ESNC",654214,NA,NA,NA,NA,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00174041166951276,-0.0016587320500177,0.00513955538904322
"2020-03-20","ES","ESNC",654214,NA,NA,NA,NA,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00174971394904009,-0.00160919968296847,0.00510862758104865
"2020-03-21","ES","ESNC",654214,NA,NA,NA,NA,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00175906594807093,-0.00155909078275,0.00507722267889186
"2020-03-22","ES","ESNC",654214,0.02,0,0,0,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00176846793234999,-0.00150840062163707,0.00504533648633704
"2020-03-23","ES","ESNC",654214,0.02,0,0,0,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00177792016904199,-0.00145712443969996,0.00501296477778395
"2020-03-24","ES","ESNC",654214,0.03,0,0,0,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00178742292673966,-0.00140525744408311,0.00498010329756242
"2020-03-25","ES","ESNC",654214,0.03,0,0,0,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.0017969764754713,-0.00135279480977079,0.00494674776071339
"2020-03-26","ES","ESNC",654214,0.03,0,0,0,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00180658108670877,-0.00129973167871045,0.00491289385212798
"2020-03-27","ES","ESNC",654214,0.026,0,0,0,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00181623703337456,-0.00124606316062276,0.00487853722737189
"2020-03-28","ES","ESNC",654214,0.0309090909090909,0,0,0,0.0259641528973288,0.02419424792769,0.0277340578669676,0.0833333333333335,0.0833333333333335,0.0833333333333335,0.00182594458985009,-0.00119178433228772,0.0048436735119879
