"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high"
"2020-03-22","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999964508,0.0899977263028559,0.0900022736900458
"2020-03-23","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999984563,0.0899954765905803,0.0900045234063323
"2020-03-24","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999986405,0.089997283998469,0.0900027159988119
"2020-03-25","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999970034,0.0899979818048626,0.0900020181891442
"2020-03-26","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999970341,0.0899980941412416,0.0900019058528265
"2020-03-27","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999988758,0.0899970680703617,0.0900029319273899
"2020-03-28","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999970955,0.0899964881940307,0.0900035118001603
"2020-03-29","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999971057,0.089998549403822,0.0900014505903894
"2020-03-30","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.089999999996502,0.0899979386355186,0.0900020613574855
"2020-03-31","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.089999999997914,0.0899977724663792,0.0900022275294488
"2020-04-01","FR","FRIDF",11938714,0,0,0,0,0.0556387485619148,0.0487793392964831,0.0624981578273466,0.0899999999975252,0.0899968016061638,0.0900031983888866
