"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_fatalities_smooth","p_cases_fatalities_smooth_low","p_cases_fatalities_smooth_high"
"2020-03-19","ES","ESMC",1493898,NA,NA,NA,NA,0.0252966612809549,0.0216711161359029,0.0289222064260069,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-20","ES","ESMC",1493898,NA,NA,NA,NA,0.0252966613060011,0.0216711162668642,0.0289222063451379,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-21","ES","ESMC",1493898,NA,NA,NA,NA,0.0252966613310473,0.0216711163971798,0.0289222062649148,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-22","ES","ESMC",1493898,NA,NA,NA,NA,0.0252966613560934,0.0216711165268495,0.0289222061853374,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-23","ES","ESMC",1493898,NA,NA,NA,NA,0.0252966613811396,0.0216711166558734,0.0289222061064059,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-24","ES","ESMC",1493898,NA,NA,NA,NA,0.0252966614061858,0.0216711167842514,0.0289222060281202,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-25","ES","ESMC",1493898,0,0,0,0,0.025296661431232,0.0216711169119837,0.0289222059504803,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-26","ES","ESMC",1493898,0,0,0,0,0.0252966614562782,0.0216711170390701,0.0289222058734863,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-27","ES","ESMC",1493898,0,0,0,0,0.0252966614813243,0.0216711171655107,0.028922205797138,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-28","ES","ESMC",1493898,0,0,0,0,0.0252966615063705,0.0216711172913054,0.0289222057214356,0.0150811251578099,0.012051309922503,0.0181109403931169
"2020-03-29","ES","ESMC",1493898,0,0,0,0,0.0252966615314167,0.0216711174164544,0.028922205646379,0.0150811251578099,0.012051309922503,0.0181109403931169
