"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_stillsick_smooth","p_cases_stillsick_smooth_low","p_cases_stillsick_smooth_high"
"2020-03-22","CL","CLTA",330558,0,0,0,0,0.0143379031944187,-0.125349766256935,0.154025572645772,0.0143379031944187,-0.125349766256935,0.154025572645772
"2020-03-23","CL","CLTA",330558,0,0,0,0,0.0143374759262507,-0.124208732292573,0.152883684145074,0.0143374759262507,-0.124208732292573,0.152883684145074
"2020-03-24","CL","CLTA",330558,0,0,0,0,0.014337048670818,-0.123067766499557,0.151741863841193,0.014337048670818,-0.123067766499557,0.151741863841193
"2020-03-25","CL","CLTA",330558,0,0,0,0,0.014336621428115,-0.121926868881454,0.150600111737684,0.014336621428115,-0.121926868881454,0.150600111737684
"2020-03-26","CL","CLTA",330558,0,0,0,0,0.0143361941981449,-0.120786039442467,0.149458427838756,0.0143361941981449,-0.120786039442467,0.149458427838756
"2020-03-27","CL","CLTA",330558,0,0,0,0,0.0143357669809062,-0.119645278187099,0.148316812148912,0.0143357669809062,-0.119645278187099,0.148316812148912
"2020-03-28","CL","CLTA",330558,0,0,0,0,0.0143353397764021,-0.118504585119752,0.147175264672556,0.0143353397764021,-0.118504585119752,0.147175264672556
"2020-03-29","CL","CLTA",330558,0,0,0,0,0.0143349125846233,-0.117363960245375,0.146033785414622,0.0143349125846233,-0.117363960245375,0.146033785414622
"2020-03-30","CL","CLTA",330558,0,0,0,0,0.0143344854055759,-0.116223403569283,0.144892374380435,0.0143344854055759,-0.116223403569283,0.144892374380435
"2020-03-31","CL","CLTA",330558,0,0,0,0,0.0143340582392593,-0.1150829150966,0.143751031575119,0.0143340582392593,-0.1150829150966,0.143751031575119
"2020-04-01","CL","CLTA",330558,0,0,0,0,0.0143336310856725,-0.113942494833301,0.142609757004645,0.0143336310856725,-0.113942494833301,0.142609757004645
"2020-04-02","CL","CLTA",330558,0,0,0,0,0.0143332039448133,-0.112802142785334,0.141468550674961,0.0143332039448133,-0.112802142785334,0.141468550674961
"2020-04-03","CL","CLTA",330558,0,0,0,0,0.0143327768166843,-0.111661858959002,0.14032741259237,0.0143327768166843,-0.111661858959002,0.14032741259237
"2020-04-04","CL","CLTA",330558,0,0,0,0,0.0143323497012849,-0.110521643361159,0.139186342763728,0.0143323497012849,-0.110521643361159,0.139186342763728
