"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_fatalities_smooth","p_cases_fatalities_smooth_low","p_cases_fatalities_smooth_high","p_cases_stillsick_smooth","p_cases_stillsick_smooth_low","p_cases_stillsick_smooth_high"
"2020-03-23","GB","GBSCT",5463300,0,NA,NA,NA,0.0276984083073658,0.0255192075094364,0.0298776091052951,1.6706880197232,1.58354043093413,1.75783560851227,3614.62474251841,-18752.9601004426,25982.2095854794
"2020-03-24","GB","GBSCT",5463300,0.0735294117647059,NA,NA,NA,0.0276984083132353,0.0255192075206323,0.0298776091058383,1.67070041390009,1.58382708311568,1.7575737446845,3443.38872813838,-17787.2779431533,24674.0553994301
"2020-03-25","GB","GBSCT",5463300,0.0735294117647059,NA,NA,NA,0.0276984083191049,0.0255192075317934,0.0298776091064163,1.67071280816892,1.58411362312732,1.75731199321052,3280.2646962488,-16871.0049127487,23431.5343052463
"2020-03-26","GB","GBSCT",5463300,0.0461538461538462,NA,NA,NA,0.0276984083249744,0.0255192075429197,0.0298776091070291,1.67072520252971,1.58440004985555,1.75705035520386,3124.86835701341,-16001.6268761859,22251.3635902127
"2020-03-27","GB","GBSCT",5463300,0.0285714285714286,NA,NA,NA,0.0276984083308439,0.0255192075540111,0.0298776091076767,1.67073759698244,1.58468636217311,1.75678883179177,2976.83362560051,-15176.7570204939,21130.424271695
"2020-03-28","GB","GBSCT",5463300,0.0285714285714286,NA,NA,NA,0.0276984083367135,0.0255192075650678,0.0298776091083592,1.67074999152712,1.58497255893877,1.75652742411547,2835.8117597553,-14394.1294319256,20065.7529514362
"2020-03-29","GB","GBSCT",5463300,0.0285714285714286,NA,NA,NA,0.027698408342583,0.0255192075760896,0.0298776091090764,1.67076238616375,1.58525863899719,1.75626613333031,2701.47053822808,-13651.5929977254,19054.5340741816
"2020-03-30","GB","GBSCT",5463300,0.0285714285714286,NA,NA,NA,0.0276984083484526,0.0255192075870766,0.0298776091098285,1.67077478089234,1.58554460117865,1.75600496060602,2573.49347812283,-12947.1056143594,18094.0925706051
"2020-03-31","GB","GBSCT",5463300,0.0193548387096774,NA,NA,NA,0.0276984083543221,0.0255192075980289,0.0298776091106154,1.67078717571287,1.58583044429884,1.7557439071269,2451.57908932252,-12278.7286868556,17181.8868655006
"2020-04-01","GB","GBSCT",5463300,0.0193548387096774,NA,NA,NA,0.0276984083601917,0.0255192076089463,0.0298776091114371,1.67079957062536,1.58611616715866,1.75548297409206,2335.44016423441,-11644.6219046706,16315.5022331394
