"","date","estimate"
"1","2020-12-22",7564.37061713355
"2","2020-12-23",12401.4617116829
"3","2020-12-24",10152.7648615279
"4","2020-12-25",16805.1018959767
"5","2020-12-26",11546.7763099845
"6","2020-12-27",4801.65007106889
"7","2020-12-28",7190.32968071165
"8","2020-12-29",1501.34893561625
"9","2020-12-30",446.457606849281
"10","2020-12-31",2200.93230893036
"11","2021-01-01",3070.64458601185
"12","2021-01-02",2286.44901667977
"13","2021-01-03",1066.24540364736
"14","2021-01-04",2387.47438941193
"15","2021-01-05",2954.35013662888
"16","2021-01-06",9027.04736342149
"17","2021-01-07",6247.49953037995
"18","2021-01-08",10727.2806220315
"19","2021-01-09",3910.77864095603
"20","2021-01-10",3365.1367734688
"21","2021-01-11",1416.8566239114
"22","2021-01-12",8185.63088567109
"23","2021-01-13",157.302703781706
"24","2021-01-14",6732.32048664661
