"","cutoff","predType","startDate","endDate","mape","mae","mse","rmse","smape","minlag","maxlag","penalty","alpha_in","rmcc","rmth","smth","limitRange","basisdim","firstcutoff","lastcutoff","cutoffinterval","umd","ccfr","nsum","umd_smooth"
"1",2020-11-18,"nearFuture",2020-11-19,2020-11-25,0.443888186739043,2449.38357972303,9676512.79601578,3110.70937183398,0.40495164920045,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"2",2020-11-19,"nearFuture",2020-11-20,2020-11-26,0.527775732342664,2917.88606759122,15479159.6107466,3934.35631466528,0.406473330561525,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"3",2020-11-20,"nearFuture",2020-11-21,2020-11-28,0.850685524486129,4329.13290250051,81715941.6914632,9039.68703503961,0.50322971248067,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"4",2020-11-21,"nearFuture",2020-11-22,2020-11-28,0.806330255109211,4049.67707254885,56793013.1292133,7536.11392756329,0.555421004286133,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"5",2020-11-22,"nearFuture",2020-11-23,2020-12-01,0.674502429260397,2284.54039038312,9112939.23319248,3018.76452099074,0.512157292325081,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"6",2020-11-23,"nearFuture",2020-11-24,2020-11-30,0.706450483855091,3268.91366958682,20293178.0677497,4504.7950084049,0.53998570599929,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"7",2020-11-24,"nearFuture",2020-11-25,2020-12-01,0.660355452312093,3057.39061156962,19977772.7697014,4469.65018426514,0.466932987983834,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"8",2020-11-25,"nearFuture",2020-11-26,2020-12-04,1.56937669583401,5311.48625927245,56063663.5748486,7487.56726679958,0.622554339437412,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"9",2020-11-26,"nearFuture",2020-11-27,2020-12-03,0.874136186983554,2430.32846503839,19963553.2074831,4468.05922157296,0.35976251611947,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"10",2020-11-27,"nearFuture",2020-11-28,2020-12-04,0.292849248251587,1071.01494888225,1561178.61824377,1249.47133550305,0.321235183043095,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"11",2020-11-28,"nearFuture",2020-11-29,2020-12-05,0.404768229623577,1634.73722586112,3255342.17008679,1804.25668076546,0.486957710477873,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"12",2020-11-29,"nearFuture",2020-11-30,2020-12-06,0.37410318820476,1535.01817663096,3487770.29622828,1867.55730734783,0.435503454105023,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"13",2020-11-30,"nearFuture",2020-12-01,2020-12-07,0.274545139980146,1099.88883467203,2852801.02308068,1689.02368931897,0.313243393186873,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"14",2020-12-01,"nearFuture",2020-12-02,2020-12-08,0.422288404405044,1722.77196834962,4513428.75317328,2124.48317319137,0.510269669169395,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
"15",2020-12-02,"nearFuture",2020-12-03,2020-12-09,0.345096639869245,1235.92166339665,1841064.78598994,1356.85842518294,0.329004666481123,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-11-18,2020-12-18,1,FALSE,FALSE,FALSE,FALSE
