"","cutoff","predType","startDate","endDate","mape","mae","mse","rmse","smape","minlag","maxlag","penalty","alpha_in","rmcc","rmth","smth","limitRange","basisdim","firstcutoff","lastcutoff","cutoffinterval","umd","ccfr","nsum","umd_smooth"
"1",2020-10-22,"nearFuture",2020-10-23,2020-10-29,0.859144650922212,20707.6409567719,525263674.662859,22918.6316053742,1.69000082912649,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"2",2020-10-23,"nearFuture",2020-10-24,2020-10-30,0.546883174702451,13107.9424247561,412629536.402091,20313.2847270472,0.43304450158954,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"3",2020-10-24,"nearFuture",2020-10-25,2020-10-31,1.00508436881948,21580.5775087563,1571982608.93969,39648.235886855,0.57338957776156,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"4",2020-10-25,"nearFuture",2020-10-26,2020-11-01,1.83203672749348,40492.8699051546,3688158406.94797,60730.2100025018,1.01919747318849,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"5",2020-10-26,"nearFuture",2020-10-27,2020-11-02,3.78121655397406,94518.5733426076,28543690488.4256,168948.780665696,1.05404766807442,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"6",2020-10-27,"nearFuture",2020-10-28,2020-11-03,4.04386629457487,85141.8949917478,17028544527.6289,130493.465459497,1.24019069231022,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"7",2020-10-28,"nearFuture",2020-10-29,2020-11-04,4.83510696520741,98286.9109507862,34119195916.8796,184713.821672553,1.04358181528227,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"8",2020-10-29,"nearFuture",2020-10-30,2020-11-05,Inf,129218.005880747,52581948232.8573,229307.540723931,1.30140744902479,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"9",2020-10-30,"nearFuture",2020-10-31,2020-11-08,Inf,16667.7059641997,381686073.723556,19536.7877022697,0.771808664800665,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"10",2020-10-31,"nearFuture",2020-11-01,2020-11-09,Inf,11012.4273851697,244874241.766855,15648.4581274595,0.857460549836705,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"11",2020-11-01,"nearFuture",2020-11-02,2020-11-10,Inf,15083.1567927303,345584040.519679,18589.8908151629,0.911026925874917,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"12",2020-11-02,"nearFuture",2020-11-03,2020-11-11,Inf,15926.9157120909,399328461.783114,19983.2044923509,0.970145294199549,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"13",2020-11-03,"nearFuture",2020-11-04,2020-11-10,Inf,16261.1195632075,340762896.966825,18459.7642717025,0.993504572783333,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"14",2020-11-04,"nearFuture",2020-11-05,2020-11-11,Inf,22845.1569647935,696703653.182067,26395.1445001172,1.114202746379,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"15",2020-11-05,"nearFuture",2020-11-06,2020-11-12,0.554952335086638,15785.5741693494,380465744.613401,19505.5311287184,0.72362904033302,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"16",2020-11-06,"nearFuture",2020-11-07,2020-11-13,0.585226785655722,13018.5691452019,251141227.056441,15847.4359773574,0.663733040364188,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"17",2020-11-07,"nearFuture",2020-11-08,2020-11-14,0.811799296336678,20642.5576359379,640032010.048194,25298.8539275635,0.701280423708751,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"18",2020-11-08,"nearFuture",2020-11-09,2020-11-15,0.783631457211221,21048.5063818443,685946728.201648,26190.5847243174,0.701803165817621,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"19",2020-11-09,"nearFuture",2020-11-10,2020-11-16,0.462240486696985,14838.9011690851,308186629.932082,17555.2450832246,0.571338629380661,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"20",2020-11-10,"nearFuture",2020-11-11,2020-11-17,1.26688780405476,28111.6417188003,1117906477.8694,33435.1084620553,0.942762819080485,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"21",2020-11-11,"nearFuture",2020-11-12,2020-11-18,0.695279294981865,14695.3363054187,407176702.350911,20178.6199317721,0.538802118127941,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"22",2020-11-12,"nearFuture",2020-11-13,2020-11-19,8.58036683939303,224141.289660815,180630290504.83,425006.224077753,1.16005893704526,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
"23",2020-11-13,"nearFuture",2020-11-14,2020-11-20,7.70000704342003,211366.89835233,125763639838.032,354631.696042573,1.27374004748386,7,60,FALSE,0.5,FALSE,0.9,FALSE,TRUE,NA,2020-10-22,2020-11-22,1,FALSE,FALSE,FALSE,FALSE
