"","date","estimate"
"1","2020-12-22",684.692290284442
"2","2020-12-23",750.246549526436
"3","2020-12-24",683.905322267393
"4","2020-12-25",794.410662789189
"5","2020-12-26",861.56522219035
"6","2020-12-27",795.553363083015
"7","2020-12-28",739.818457868357
"8","2020-12-29",776.955082295599
"9","2020-12-30",1050.34745069649
"10","2020-12-31",789.600649049413
"11","2021-01-01",838.560994716806
"12","2021-01-02",771.444724690214
"13","2021-01-03",809.058408971089
"14","2021-01-04",778.94981758515
"15","2021-01-05",736.27684423697
"16","2021-01-06",776.32359472034
"17","2021-01-07",663.48598398649
"18","2021-01-08",759.584148696383
"19","2021-01-09",772.749167051431
"20","2021-01-10",716.944527663642
"21","2021-01-11",768.418036707672
"22","2021-01-12",788.286266612903
"23","2021-01-13",853.617056199523
"24","2021-01-14",953.691678940416
