"","date","fore","syncFore"
"1","2020-12-22",662.619818242568,664
"2","2020-12-23",789.617139063682,548
"3","2020-12-24",613.875433952529,587
"4","2020-12-25",1124.83368381841,609
"5","2020-12-26",2656.5596817537,617
"6","2020-12-27",2324.41610837103,571
"7","2020-12-28",944.404203793023,534
"8","2020-12-29",1238.26813356539,596
"9","2020-12-30",986.471861458152,582
"10","2020-12-31",1144.28623695053,644
"11","2021-01-01",764.528572269041,623.954716685969
"12","2021-01-02",3126.92037769083,689
"13","2021-01-03",1877.4305568317,713
"14","2021-01-04",1935.45152118923,721
"15","2021-01-05",784.000913630465,729
"16","2021-01-06",1943.79752810909,739
"17","2021-01-07",1571.32363044366,795
"18","2021-01-08",1519.14892285628,780
"19","2021-01-09",2063.04564530203,748
"20","2021-01-10",1645.89548734559,870
"21","2021-01-11",2283.96359165201,793
"22","2021-01-12",1307.08562861395,804
"23","2021-01-13",1083.57128275121,864
"24","2021-01-14",1288.13500907121,988
