"","minlag","maxlag","penalty","alpha_in","rmcc","rmth","smth","limitRange","basisdim","firstcutoff","lastcutoff","cutoffinterval","signalsToTry","cutoff","date","lag","predType","y","strawman","fore","fore_low","fore_high","scaled_abs_err","syncFore","scaled_abs_err_sync"
"1",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-01,1,"nearFuture",27,7,4.48393738169206,7.62740535690195,2.63598084828965,1.12580307462524,NA,NA
"2",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-02,2,"nearFuture",30,7,4.24964851079261,7.58326360550479,2.38149606881293,1.11958045085335,NA,NA
"3",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-03,3,"nearFuture",21,7,4.38750969120327,7.77258472429124,2.47668465166303,1.18660636587074,NA,NA
"4",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-04,4,"nearFuture",19,7,3.67544366104682,6.71995731060803,2.01026367893801,1.27704625515891,NA,NA
"5",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-05,5,"nearFuture",15,7,3.62549736539629,6.64732071675837,1.9773727952313,1.42181265159888,NA,NA
"6",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-06,6,"nearFuture",8,7,3.67544366104682,6.71995731060803,2.01026367893801,4.32455201440117,NA,NA
"7",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-07,7,"nearFuture",1,7,3.74311070332293,6.82337960458694,2.05336336965805,0.457185041022981,NA,NA
"8",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-08,8,"nearFuture",18,7,3.57593824589997,6.60082283792561,1.93723338021123,1.31127822207471,NA,NA
"9",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-09,9,"nearFuture",12,7,4.09672104479804,7.57432362263394,2.2157916871599,1.5806554749093,NA,NA
"10",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-10,10,"nearFuture",15,7,3.40068670361653,6.56738820384539,1.76092377931654,1.44991398080869,NA,NA
"11",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-11,11,"nearFuture",20,7,3.65751278610233,7.10358942585053,1.88318876254596,1.25711430436795,NA,NA
"12",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-12,12,"nearFuture",13,7,3.70790013893946,7.18514251134669,1.91346565758936,1.54868305206292,NA,NA
"13",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-13,13,"nearFuture",5,7,4.67121302667517,9.081594781012,2.4026871564675,0.164393404465711,NA,NA
"14",22,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-30,2020-12-21,1,"ox_data-owid_data",2020-11-30,2020-12-14,14,"nearFuture",7,7,5.09405296211615,9.70325205086464,2.67429676615811,1905947.03788385,NA,NA
