"","date","estimate"
"1","2020-12-22",6716.4913507906
"2","2020-12-23",4485.55708519172
"3","2020-12-24",21430.0915954665
"4","2020-12-25",6341.85269232582
"5","2020-12-26",12816.5090302182
"6","2020-12-27",6509
"7","2020-12-28",242
"8","2020-12-29",11706.022163265
"9","2020-12-30",10330.2542915149
"10","2020-12-31",16334.8472080899
"11","2021-01-01",14091.6408039389
"12","2021-01-02",9326.05378147501
"13","2021-01-03",10462.1141656173
"14","2021-01-04",107
"15","2021-01-05",6372.21193489236
"16","2021-01-06",11725.2878548516
"17","2021-01-07",16026.2419538422
"18","2021-01-08",19123.3839012138
"19","2021-01-09",44968.3112657929
"20","2021-01-10",13855.2090381486
"21","2021-01-11",13021.4517342224
"22","2021-01-12",19499.951750606
"23","2021-01-13",7219.59489791423
"24","2021-01-14",4298.68664620464
"25","2021-01-15",3163.89654092984
"26","2021-01-16",4514.83810771277
