"","cutoff","predType","startDate","endDate","mape","mae","mse","rmse","smape","minlag","maxlag","penalty","alpha_in","rmcc","rmth","smth","limitRange","basisdim","firstcutoff","lastcutoff","cutoffinterval","signalsToTry"
"1",2020-11-27,"nearFuture",2020-11-28,2020-12-11,0.907663950784242,4325.27408738771,29311093.9241964,5413.97210227356,0.525326133640655,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"2",2020-11-28,"nearFuture",2020-11-29,2020-12-12,0.981584056769447,4733.6480419532,32560015.9617497,5706.13844572226,0.572074612005636,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"3",2020-11-29,"nearFuture",2020-11-30,2020-12-13,0.96606104356731,4368.49494422214,29239445.7041699,5407.35108016577,0.550568392356729,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"4",2020-11-30,"nearFuture",2020-12-01,2020-12-14,1.10339836466081,5039.57678923977,34925670.8723652,5909.79448647457,0.621178835948558,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"5",2020-12-01,"nearFuture",2020-12-02,2020-12-15,1.18296641275089,5544.95608078012,39618390.7598381,6294.31416119645,0.662095002630907,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"6",2020-12-02,"nearFuture",2020-12-03,2020-12-16,1.28080585928386,6214.90264693838,46926863.9459833,6850.31852879728,0.716031737989745,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"7",2020-12-03,"nearFuture",2020-12-04,2020-12-17,1.35868742990879,6754.25917466824,51589642.7687025,7182.59303933492,0.761471113430461,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"8",2020-12-04,"nearFuture",2020-12-05,2020-12-18,1.02044746994079,5066.63871834117,28894634.0303137,5375.37292011575,0.641194610230426,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"9",2020-12-05,"nearFuture",2020-12-06,2020-12-20,1.16478509448924,6027.41040791983,41470018.1476565,6439.72189986932,0.714662056851613,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"10",2020-12-06,"nearFuture",2020-12-07,2020-12-20,0.923111005126446,4707.50519216706,25147908.8032812,5014.76906779178,0.599849332249873,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"11",2020-12-07,"nearFuture",2020-12-08,2020-12-21,0.795171187000214,4230.85226545548,20972021.5394726,4579.52197717977,0.535222428661783,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"12",2020-12-08,"nearFuture",2020-12-09,2020-12-21,0.758791890250069,4319.17321857721,21234939.2903652,4608.13837578313,0.53027361294059,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"13",2020-12-09,"nearFuture",2020-12-10,2020-12-21,0.888694538039529,5187.50164292038,29985245.3749599,5475.87850257472,0.599797541377595,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"14",2020-12-10,"nearFuture",2020-12-11,2020-12-21,0.761370139778468,4389.86651160903,22185941.9481725,4710.19553184075,0.535596690370572,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"15",2020-12-11,"nearFuture",2020-12-12,2020-12-21,0.734042669875449,4167.55719994818,20448127.0970053,4521.96053686952,0.520283830690319,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"16",2020-12-12,"nearFuture",2020-12-13,2020-12-21,0.850727965321163,4856.93918079386,27737512.5163165,5266.64148355633,0.577417307416847,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"17",2020-12-13,"nearFuture",2020-12-14,2020-12-21,0.694351358793119,4291.38272334627,22378806.1073016,4730.62428304146,0.500365455060433,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"18",2020-12-14,"nearFuture",2020-12-15,2020-12-21,0.609866427246734,3884.73290357015,19186941.1170374,4380.29007224834,0.449793272340451,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"19",2020-12-15,"nearFuture",2020-12-16,2020-12-21,0.488002692706565,3080.17326472647,13396159.5723105,3660.07644350641,0.372956738397554,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"20",2020-12-16,"nearFuture",2020-12-17,2020-12-21,0.267413355286735,1615.25822007087,3829153.00721997,1956.82217056634,0.228640975902012,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"21",2020-12-17,"nearFuture",2020-12-18,2020-12-21,0.0817603161942451,407.183792813868,214915.994502132,463.5903304666,0.0771461931821469,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"22",2020-12-18,"nearFuture",2020-12-19,2020-12-21,0.102955242575439,504.973161208766,271041.071900742,520.616050367968,0.0970669053208253,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"23",2020-12-19,"nearFuture",2020-12-20,2020-12-21,0.0990191188101799,475.550185314763,226449.643597568,475.86725417659,0.0972306653943684,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"24",2020-12-20,"nearFuture",2020-12-21,2020-12-21,0.0969523923105404,567.462352193593,322013.521157085,567.462352193593,0.101891715077221,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
"25",2020-12-21,"nearFuture",NA,NA,NA,NA,NA,NA,NA,14,60,FALSE,0.5,TRUE,0.9,FALSE,TRUE,NA,2020-11-27,2020-12-21,1,"umdapi_data-cmu_data"
