"","date","estimate"
"1","2020-12-22",664
"2","2020-12-23",548
"3","2020-12-24",587
"4","2020-12-25",609
"5","2020-12-26",617
"6","2020-12-27",571
"7","2020-12-28",534
"8","2020-12-29",596
"9","2020-12-30",582
"10","2020-12-31",644
"11","2021-01-01",623.954716685969
"12","2021-01-02",689
"13","2021-01-03",713
"14","2021-01-04",721
"15","2021-01-05",729
"16","2021-01-06",739
"17","2021-01-07",795
"18","2021-01-08",780
"19","2021-01-09",748
"20","2021-01-10",870
"21","2021-01-11",793
"22","2021-01-12",804
"23","2021-01-13",864
"24","2021-01-14",988
