"date","pct_cli_weighted","pct_cli","total_responses","population"
2020-05-01,0.022866,0.022989,261,6663394
2020-05-02,0.002118,0.003891,257,6663394
2020-05-03,0.010508,0.012681,552,6663394
2020-05-04,0.015073,0.014286,560,6663394
2020-05-05,0.013017,0.012797,547,6663394
2020-05-06,0.007506,0.01049,572,6663394
2020-05-07,0.005932,0.008772,570,6663394
2020-05-08,0.005148,0.007286,549,6663394
2020-05-09,0.008084,0.010638,564,6663394
2020-05-10,0.003056,0.005,600,6663394
2020-05-11,0.011048,0.012259,571,6663394
2020-05-12,0.003208,0.003497,572,6663394
2020-05-13,0.005871,0.007273,550,6663394
2020-05-14,0.008966,0.008475,590,6663394
2020-05-15,0.007906,0.008052,621,6663394
2020-05-16,0.001253,0.003063,653,6663394
2020-05-17,0.005438,0.006006,666,6663394
2020-05-18,0.01013,0.006849,584,6663394
2020-05-19,0.014063,0.015,600,6663394
2020-05-20,0.012681,0.012841,623,6663394
2020-05-21,0.004317,0.006479,463,6663394
2020-05-22,0.007229,0.007707,519,6663394
2020-05-23,0.007193,0.009119,658,6663394
2020-05-24,0.015019,0.010495,667,6663394
2020-05-25,0.00836,0.006421,623,6663394
2020-05-26,0.000959,0.001742,574,6663394
2020-05-27,0.003248,0.003552,563,6663394
2020-05-28,0.006609,0.007752,516,6663394
2020-05-29,0.002309,0.004175,479,6663394
2020-05-30,0.002037,0.005455,550,6663394
2020-05-31,0.006627,0.006803,588,6663394
2020-06-01,0.003552,0.004494,445,6663394
2020-06-02,0.0038,0.0053,566,6663394
2020-06-03,0.003915,0.00759,527,6663394
2020-06-04,0,0,596,6663394
2020-06-05,0.002073,0.003676,544,6663394
2020-06-06,0.003902,0.005906,508,6663394
2020-06-07,0.007079,0.006745,593,6663394
2020-06-08,0.004204,0.005703,526,6663394
2020-06-09,0.003125,0.006466,464,6663394
2020-06-10,0.003696,0.003802,526,6663394
2020-06-11,0.014554,0.015453,453,6663394
2020-06-12,0.013755,0.009579,522,6663394
2020-06-13,0,0,485,6663394
2020-06-14,0.004355,0.005871,511,6663394
2020-06-15,0.013918,0.015504,516,6663394
2020-06-16,0.007144,0.008639,463,6663394
2020-06-17,0.005083,0.003929,509,6663394
2020-06-18,0.005854,0.004367,458,6663394
2020-06-19,0.002605,0.002278,439,6663394
2020-06-20,0.009074,0.005814,516,6663394
2020-06-21,0,0,512,6663394
2020-06-22,0.005879,0.00625,480,6663394
2020-06-23,0.001511,0.002037,491,6663394
2020-06-24,0.015797,0.009728,514,6663394
2020-06-25,0.005035,0.005848,513,6663394
2020-06-26,0.002353,0.004107,487,6663394
2020-06-27,0.012878,0.006667,450,6663394
2020-06-28,0,0,476,6663394
2020-06-29,0.001125,0.002212,452,6663394
2020-06-30,0.005771,0.006494,462,6663394
2020-07-01,0.002327,0.004292,466,6663394
2020-07-02,0,0,392,6663394
2020-07-03,0.003646,0.005525,362,6663394
2020-07-04,0.005531,0.005391,371,6663394
2020-07-05,0,0,380,6663394
2020-07-06,0.001098,0.002577,388,6663394
2020-07-07,0,0,441,6663394
2020-07-08,0.00252,0.002326,430,6663394
2020-07-09,0.00164,0.002488,402,6663394
2020-07-10,0.002615,0.00464,431,6663394
2020-07-11,0,0,418,6663394
2020-07-12,0.000493,0.002174,460,6663394
2020-07-13,0.006457,0.002392,418,6663394
2020-07-14,0.002129,0.002331,429,6663394
2020-07-15,0.004112,0.004474,447,6663394
2020-07-16,0.002107,0.002294,436,6663394
2020-07-17,0.001745,0.002387,419,6663394
2020-07-18,0.002875,0.004866,411,6663394
2020-07-19,0.000937,0.002299,435,6663394
2020-07-20,0.009241,0.006024,498,6663394
2020-07-21,0,0,474,6663394
2020-07-22,0,0,481,6663394
2020-07-23,0.00919,0.006061,495,6663394
2020-07-24,0,0,440,6663394
2020-07-25,0.00131,0.002101,476,6663394
2020-07-26,0.001063,0.002155,464,6663394
2020-07-27,0.002467,0.002101,476,6663394
2020-07-28,0,0,453,6663394
2020-07-29,0.000888,0.001984,504,6663394
2020-07-30,0.001087,0.002268,441,6663394
2020-07-31,0.00224,0.002439,410,6663394
2020-08-01,0,0,365,6663394
2020-08-02,0,0,486,6663394
2020-08-03,0.002296,0.004739,422,6663394
2020-08-04,0,0,414,6663394
2020-08-05,0.00524,0.002132,469,6663394
2020-08-06,0.003344,0.002347,426,6663394
2020-08-07,0.004137,0.00489,409,6663394
2020-08-08,0.004318,0.00463,432,6663394
2020-08-09,0.005671,0.008475,472,6663394
2020-08-10,0.003528,0.002273,440,6663394
2020-08-11,0.006932,0.008511,470,6663394
2020-08-12,0.006372,0.006803,441,6663394
2020-08-13,0.005318,0.006466,464,6663394
2020-08-14,0.004089,0.006993,429,6663394
2020-08-15,0.013174,0.014742,407,6663394
2020-08-16,0.00652,0.004175,479,6663394
2020-08-17,0.002731,0.002155,464,6663394
2020-08-18,0.007825,0.006494,462,6663394
2020-08-19,0.003086,0.005964,503,6663394
2020-08-20,0.003335,0.004057,493,6663394
2020-08-21,0.006271,0.006652,451,6663394
2020-08-22,0.003007,0.004107,487,6663394
2020-08-23,0.008424,0.007619,525,6663394
2020-08-24,0.009998,0.0125,560,6663394
2020-08-25,0.010386,0.008787,569,6663394
2020-08-26,0.007179,0.008772,570,6663394
2020-08-27,0.008408,0.007233,553,6663394
2020-08-28,0.006908,0.004132,484,6663394
2020-08-29,0.001133,0.002141,467,6663394
2020-08-30,0.009243,0.009881,506,6663394
2020-08-31,0.003452,0.007921,505,6663394
2020-09-01,0.005328,0.005736,523,6663394
2020-09-02,0.007765,0.005848,513,6663394
2020-09-03,0.006968,0.008081,495,6663394
2020-09-04,0.007274,0.006652,451,6663394
2020-09-05,0.004503,0.005,400,6663394
2020-09-06,0.010208,0.009029,443,6663394
2020-09-07,0.006946,0.006579,456,6663394
2020-09-08,0,0,465,6663394
2020-09-09,0.000689,0.002045,489,6663394
2020-09-10,0.022652,0.017582,455,6663394
2020-09-11,0.008395,0.009009,444,6663394
2020-09-12,0.005849,0.005168,387,6663394
2020-09-13,0.012965,0.010395,481,6663394
2020-09-14,0.008627,0.010417,480,6663394
2020-09-15,0.015173,0.014644,478,6663394
2020-09-16,0.011178,0.014614,479,6663394
2020-09-17,0.005405,0.005929,506,6663394
