"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","population"
2020-05-07,51,0,0,0,13.04,0,29.17,10.64,11.11,2.22,6.52,4.26,0,4.44,19.15,11.76,12,50,58.7,26.19,14.29,45.24,7.14,26.67,22.45,66.67,15.69,3.92,0,0,7.84,2.22,2.22,2.22,22.22,71.11,2.22,4.44,4.44,13.33,75.56,43.14,11.76,9.8,23.53,39.22,15.69,13.73,19.61,2.27,NA,NA,NA,NA,12771246
2020-05-09,51,0,0,2.13,8.7,0,25.53,13.33,6.52,4.35,8.51,8.7,4.26,2.22,21.28,13.73,12.5,50,59.57,36.17,14.89,29.79,12.77,17.02,18.75,58.82,25.49,1.96,0,0,7.84,2.27,4.55,0,9.09,84.09,0,0,6.82,4.55,88.64,35.29,9.8,3.92,37.25,19.61,19.61,15.69,33.33,2.17,NA,NA,NA,NA,12771246
2020-05-10,55,1.96,1.96,1.96,3.92,1.96,21.15,7.84,6,0,7.69,7.69,4,4,19.23,10.91,7.55,100,39.62,25,9.62,30.77,19.61,17.31,28.85,69.09,12.73,0,3.64,0,9.09,2.08,0,4.17,12.5,81.25,0,0,4.26,23.4,72.34,47.27,9.09,3.64,25.45,36.36,10.91,3.64,34.55,0,NA,NA,NA,NA,12771246
2020-05-11,59,1.79,1.79,3.57,5.66,3.7,18.18,5.45,10.91,0,1.82,1.85,1.82,3.64,11.11,3.39,8.93,50,63.46,30.91,15.09,39.62,13.21,22.22,23.21,52.54,15.25,10.17,1.69,0,8.47,0,0,4.08,10.2,85.71,0,0,2.08,14.58,83.33,54.24,5.08,5.08,22.03,37.29,10.17,10.17,27.12,0,NA,NA,NA,NA,12771246
2020-05-15,54,2.08,2.08,2.08,2.08,2.08,20,10.42,6,4.17,2.08,6.25,6.25,0,12.5,11.11,5.66,0,56.86,42,22,36,14.29,26,24.07,53.7,20.37,1.85,1.85,0,14.81,0,2.13,6.38,8.51,82.98,0,2.17,6.52,13.04,78.26,50,12.96,1.85,22.22,25.93,18.52,12.96,29.63,8.33,NA,NA,NA,NA,12771246
2020-05-18,68,4.76,4.76,4.76,7.94,3.17,25.4,12.7,14.06,4.76,4.69,4.76,4.76,3.17,20,7.46,7.58,66.67,51.56,32.26,14.75,33.33,22.22,25.4,33.33,57.35,16.18,2.94,1.47,0,7.35,3.33,0,5,21.67,70,1.67,3.33,6.67,13.33,75,36.76,16.18,13.24,19.12,25,22.06,13.24,27.94,3.17,NA,NA,NA,NA,12771246
2020-05-19,50,4.17,4.17,8.33,6.25,4.17,35.42,10.42,14.58,8.33,10.42,10.42,2.08,4.17,10.2,6,6.12,50,38.3,38.3,26.09,40.43,17.02,29.79,27.66,48,24,4,6,0,6,0,4.65,2.33,16.28,76.74,2.33,0,2.33,18.6,76.74,50,6,12,18,22,26,16,22,8.51,NA,NA,NA,NA,12771246
2020-05-20,58,5.56,0,9.26,5.56,0,27.78,9.43,9.43,9.43,7.41,7.55,7.41,3.7,38.18,6.9,7.02,50,55.1,34.04,8.89,37.5,20.83,28,30.19,55.17,18.97,0,0,0,6.9,2.38,2.38,0,21.43,73.81,2.38,0,7.14,19.05,71.43,34.48,10.34,5.17,22.41,20.69,17.24,13.79,20.69,1.89,NA,NA,NA,NA,12771246
2020-05-21,63,3.39,1.69,8.47,6.78,1.72,22.41,6.9,10.34,5.08,5.17,1.72,8.62,0,21.67,4.76,9.68,25,48.21,39.29,8.93,41.07,12.73,25,27.59,63.49,11.11,3.17,1.59,0,7.94,1.92,1.92,3.85,13.46,78.85,1.92,0,3.85,17.31,76.92,49.21,14.29,7.94,11.11,26.98,14.29,22.22,19.05,1.69,NA,NA,NA,NA,12771246
2020-05-22,62,3.39,3.39,3.39,13.56,5.08,20.34,6.78,6.78,6.78,5.08,5.08,5.08,3.39,23.73,8.06,4.84,0,50.88,43.86,12.5,39.29,12.5,17.86,27.12,66.13,17.74,3.23,0,0,6.45,0,0,7.27,20,72.73,1.82,1.82,3.64,14.55,78.18,62.9,11.29,4.84,8.06,30.65,16.13,11.29,29.03,3.39,NA,NA,NA,NA,12771246
