"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_stillsick_past_smooth"
"2020-04-16","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-17","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-18","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-19","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-20","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-21","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-22","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-23","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-24","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-25","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-26","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-27","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-28","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-29","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-04-30","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-01","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-02","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-03","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-04","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-05","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-06","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-07","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-08","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-09","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-10","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-11","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-12","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-13","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-14","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-15","BR","BRGO",6610681,0,0,0,0,0,0,0
"2020-05-16","BR","BRGO",6610681,0,0,NA,0,0,NA,0
"2020-05-17","BR","BRGO",6610681,0,0,NA,0,0,NA,0
"2020-05-18","BR","BRGO",6610681,0,0,NA,0,0,NA,0
"2020-05-19","BR","BRGO",6610681,0,0,NA,0,0,NA,0
"2020-05-20","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-21","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-22","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-23","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-24","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-25","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-26","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-27","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-28","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-29","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-30","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-05-31","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-06-01","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-06-02","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-06-03","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-06-04","BR","BRGO",6610681,0.00847457627118644,0,NA,0,0.00847457627118644,NA,0
"2020-06-05","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-06","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-07","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-08","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-09","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-10","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-11","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-12","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-13","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.012396694214876,NA,0
"2020-06-14","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0130466280119062,NA,0
"2020-06-15","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0131899197675532,NA,0
"2020-06-16","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0132467465447437,NA,0
"2020-06-17","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0132852892846449,NA,0
"2020-06-18","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0133857442441355,NA,0
"2020-06-19","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0134513165818833,NA,0
"2020-06-20","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0135019857895501,NA,0
"2020-06-21","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0135436048942516,NA,0
"2020-06-22","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0135778764884614,NA,0
"2020-06-23","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136065010665943,NA,0
"2020-06-24","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136289946716046,NA,0
"2020-06-25","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136473535317113,NA,0
"2020-06-26","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136452711712625,NA,0
"2020-06-27","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136560113422071,NA,0
"2020-06-28","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136639919517118,NA,0
"2020-06-29","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136699777151269,NA,0
"2020-06-30","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136746532486492,NA,0
"2020-07-01","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136779800085587,NA,0
"2020-07-02","BR","BRGO",6610681,0.012396694214876,0,NA,0,0.0136788633766184,NA,0
"2020-07-03","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0136077779116794,0,0
"2020-07-04","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0135455481954599,0,0
"2020-07-05","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0134853648987052,0,0
"2020-07-06","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.013429007386728,0,0
"2020-07-07","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0133766913172188,0,0
"2020-07-08","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0133157658330336,0,0
"2020-07-09","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0132699771953782,0,0
"2020-07-10","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0132268464645848,0,0
"2020-07-11","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0131864011924566,0,0
"2020-07-12","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0131484832266967,0,0
"2020-07-13","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.013113127345,0,0
"2020-07-14","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0130802055409932,0,0
"2020-07-15","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0130479629817584,0,0
"2020-07-16","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0130168563527832,0,0
"2020-07-17","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0129871909833014,0,0
"2020-07-18","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0129589666553536,0,0
"2020-07-19","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0129319890230723,0,0
"2020-07-20","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0129061072761384,0,0
"2020-07-21","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.012879779110542,0,0
"2020-07-22","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0128563558110556,0,0
"2020-07-23","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0128338049076223,0,0
"2020-07-24","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0128121469001822,0,0
"2020-07-25","BR","BRGO",6610681,0.0116731517509728,0,0,0,0.0127913234748693,0,0
