"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
"2020-03-20",0.0079884611117275,0,0,0,0,0,0
"2020-03-21",0.00672268907563025,0,0,0,0,0,0
"2020-03-22",0.00408163265306122,0,0,0,0,0,0
"2020-03-23",0.00482218203737191,0,0,0,0,0,0
"2020-03-24",0.00628053035589672,0,0,0,0,0,0
"2020-03-25",0.0115273775216138,0,0,0,0,0,0
"2020-03-26",0.0115273775216138,0,0,0,0,0,0
"2020-03-27",0.01468788249694,0,0,0,0,0,0
"2020-03-28",0.00935828877005348,0,0,0,0,0,0
"2020-03-29",0.00486854917234664,0,0,0,0,0,0
"2020-03-30",0.0034965034965035,0,0,0,0,0,0
"2020-03-31",0.00628140703517588,0,0,0,0,0,0
"2020-04-01",0.0089974293059126,0,0,0,0,0,0
"2020-04-02",0.00769230769230769,0,0,0,0,0,0
"2020-04-03",0.0122249388753056,0,0,0,0,0,0
"2020-04-04",0.0154043645699615,0,0,0,0,0,0
"2020-04-05",0.0197368421052632,0,0,0,0,0,0
"2020-04-06",0.0125348189415042,0,0,0,0,0,0
"2020-04-07",0.0126050420168067,0,0,0,0,0,0
"2020-04-08",0.00956284153005465,0,0,0,0,0,0
"2020-04-09",0.00906735751295337,0,0,0,0,0,0
"2020-04-10",0.00906735751295337,0,0,0,0,0,0
"2020-04-11",0.0106382978723404,0,0,0,0,0,0
"2020-04-12",0.00865265760197775,0,0,0,0,0,0
"2020-04-13",0.00865265760197775,0,0,0,0,0,0
"2020-04-14",0.00940070505287897,0,0,0,0,0,0
"2020-04-15",0.00940070505287897,0,0,0,0,0,0
"2020-04-16",0.00940070505287897,0,0,0,0,0,0
"2020-04-17",0.0119047619047619,0,0,0,0,0,0
"2020-04-18",0.0102272727272727,0,0,0,0,0,0
"2020-04-19",0.0102272727272727,0,0,0,0,0,0
"2020-04-20",0.01,0,0,0,0,0,0
"2020-04-21",0.01,0,0,0,0,0,0
"2020-04-22",0.0121278941565601,0,0,0,0,0,0
"2020-04-23",0.0121278941565601,0,0,0,0,0,0
"2020-04-24",0.00965665236051502,0,0,0,0,0,0
"2020-04-25",0.0129482071713147,0,0,0,0,0,0
"2020-04-26",0.0129482071713147,0,0,0,0,0,0
"2020-04-27",0.0129482071713147,0,0,0,0,0,0
"2020-04-28",0.0129482071713147,0,0,0,0,0,0
"2020-04-29",0.0129482071713147,0,0,0,0,0,0
"2020-04-30",0.0129482071713147,0,0,0,0,0,0
"2020-05-01",0.0129482071713147,0,0,0,0,0,0
"2020-05-02",0.0129482071713147,0,0,0,0,0,0
"2020-05-03",0.0129482071713147,0,0,0,0,0,0
"2020-05-04",0.0135396518375242,0,0,0,0,0,0
"2020-05-05",0.0135396518375242,0,0,0,0,0,0
"2020-05-06",0.013671875,0,0,0,0,0,0
"2020-05-07",0.013671875,0,0,0,0,0,0
"2020-05-08",0.013671875,0,0,0,0,0,0
"2020-05-09",0.013671875,0,0,0,0,0,0
"2020-05-10",0.013671875,0,0,0,0,0,0
"2020-05-11",0.013671875,0,0,0,0,0,0
"2020-05-12",0.013671875,0,0,0,0,0,0
"2020-05-13",0.013671875,0,0,0,0,0,0
"2020-05-14",0.013671875,0,0,0,0,0,0
"2020-05-15",0.013671875,0,0,0,0,0,0
"2020-05-16",0.013671875,0,0,0,0,0,0
"2020-05-17",0.013671875,0,0,0,0,0,0
"2020-05-18",0.013671875,0,0,0,0,0,0
"2020-05-19",0.013671875,0,0,0,0,0,0
"2020-05-20",0.013671875,0,0,0,0,0,0
"2020-05-21",0.013671875,0,0,0,0,0,0
"2020-05-22",0.013671875,0,0,0,0,0,0
"2020-05-23",0.013671875,0,0,0,0,0,0
"2020-05-24",0.013671875,0,0,0,0,0,0
"2020-05-25",0.013671875,0,0,0,0,0,0
"2020-05-26",0.013671875,0,0,0,0,0,0
"2020-05-27",0.013671875,0,0,0,0,0,0
"2020-05-28",0.013671875,0,0,0,0,0,0
"2020-05-29",0.013671875,0,0,0,0,0,0
"2020-05-30",0.013671875,0,0,0,0,0,0
"2020-05-31",0.013671875,0,0,0,0,0,0
"2020-06-01",0.013671875,0,0,0,0,0,0
"2020-06-02",0.013671875,0,0,0,0,0,0
"2020-06-03",0.013671875,0,0,0,0,0,0
"2020-06-04",0.013671875,0,0,0,0,0,0
"2020-06-05",0.013671875,0,0,0,0,0,0
"2020-06-06",0.013671875,0,0,0,0,0,0
"2020-06-07",0.013671875,0,0,0,0,0,0
"2020-06-08",0.013671875,0,0,0,0,0,0
"2020-06-09",0.013671875,0,0,0,0,0,0
"2020-06-10",0.013671875,0,0,0,0,0,0
"2020-06-11",0.013671875,0,0,0,0,0,0
"2020-06-12",0.013671875,0,0,0,0,0,0
"2020-06-13",0.013671875,0,0,0,0,0,0
"2020-06-14",0.013671875,0,0,0,0,0,0
"2020-06-15",0.013671875,0,0,0,0,0,0
"2020-06-16",0.013671875,0,0,0,0,0,0
"2020-06-17",0.013671875,0,0,0,0,0,0
"2020-06-18",0.013671875,0,0,0,0,0,0
"2020-06-19",0.013671875,0,0,0,0,0,0
"2020-06-20",0.013671875,0,0,0,0,0,0
"2020-06-21",0.013671875,0,0,0,0,0,0
"2020-06-22",0.013671875,0,0,0,0,0,0
"2020-06-23",0.013671875,0,0,0,0,0,0
"2020-06-24",0.013671875,0,0,0,0,0,0
"2020-06-25",0.013671875,0,0,0,0,0,0
"2020-06-26",0.013671875,0,0,0,0,0,0
"2020-06-27",0.013671875,0,0,0,0,0,0
"2020-06-28",0.013671875,0,0,0,0,0,0
"2020-06-29",0.013671875,0,0,0,0,0,0
"2020-06-30",0.013671875,0,0,0,0,0,0
"2020-07-01",0.013671875,0,0,0,0,0,0
"2020-07-02",0.013671875,0,0,0,0,0,0
"2020-07-03",0.013671875,0,0,0,0,0,0
"2020-07-04",0.013671875,0,0,0,0,0,0
"2020-07-05",0.013671875,0,0,0,0,0,0
"2020-07-06",0.013671875,0,0,0,0,0,0
"2020-07-07",0.013671875,0,0,0,0,0,0
"2020-07-08",0.013671875,0,0,0,0,0,0
"2020-07-09",0.013671875,0,0,0,0,0,0
"2020-07-10",0.013671875,0,0,0,0,0,0
"2020-07-11",0.013671875,0,0,0,0,0,0
"2020-07-12",0.013671875,0,0,0,0,0,0
"2020-07-13",0.013671875,0,0,0,0,0,0
"2020-07-14",0.0113851992409867,0,0,0,0,0,0
"2020-07-15",0.0113851992409867,0,0,0,0,0,0
"2020-07-16",0.0113851992409867,0,0,0,0,0,0
"2020-07-17",0.0113851992409867,0,0,0,0,0,0
"2020-07-18",0.0113851992409867,0,0,0,0,0,0
"2020-07-19",0.0113851992409867,0,0,0,0,0,0
"2020-07-20",0.0113851992409867,0,0,0,0,0,0
"2020-07-21",0.0113851992409867,0,0,0,0,0,0
"2020-07-22",0.0113851992409867,0,0,0,0,0,0
"2020-07-23",0.00981867427159444,0,0.00160945527559399,0,0.00160945527559399,0,0
"2020-07-24",0.0103607146493638,0,0.00169830533024035,0,0.00169830533024035,0,0
"2020-07-25",0.0107860313426875,0,0.00176802229782,0,0.00176802229782,0,0
"2020-07-26",0.0107860313426875,0,0.00176802229782,0,0.00176802229782,0,0
"2020-07-27",0.00966385717387355,0,0.00205286097115802,0,0.00205286097115802,0,0
"2020-07-28",0.0101475337091025,0,0.00215560676551027,0,0.00215560676551027,0,0
"2020-07-29",0.0101475337091025,0,0.00215560676551027,0,0.00215560676551027,0,0
"2020-07-30",0.0104616988394152,0,0.00222234381707405,0,0.00222234381707405,0,0
"2020-07-31",0.0104616988394152,0,0.00222234381707405,0,0.00222234381707405,0,0
"2020-08-01",0.00920518798121421,0,0.00243603072256194,0,0.00243603072256194,0,0
"2020-08-02",0.0102485971982284,0,0.00271215511176922,0,0.00271215511176922,0,0
"2020-08-03",0.0107922893572856,0,0.00285603601955538,0,0.00285603601955538,0,0
"2020-08-04",0.00470789906474308,0,0.00474328449062722,0,0.00474328449062722,0,0
"2020-08-05",0.00470789906474308,0,0.00474328449062722,0,0.00474328449062722,0,0
"2020-08-06",0.00470789906474308,0,0.00474328449062722,0,0.00474328449062722,0,0
"2020-08-07",0.00470789906474308,0,0.00474328449062722,0,0.00474328449062722,0,0
"2020-08-08",0.00470789906474308,0,0.00474328449062722,0,0.00474328449062722,0,0
"2020-08-09",0.00588235294117647,0,0,0,0,0,0
"2020-08-10",0.00588235294117647,0,0,0,0,0,0
"2020-08-11",0.00588235294117647,0,0,0,0,0,0
"2020-08-12",0.00588235294117647,0,0,0,0,0,0
"2020-08-13",0,0,0,0,0,0,0
"2020-08-14",0,0,0,0,0,0,0
"2020-08-15",0,0,0,0,0,0,0
"2020-08-16",0,0,0,0,0,0,0
"2020-08-17",0,0,0,0,0.00189896967865189,0,0
"2020-08-18",0,0,0,0,0.00182863746837064,0,0
"2020-08-19",0,0,0,0,0.00176332898731772,0,0
"2020-08-20",0,0,0,0,0.0017025245394769,0,0
"2020-08-21",0,0,0,0,0.00164577372149434,0,0
"2020-08-22",0,0,0,0,0.00159268424660744,0,0
"2020-08-23",0,0,0,0,0.00154291286390096,0,0
"2020-08-24",0,0,0,0,0.00149615792863124,0,0
"2020-08-25",0,0,0,0,0.00145215328367151,0,0
"2020-08-26",0,0,0,0,0.00141066318985233,0,0
"2020-08-27",0,0,0,0,0.00137147810124532,0,0
"2020-08-28",0,0,0,0,0.001334411125536,0,0
"2020-08-29",0,0,0,0,0.00129929504328505,0,0
"2020-08-30",0,0,0,0,0.00126597978576578,0,0
"2020-08-31",0,0,0,0,0.00123433029112081,0,0
"2020-09-01",0,0,0,0,0.00120422467426421,0,0
"2020-09-02",0,0,0,0,0.00117555265821031,0,0
"2020-09-03",0,0,0,0,0.00114821422429845,0,0
