"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth"
"2020-04-01","EC","ECX",488716,0,0,0,0,0,0,0
"2020-04-02","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-03","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-04","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-05","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-06","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-07","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-08","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-09","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-10","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-11","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-12","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-13","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-14","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-15","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-16","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-17","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-18","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-19","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-20","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-21","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-22","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-23","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-24","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-25","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-26","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-27","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-28","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-29","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-04-30","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-01","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-02","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-03","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-04","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-05","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-06","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-07","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
"2020-05-08","EC","ECX",488716,0,NA,NA,NA,0,NA,NA
