"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth"
"2020-04-01","EC","ECE",643654,0,0,0,0,0,0
"2020-04-02","EC","ECE",643654,0,0,0,0,0,0
"2020-04-03","EC","ECE",643654,0,0,0,0,0,0
"2020-04-04","EC","ECE",643654,0,0,0,0,0,0
"2020-04-05","EC","ECE",643654,0,0,0,0,0,0
"2020-04-06","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-07","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-08","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-09","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-10","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-11","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-12","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-13","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-14","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-15","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-16","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-17","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-18","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-19","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-20","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-21","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-22","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-23","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-24","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-25","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-26","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-27","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-28","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-29","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-04-30","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-01","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-02","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-03","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-04","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-05","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-06","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-07","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-08","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-09","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-10","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-11","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-12","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-13","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-14","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-15","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-16","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-17","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-18","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-19","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-20","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-21","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-22","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-23","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-24","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-25","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-26","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-27","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-28","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-29","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-30","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-05-31","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-01","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-02","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-03","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-04","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-05","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-06","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-07","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-08","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-09","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-10","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-11","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-12","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-13","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-14","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-15","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-16","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-17","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-18","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-19","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-20","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-21","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-22","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-23","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-24","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-25","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-26","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-27","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-28","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-29","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-06-30","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-01","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-02","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-03","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-04","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-05","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-06","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-07","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-08","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-09","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-10","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-11","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-12","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-13","EC","ECE",643654,0,NA,NA,NA,0,NA
"2020-07-14","EC","ECE",643654,0,NA,NA,NA,0,NA
