"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_stillsick_past_smooth"
"2020-05-19","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0411470966358851,0.0023696682464455
"2020-05-20","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0411205181601978,0.0023696682464455
"2020-05-21","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0410943747382254,0.0023696682464455
"2020-05-22","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0410609550808823,0.0023696682464455
"2020-05-23","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0410206258884845,0.0023696682464455
"2020-05-24","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0409811094021765,0.0023696682464455
"2020-05-25","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0409572281332931,0.0023696682464455
"2020-05-26","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0409479843733476,0.0023696682464455
"2020-05-27","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0409364431513045,0.0023696682464455
"2020-05-28","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0409211971453722,0.0023696682464455
"2020-05-29","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0409051359790552,0.0023696682464455
"2020-05-30","ES","ESNC",654214,0.0399680255795364,0,0,0.0023696682464455,0.0408914069973508,0.0023696682464455
"2020-05-31","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0408733901891037,0.00227272727272727
"2020-06-01","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0408558664168877,0.00227272727272727
"2020-06-02","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0408373311006901,0.00227272727272727
"2020-06-03","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0407695406278896,0.00227272727272727
"2020-06-04","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0407458353263779,0.00227272727272727
"2020-06-05","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.040721658874031,0.00227272727272727
"2020-06-06","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0406964444241613,0.00227272727272727
"2020-06-07","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0406707235501391,0.00227272727272727
"2020-06-08","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0406487790963165,0.00227272727272727
"2020-06-09","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0406348569883898,0.00227272930935904
"2020-06-10","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0406259673122448,0.00227272395918301
"2020-06-11","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0406183995855193,0.00227272696688006
"2020-06-12","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0406074905752898,0.00227272927133067
"2020-06-13","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0405922479040161,0.00227272664489306
"2020-06-14","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0405760096564773,0.0022727272795824
"2020-06-15","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0405577152288269,0.00227272676627913
"2020-06-16","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0405411492628313,0.00227272727389663
"2020-06-17","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0405212206392306,0.00227272726923558
"2020-06-18","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0405023798876289,0.00227272733149863
"2020-06-19","ES","ESNC",654214,0.0396825396825397,0,0,0.00227272727272727,0.0404840861532559,0.00227272726217182
"2020-06-20","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404689057935803,0.00196130096842221
"2020-06-21","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404959620755737,0.00195189425102123
"2020-06-22","ES","ESNC",654214,0.0397683397683398,0,0,0.00196078431372549,0.0404862950732919,0.00195634412362899
