"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
"2020-03-19","ES","ESCN",2153389,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-20","ES","ESCN",2153389,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-21","ES","ESCN",2153389,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-22","ES","ESCN",2153389,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-23","ES","ESCN",2153389,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-24","ES","ESCN",2153389,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-25","ES","ESCN",2153389,0.0690909090909091,NA,NA,NA,0.0690909090909091,NA,NA,NA
"2020-03-26","ES","ESCN",2153389,0.0436781609195402,NA,NA,NA,0.0436781609195402,NA,NA,NA
"2020-03-27","ES","ESCN",2153389,0.0355140186915888,NA,NA,NA,0.0355140186915888,NA,NA,NA
"2020-03-28","ES","ESCN",2153389,0.0355140186915888,NA,NA,NA,0.0355140186915888,NA,NA,NA
"2020-03-29","ES","ESCN",2153389,0.031496062992126,NA,NA,NA,0.031496062992126,NA,NA,NA
"2020-03-30","ES","ESCN",2153389,0.031496062992126,NA,NA,NA,0.031496062992126,NA,NA,NA
"2020-03-31","ES","ESCN",2153389,0.031496062992126,NA,NA,NA,0.031496062992126,NA,NA,NA
"2020-04-01","ES","ESCN",2153389,0.035036496350365,NA,NA,NA,0.035036496350365,NA,NA,NA
"2020-04-02","ES","ESCN",2153389,0.0288770053475936,NA,NA,NA,0.0288770053475936,NA,NA,NA
"2020-04-03","ES","ESCN",2153389,0.026431718061674,NA,NA,NA,0.026431718061674,NA,NA,NA
"2020-04-04","ES","ESCN",2153389,0.0262008733624454,NA,NA,NA,0.0262008733624454,NA,NA,NA
"2020-04-05","ES","ESCN",2153389,0.0262008733624454,NA,NA,NA,0.0262008733624454,NA,NA,NA
"2020-04-06","ES","ESCN",2153389,0.0260642919200695,NA,NA,NA,0.0260642919200695,NA,NA,NA
"2020-04-07","ES","ESCN",2153389,0.0251889168765743,NA,NA,NA,0.0251889168765743,NA,NA,NA
"2020-04-08","ES","ESCN",2153389,0.0251889168765743,NA,NA,NA,0.0251889168765743,NA,NA,NA
"2020-04-09","ES","ESCN",2153389,0.0258107213765718,NA,NA,NA,0.0258107213765718,NA,NA,NA
"2020-04-10","ES","ESCN",2153389,0.0258107213765718,NA,NA,NA,0.0258107213765718,NA,NA,NA
"2020-04-11","ES","ESCN",2153389,0.0258107213765718,NA,NA,NA,0.0258107213765718,NA,NA,NA
"2020-04-12","ES","ESCN",2153389,0.0265760197775031,NA,NA,NA,0.0265760197775031,NA,NA,NA
"2020-04-13","ES","ESCN",2153389,0.0256257449344458,NA,NA,NA,0.0256257449344458,NA,NA,NA
"2020-04-14","ES","ESCN",2153389,0.025462962962963,NA,NA,NA,0.025462962962963,NA,NA,NA
"2020-04-15","ES","ESCN",2153389,0.025462962962963,NA,NA,NA,0.025462962962963,NA,NA,NA
"2020-04-16","ES","ESCN",2153389,0.025462962962963,NA,NA,NA,0.025462962962963,NA,NA,NA
"2020-04-17","ES","ESCN",2153389,0.025462962962963,NA,NA,NA,0.025462962962963,NA,NA,NA
"2020-04-18","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0234291799787007,NA,NA,NA
"2020-04-19","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0298391741991805,NA,NA,NA
"2020-04-20","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0296017670058292,NA,NA,NA
"2020-04-21","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0293813174691462,NA,NA,NA
"2020-04-22","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0291760713487858,NA,NA,NA
"2020-04-23","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0289845083031166,NA,NA,NA
"2020-04-24","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0288053041636204,NA,NA,NA
"2020-04-25","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0286373002828433,NA,NA,NA
"2020-04-26","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0284794784554448,NA,NA,NA
"2020-04-27","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0283309402649529,NA,NA,NA
"2020-04-28","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.02819088997106,NA,NA,NA
"2020-04-29","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0280586202490484,NA,NA,NA
"2020-04-30","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0279335002417629,NA,NA,NA
"2020-05-01","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0278149654979793,NA,NA,NA
"2020-05-02","ES","ESCN",2153389,0.0234291799787007,NA,NA,NA,0.0277025094590235,NA,NA,NA
"2020-05-03","ES","ESCN",2153389,0.0225225225225225,NA,NA,NA,0.0275730097856107,NA,NA,NA
