"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
"2020-03-22",0.00833333333333333,0,0,0,0.00833333333333333,0,0,0
"2020-03-23",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-24",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-25",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-26",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-27",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-28",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-29",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-30",0.00454545454545455,0,0,0,0.00454545454545455,0,0,0
"2020-03-31",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-01",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-02",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-03",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-04",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-05",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-06",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-07",0.00452488687782805,0,0,0,0.00452488687782805,0,0,0
"2020-04-08",0.0186915887850467,0,0,0,0.0186915887850467,0,0,0
"2020-04-09",0.0142517814726841,0,0,0,0.0142517814726841,0,0,0
"2020-04-10",0.0250521920668058,0,0,0,0.0250521920668058,0,0,0
"2020-04-11",0.0250521920668058,0,0,0,0.0250521920668058,0,0,0
"2020-04-12",0.0281124497991968,0,0,0,0.0281124497991968,0,0,0
"2020-04-13",0.0281124497991968,0,0,0,0.0281124497991968,0,0,0
"2020-04-14",0.0281124497991968,0,0,0,0.0281124497991968,0,0,0
"2020-04-15",0.0281124497991968,0,0,0,0.0281124497991968,0,0,0
"2020-04-16",0.0281124497991968,0,0,0,0.0283161578635658,0,0,0
"2020-04-17",0.0281124497991968,0,0,0,0.0283059580719857,0,0,0
"2020-04-18",0.0281124497991968,0,0,0,0.0285347928047424,0,0,0
"2020-04-19",0.0609756097560976,0,0,0,0.0461495196665046,0,0,0
"2020-04-20",0.0609756097560976,0,0,0,0.0555613943458668,0,0,0
"2020-04-21",0.0609756097560976,0,0,0,0.0618537249148209,0,0,0
"2020-04-22",0.0609756097560976,0,0,0,0.0663553797935953,0,0,0
"2020-04-23",0.0609756097560976,0,0,0,0.0694460888415325,0,0,0
"2020-04-24",0.0519287833827893,0,0,0,0.0605135904474241,0,0,0
"2020-04-25",0.0519287833827893,0,0,0,0.0584273884231342,0,0,0
"2020-04-26",0.0519287833827893,0,0,0,0.0581047471287796,0,0,0
"2020-04-27",0.0519287833827893,0,0,0,0.0569082458869292,0,0,0
"2020-04-28",0.0519287833827893,0,0,0,0.0567358283428182,0,0,0
"2020-04-29",0.0519287833827893,0,0,0,0.0557496024006643,0,0,0
"2020-04-30",0.0519287833827893,0,0,0,0.0559661088901016,0,0,0
"2020-05-01",0.0519287833827893,0,0,0,0.0552709940571723,0,0,0
"2020-05-02",0.0519287833827893,0,0,0,0.0551565386292699,0,0,0
"2020-05-03",0.061711079943899,0,0,0,0.0558005530546379,0,0,0
