"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth"
"2020-04-07",0.00178571428571429,0,0,0,0.00178571428571429
"2020-04-08",0.0033921302578019,0,0,0,0.0033921302578019
"2020-04-09",0.0071609098567818,0,0,0,0.0071609098567818
"2020-04-10",0.00740362522338524,0,0,0,0.00740362522338524
"2020-04-11",0.00312963267995388,0,0,0,0.00312963267995388
"2020-04-12",0.0100072780203785,0,0,0,0.0100072780203785
"2020-04-13",0.00213903743315508,0,0,0,0.00213903743315508
"2020-04-14",0.00132669983416252,0,0,0,0.00132669983416252
"2020-04-15",0.00132669983416252,0,0,0,0.00132669983416252
"2020-04-16",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-17",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-18",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-19",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-20",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-21",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-22",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-23",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-24",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-25",0.00152671755725191,0,0,0,0.00152671755725191
"2020-04-26",0.00156985871271586,0,0,0,0.00156985871271586
"2020-04-27",0.00156985871271586,0,0,0,0.00156985871271586
"2020-04-28",0.00156985871271586,0,0,0,0.00156985871271586
"2020-04-29",0.00156985871271586,0,0,0,0.00156985871271586
"2020-04-30",0.00156985871271586,0,0,0,0.00156985871271586
"2020-05-01",0.00156985871271586,0,0,0,0.00156985871271586
"2020-05-02",0.00156985871271586,0,0,0,0.00245878685016986
"2020-05-03",0.00156985871271586,0,0,0,0.00242586317555768
"2020-05-04",0.00156985871271586,0,0,0,0.00239529905128509
"2020-05-05",0.00156985871271586,0,0,0,0.00236682769650875
"2020-05-06",0.00156985871271586,0,0,0,0.00234027438590778
"2020-05-07",0.00156985871271586,0,0,0,0.00231542884119131
"2020-05-08",0.00156985871271586,0,0,0,0.00229212352939893
"2020-05-09",0.00156985871271586,0,0,0,0.00227024172771399
"2020-05-10",0.00156985871271586,0,0,0,0.00224963631293637
"2020-05-11",0.00156985871271586,0,0,0,0.00223023087909894
"2020-05-12",0.00156985871271586,0,0,0,0.00221186435972454
"2020-05-13",0.00156985871271586,0,0,0,0.00219452790518455
"2020-05-14",0.00156985871271586,0,0,0,0.00217805838262193
"2020-05-15",0.00156985871271586,0,0,0,0.00216246351929099
"2020-05-16",0.00156985871271586,0,0,0,0.00214764839912665
"2020-05-17",0.00156985871271586,0,0,0,0.00213355596775082
"2020-05-18",0.00156985871271586,0,0,0,0.00212013460453572
"2020-05-19",0.00156985871271586,0,0,0,0.00210733749077242
"2020-05-20",0.00156985871271586,0,0,0,0.00209512206399852
"2020-05-21",0.00156985871271586,0,0,0,0.00208344954508113
"2020-05-22",0.00156985871271586,0,0,0,0.00207228452698622
"2020-05-23",0.00156985871271586,0,0,0,0.00206159461604431
"2020-05-24",0.00156985871271586,0,0,0,0.00205135011805833
"2020-05-25",0.00156985871271586,0,0,0,0.00204152376284728
"2020-05-26",0.00156985871271586,0,0,0,0.00203209046184467
"2020-05-27",0.00156985871271586,0,0,0,0.00202302709421606
"2020-05-28",0.00156985871271586,0,0,0,0.00201431231764863
"2020-05-29",0.00156985871271586,0,0,0,0.00200592640057325
"2020-05-30",0.00156985871271586,0,0,0,0.00199785107302036
