"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_recent_past_smooth"
"2020-03-23","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-24","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-25","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-26","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-27","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-28","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-29","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-30","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-03-31","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-01","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-02","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-03","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-04","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-05","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-06","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-07","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-08","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-09","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-10","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-11","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-12","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-13","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-14","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-15","GB","GBENG",56286961,0,NA,NA,NA,0,NA
"2020-04-16","GB","GBENG",56286961,0.0267857142857143,NA,NA,NA,0.0267857142857143,NA
"2020-04-17","GB","GBENG",56286961,0.0308641975308642,NA,NA,NA,0.0308641975308642,NA
"2020-04-18","GB","GBENG",56286961,0.029940119760479,NA,NA,NA,0.029940119760479,NA
"2020-04-19","GB","GBENG",56286961,0.029940119760479,NA,NA,NA,0.029940119760479,NA
"2020-04-20","GB","GBENG",56286961,0.0427807486631016,NA,NA,NA,0.0427807486631016,NA
"2020-04-21","GB","GBENG",56286961,0.0427807486631016,NA,NA,NA,0.0427807486631016,NA
"2020-04-22","GB","GBENG",56286961,0.0427807486631016,NA,NA,NA,0.0427807486631016,NA
"2020-04-23","GB","GBENG",56286961,0.0427807486631016,NA,NA,NA,0.0427807486631016,NA
"2020-04-24","GB","GBENG",56286961,0.0427807486631016,NA,NA,NA,0.0427807486631016,NA
"2020-04-25","GB","GBENG",56286961,0.0427807486631016,NA,NA,NA,0.0427807486631016,NA
"2020-04-26","GB","GBENG",56286961,0.0427807486631016,NA,NA,NA,0.0427807486631016,NA
"2020-04-27","GB","GBENG",56286961,0.0338983050847458,NA,NA,NA,0.0338983050847458,NA
"2020-04-28","GB","GBENG",56286961,0.0338983050847458,NA,NA,NA,0.0338983050847458,NA
