"","date","estimate"
"1","2020-12-22",5348.79836804649
"2","2020-12-23",4409
"3","2020-12-24",8491.5344298357
"4","2020-12-25",4784.62425333432
"5","2020-12-26",4520
"6","2020-12-27",5207.07893661576
"7","2020-12-28",7295.38990908149
"8","2020-12-29",5721.90812067185
"9","2020-12-30",8726.76615485172
"10","2020-12-31",6710.09953553962
"11","2021-01-01",7516.57973196061
"12","2021-01-02",6578.61904176442
"13","2021-01-03",7904.74884961071
"14","2021-01-04",7650.63157631147
"15","2021-01-05",9354.68933443734
"16","2021-01-06",6096.3943610347
"17","2021-01-07",5904.21547191654
"18","2021-01-08",6083.55933532213
"19","2021-01-09",8121.46403103615
"20","2021-01-10",7826.68114826524
"21","2021-01-11",7066.53859375082
"22","2021-01-12",5241.8543515335
"23","2021-01-13",2845
"24","2021-01-14",3271
"25","2021-01-15",2466
"26","2021-01-16",5188.14131488807
