"","date","estimate"
"1","2020-12-22",38666.0568797948
"2","2020-12-23",50621.8520745762
"3","2020-12-24",50958.0649763088
"4","2020-12-25",65390.3710707979
"5","2020-12-26",63832.7297888883
"6","2020-12-27",53963.7837476059
"7","2020-12-28",34257.7176606041
"8","2020-12-29",47785.7012387257
"9","2020-12-30",52565.2237479604
"10","2020-12-31",45307.517839069
"11","2021-01-01",57160.8673846481
"12","2021-01-02",54377.2495452755
"13","2021-01-03",25003.1209225657
"14","2021-01-04",31388.7295835376
"15","2021-01-05",46456.2268379905
"16","2021-01-06",41333.5070172579
"17","2021-01-07",42933.6525248813
"18","2021-01-08",44169.9384866664
"19","2021-01-09",38429.0572033507
"20","2021-01-10",29439.2868533904
"21","2021-01-11",25738.4030253029
"22","2021-01-12",48441.023130798
"23","2021-01-13",37065.9487867631
"24","2021-01-14",37823.317440767
"25","2021-01-15",33025.306267605
