"","date","fore","syncFore"
"1","2020-12-22",1365.67667975167,1501.18117120984
"2","2020-12-23",2358.82411557174,2495.20856212907
"3","2020-12-24",2751.60160188768,3337.32693384805
"4","2020-12-25",1737.43989995001,2298.91089272446
"5","2020-12-26",2058.28237811637,2178.21096319537
"6","2020-12-27",2246.45529027653,3015.19084475988
"7","2020-12-28",2627.44919454472,3351.24834189811
"8","2020-12-29",3065.03159882268,3588.5360677361
"9","2020-12-30",3039.03028593525,3688.57532332038
"10","2020-12-31",2791.03379999257,3444.22109837951
"11","2021-01-01",2653.61369725673,3264.4226779851
"12","2021-01-02",2959.55952453332,3313.244612584
"13","2021-01-03",2211.57245175562,2560.74279636869
"14","2021-01-04",3520.29895052429,3849.12094356925
"15","2021-01-05",2481.1556017926,3110.15911900934
"16","2021-01-06",2684.43551062385,2900.74745051952
"17","2021-01-07",2012.58042909844,2231.59239815699
"18","2021-01-08",2505.46976655401,2851.31571004499
"19","2021-01-09",2540.79269795135,2991.65934181444
"20","2021-01-10",3629.25702558562,3992.77161962415
"21","2021-01-11",3461.85670594928,3929.14683341571
"22","2021-01-12",2923.2800131444,3163.57212329881
"23","2021-01-13",2493.52312952387,2738.74054460723
"24","2021-01-14",2509.96693083887,2719.53536054213
