"","date","estimate"
"1","2020-12-22",26867.2522000823
"2","2020-12-23",35869.923509749
"3","2020-12-24",36781.8503631486
"4","2020-12-25",35659.4524579652
"5","2020-12-26",34518.5841121478
"6","2020-12-27",29787.0923613615
"7","2020-12-28",34506.2713484763
"8","2020-12-29",30991.7832534938
"9","2020-12-30",37191.0216427117
"10","2020-12-31",39483.3245368714
"11","2021-01-01",38074.5028363671
"12","2021-01-02",31180.7435189262
"13","2021-01-03",31910.0963841026
"14","2021-01-04",38953.3025866552
"15","2021-01-05",33319.3933558076
"16","2021-01-06",30088.5502771737
"17","2021-01-07",28016.1593695775
"18","2021-01-08",33891.0866247275
"19","2021-01-09",31253.213128567
"20","2021-01-10",26185.5259743239
"21","2021-01-11",25269.7952122918
"22","2021-01-12",22212.5088335004
"23","2021-01-13",24336.895429088
"24","2021-01-14",23693.3178294776
"25","2021-01-15",24143.182596875
"26","2021-01-16",16344.9533589094
"27","2021-01-17",13122.7050912077
"28","2021-01-18",15699.7019706861
"29","2021-01-19",16652.1846021297
