"","date","estimate"
"1","2020-12-22",1180.9019318103
"2","2020-12-23",1319
"3","2020-12-24",1476.81902211954
"4","2020-12-25",1958.19812626883
"5","2020-12-26",1049
"6","2020-12-27",1267.43291323161
"7","2020-12-28",1091.57951556443
"8","2020-12-29",1258
"9","2020-12-30",1232
"10","2020-12-31",1218
"11","2021-01-01",1160
"12","2021-01-02",1144
"13","2021-01-03",1106
"14","2021-01-04",1082
"15","2021-01-05",1048
"16","2021-01-06",1009
"17","2021-01-07",991
"18","2021-01-08",957
"19","2021-01-09",909
"20","2021-01-10",923
"21","2021-01-11",910
"22","2021-01-12",916
"23","2021-01-13",952
"24","2021-01-14",957
"25","2021-01-15",909
