"","date","estimate"
"1","2020-12-22",12998.6540883157
"2","2020-12-23",11256.0275305006
"3","2020-12-24",14475.875303154
"4","2020-12-25",14168.4765309088
"5","2020-12-26",14087.0326802215
"6","2020-12-27",13310.0170705173
"7","2020-12-28",11133.5813623637
"8","2020-12-29",12645.1975480379
"9","2020-12-30",13226.7236638008
"10","2020-12-31",13867.4207012028
"11","2021-01-01",15027.1443649377
"12","2021-01-02",13459.3578537695
"13","2021-01-03",16117
"14","2021-01-04",10223.7619035441
"15","2021-01-05",10300.0785649993
"16","2021-01-06",10696.2024984968
"17","2021-01-07",13464.7390238054
"18","2021-01-08",14998.1362125082
"19","2021-01-09",15430.6627835642
"20","2021-01-10",12320.826583569
"21","2021-01-11",15882.6722582524
"22","2021-01-12",15533.0616581485
"23","2021-01-13",17212.1407064682
"24","2021-01-14",15537.3461791256
"25","2021-01-15",16615.3655085732
