"","date","estimate"
"1","2020-12-22",5288.20834258697
"2","2020-12-23",12474
"3","2020-12-24",13294
"4","2020-12-25",2000.90970731827
"5","2020-12-26",8101.85075157319
"6","2020-12-27",6807.55942966175
"7","2020-12-28",7934.04171160179
"8","2020-12-29",4853.85317785962
"9","2020-12-30",5689.47154723826
"10","2020-12-31",3796.10846451353
"11","2021-01-01",3894.63138463249
"12","2021-01-02",3110.65490495843
"13","2021-01-03",3075.93326510823
"14","2021-01-04",2872.59172073846
"15","2021-01-05",4204.32919533626
"16","2021-01-06",2620.42214339179
"17","2021-01-07",5264.95317034414
"18","2021-01-08",3381.14605741727
"19","2021-01-09",3734.62130015433
"20","2021-01-10",5034.71306471587
"21","2021-01-11",5224.24524547997
"22","2021-01-12",4403.94330434824
"23","2021-01-13",5178.02161468677
"24","2021-01-14",8536.16781558443
