"","date","estimate"
"1","2020-12-22",277
"2","2020-12-24",210
"3","2020-12-26",116
"4","2020-12-27",127
"5","2020-12-28",105
"6","2020-12-29",88
"7","2020-12-30",108
"8","2020-12-31",5
"9","2021-01-01",638.773945282948
"10","2021-01-02",459.126272407296
"11","2021-01-03",353.191197801471
"12","2021-01-04",451.99879967519
"13","2021-01-05",504.822939456482
"14","2021-01-06",435.06842298258
"15","2021-01-07",436.762866764611
"16","2021-01-08",379.263449965615
"17","2021-01-09",476.53629275164
"18","2021-01-10",129.792681556588
"19","2021-01-11",392.513332994003
"20","2021-01-12",231.139545079107
"21","2021-01-13",308.34730984939
"22","2021-01-14",330.962705525384
