"","date","estimate"
"1","2020-12-22",4020
"2","2020-12-23",2662
"3","2020-12-24",3854
"4","2020-12-25",3687
"5","2020-12-26",3691
"6","2020-12-27",3984
"7","2020-12-28",3806
"8","2020-12-29",3990
"9","2020-12-30",4122
"10","2020-12-31",3525.81341247504
"11","2021-01-01",4053
"12","2021-01-02",4433
"13","2021-01-03",4886.09413530493
"14","2021-01-04",5139
"15","2021-01-05",5427
"16","2021-01-06",5559
"17","2021-01-07",5567
"18","2021-01-08",5480
"19","2021-01-09",5581
"20","2021-01-10",5909
"21","2021-01-11",6383
"22","2021-01-12",6515
"23","2021-01-13",8114.97846738358
"24","2021-01-14",57
