"","date","fore","syncFore"
"1","2020-12-22",7447.34362934741,4020
"2","2020-12-23",1353.06769493577,2662
"3","2020-12-24",1683.81945813099,3854
"4","2020-12-25",3259.43046959886,3687
"5","2020-12-26",3334.52137700055,3691
"6","2020-12-27",4035.09551034178,3984
"7","2020-12-28",1659.21545758559,3806
"8","2020-12-29",4157.03872257913,3990
"9","2020-12-30",3775.39535552623,4122
"10","2020-12-31",2735.54461460654,3525.81341247504
"11","2021-01-01",7139.18099183844,4053
"12","2021-01-02",7405.16893330095,4433
"13","2021-01-03",4061.17430840765,4886.09413530493
"14","2021-01-04",6729.44432764214,5139
"15","2021-01-05",9009.00001877331,5427
"16","2021-01-06",9741.17888797394,5559
"17","2021-01-07",6224.56940404983,5567
"18","2021-01-08",6016.95957836227,5480
"19","2021-01-09",14794.5493831486,5581
"20","2021-01-10",122761.793237538,5909
"21","2021-01-11",16692.6284197707,6383
"22","2021-01-12",7378.308892909,6515
"23","2021-01-13",8114.97846738358,8114.97846738358
"24","2021-01-14",11281.0593761059,57
