"","date","estimate"
"1","2020-12-22",1380.34629362932
"2","2020-12-23",1538.94016899107
"3","2020-12-24",1879.38090906005
"4","2020-12-26",1191.01612328101
"5","2020-12-27",1042.41585922329
"6","2020-12-28",1643.38597855759
"7","2020-12-29",1270.09138460631
"8","2020-12-30",1731.06236310031
"9","2020-12-31",1272.83928687671
"10","2021-01-01",1335.27486201181
"11","2021-01-02",1715.52183554114
"12","2021-01-03",2433.93076301632
"13","2021-01-04",1800.87393880733
"14","2021-01-05",1226.55405945084
"15","2021-01-06",1811.95259624056
"16","2021-01-07",2113.23259378993
"17","2021-01-08",1948.25356925959
"18","2021-01-09",291
"19","2021-01-10",165
"20","2021-01-11",1440.01903740208
"21","2021-01-12",1039.3890274938
"22","2021-01-13",296
"23","2021-01-14",165
