"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"SVK","Europe","Slovakia","2020-03-06",1,1,NA,NA,NA,NA,0.183,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,378,0.069,0.069,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,16.67,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-07",1,0,NA,NA,NA,NA,0.183,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,66,0.081,0.012,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,16.67,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-08",3,2,NA,NA,NA,NA,0.549,0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,76,0.095,0.014,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,16.67,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-09",3,0,NA,NA,NA,NA,0.549,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,69,0.108,0.013,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,22.22,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-10",7,4,NA,NA,NA,NA,1.282,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,111,0.128,0.02,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,33.33,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-11",10,3,1.429,NA,NA,0,1.832,0.549,0.262,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,797,97,0.146,0.018,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,33.33,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-12",16,6,2.286,NA,NA,0,2.931,1.099,0.419,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,892,95,0.163,0.017,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,45.37,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-13",32,16,4.429,NA,NA,0,5.861,2.931,0.811,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,58,0.174,0.011,82,0.015,0.054,18.5,"tests performed",NA,NA,NA,NA,NA,58.33,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-14",44,12,6.143,NA,NA,0,8.059,2.198,1.125,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147,197,0.21,0.036,100,0.018,0.061,16.3,"tests performed",NA,NA,NA,NA,NA,63.89,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-15",54,10,7.286,NA,NA,0,9.891,1.832,1.334,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436,289,0.263,0.053,131,0.024,0.056,18,"tests performed",NA,NA,NA,NA,NA,63.89,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-16",63,9,8.571,NA,NA,0,11.539,1.648,1.57,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595,159,0.292,0.029,144,0.026,0.06,16.8,"tests performed",NA,NA,NA,NA,NA,75,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
"SVK","Europe","Slovakia","2020-03-17",72,9,9.286,NA,NA,0,13.188,1.648,1.701,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,318,0.35,0.058,173,0.032,0.054,18.6,"tests performed",NA,NA,NA,NA,NA,75,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.855
