"date","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","population"
2020-05-16,"HTI","Haiti",102,0.047833,0.025607,0.029412,0.016729,0.029741,0.020383,0.019608,0.013728,0.54494,0.059751,0.588235,0.04873,0.335947,0.056673,0.382353,0.048117,0.564537,0.059492,0.558824,0.049164,11263079
2020-05-17,"HTI","Haiti",111,0,0,0,0,0.004683,0.008152,0.009009,0.008968,0.639755,0.057322,0.630631,0.04581,0.280134,0.05362,0.351351,0.045312,0.689424,0.055252,0.693694,0.043752,11263079
2020-05-18,"HTI","Haiti",130,0.054334,0.026556,0.053846,0.019796,0.054334,0.026556,0.053846,0.019796,0.520803,0.058526,0.6,0.042967,0.371763,0.056617,0.376923,0.042504,0.588495,0.057651,0.653846,0.041725,11263079
2020-05-19,"HTI","Haiti",124,0.019839,0.014642,0.016129,0.011313,0.026913,0.016992,0.024194,0.013798,0.478747,0.052451,0.548387,0.044691,0.346616,0.049967,0.403226,0.044052,0.562062,0.052093,0.612903,0.043742,11263079
2020-05-20,"HTI","Haiti",129,0.022387,0.01484,0.031008,0.015262,0.026717,0.016176,0.03876,0.016995,0.605401,0.049028,0.581395,0.043435,0.25381,0.043654,0.286822,0.039821,0.634079,0.048318,0.643411,0.042173,11263079
2020-05-22,"HTI","Haiti",115,0.014618,0.01345,0.017391,0.01219,0.019606,0.015536,0.026087,0.014864,0.579215,0.055323,0.626087,0.045118,0.254362,0.048803,0.313043,0.043243,0.581428,0.055283,0.643478,0.044664,11263079
2020-05-23,"HTI","Haiti",114,0.021901,0.017516,0.035088,0.017233,0.021901,0.017516,0.035088,0.017233,0.62398,0.057972,0.701754,0.042848,0.304478,0.055076,0.394737,0.04578,0.624619,0.057952,0.675439,0.043852,11263079
2020-05-24,"HTI","Haiti",110,0.060172,0.0289,0.054545,0.021652,0.041209,0.024157,0.045455,0.019861,0.654198,0.057803,0.745455,0.041533,0.304852,0.055946,0.354545,0.045611,0.562268,0.060292,0.609091,0.046525,11263079
2020-05-25,"HTI","Haiti",124,0.056194,0.025617,0.056452,0.020726,0.052093,0.024718,0.048387,0.01927,0.668125,0.052378,0.677419,0.041979,0.28752,0.050345,0.346774,0.042741,0.633247,0.053605,0.653226,0.042741,11263079
2020-05-26,"HTI","Haiti",115,0.047837,0.024567,0.052174,0.020737,0.030166,0.019689,0.043478,0.019017,0.594228,0.056524,0.608696,0.04551,0.333855,0.054285,0.408696,0.045841,0.560572,0.057131,0.608696,0.04551,11263079
2020-05-27,"HTI","Haiti",118,0.020454,0.016152,0.008475,0.008439,0.041692,0.022809,0.016949,0.011883,0.629406,0.055111,0.669492,0.043303,0.311838,0.052861,0.372881,0.044516,0.619455,0.055403,0.661017,0.043577,11263079
2020-05-28,"HTI","Haiti",125,0.015532,0.012236,0.016,0.011223,0.017665,0.013035,0.024,0.013689,0.652417,0.047121,0.624,0.043324,0.275094,0.044188,0.312,0.04144,0.546178,0.049265,0.544,0.044548,11263079
2020-05-29,"HTI","Haiti",152,0.02293,0.01503,0.039474,0.015794,0.02293,0.01503,0.039474,0.015794,0.543631,0.050016,0.565789,0.040203,0.307985,0.046358,0.328947,0.038108,0.581652,0.049533,0.578947,0.040047,11263079
2020-05-30,"HTI","Haiti",140,0.048866,0.02354,0.064286,0.020728,0.06146,0.026224,0.071429,0.021766,0.634844,0.052571,0.621429,0.040993,0.329738,0.051331,0.314286,0.039235,0.591408,0.053674,0.585714,0.041632,11263079
2020-05-31,"HTI","Haiti",108,0.019171,0.016785,0.027778,0.015813,0.019171,0.016785,0.027778,0.015813,0.626609,0.05921,0.675926,0.045036,0.375931,0.05929,0.425926,0.047582,0.69583,0.056315,0.722222,0.0431,11263079
2020-06-01,"HTI","Haiti",109,0.02684,0.019102,0.018349,0.012855,0.030651,0.020373,0.027523,0.01567,0.545911,0.058848,0.559633,0.047549,0.268655,0.052391,0.330275,0.045048,0.600574,0.057889,0.587156,0.047158,11263079
2020-06-02,"HTI","Haiti",117,0.023182,0.017313,0.025641,0.014613,0.019314,0.015834,0.025641,0.014613,0.606398,0.05621,0.649573,0.044108,0.299271,0.052688,0.324786,0.043294,0.739909,0.050473,0.74359,0.040368,11263079
2020-06-12,"HTI","Haiti",111,0.01801,0.015334,0.027027,0.015392,0.024792,0.017928,0.036036,0.01769,0.635687,0.055487,0.648649,0.045312,0.354037,0.055139,0.378378,0.046033,0.480994,0.057609,0.540541,0.047302,11263079
2020-06-13,"HTI","Haiti",103,0.056833,0.026118,0.038835,0.019037,0.045663,0.023549,0.029126,0.016569,0.618634,0.054793,0.669903,0.046335,0.339008,0.0534,0.359223,0.047273,0.531292,0.056293,0.563107,0.048872,11263079
