"date","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","percent_cli_past_smooth","percent_cli_unw_past_smooth","percent_ili_past_smooth","percent_ili_unw_past_smooth","percent_mc_past_smooth","percent_mc_unw_past_smooth","percent_dc_past_smooth","percent_dc_unw_past_smooth","percent_hf_past_smooth","percent_hf_unw_past_smooth","population"
2020-04-25,"ARM","Armenia",138,0,0,0,0,0,0,0,0,0.242455,0.046071,0.297101,0.038901,0.384845,0.052305,0.362319,0.040917,NA,NA,NA,NA,0,0,0,0,0.242455,0.297101,0.384845,0.362319,NA,NA,2957728
2020-05-03,"ARM","Armenia",123,0.012004,0.012811,0.01626,0.011404,0.012004,0.012811,0.01626,0.011404,0.310298,0.054424,0.317073,0.041958,0.461657,0.058648,0.479675,0.045046,0.067311,0.029477,0.089431,0.02573,0.012004,0.01626,0.012004,0.01626,0.310298,0.317073,0.461657,0.479675,0.067311,0.089431,2957728
2020-05-04,"ARM","Armenia",132,0.038544,0.025094,0.007576,0.007547,0,0,0,0,0.334,0.061482,0.30303,0.04,0.359788,0.062564,0.393939,0.042529,0.357495,0.062475,0.431818,0.043113,0.038544,0.007576,0,0,0.334,0.30303,0.359788,0.393939,0.357495,0.431818,2957728
2020-05-05,"ARM","Armenia",135,0.020615,0.017715,0.014815,0.010398,0.024318,0.019204,0.022222,0.012687,0.427388,0.061676,0.407407,0.042289,0.38473,0.060658,0.437037,0.042691,0.56588,0.061793,0.540741,0.04289,0.020615,0.014815,0.024318,0.022222,0.427388,0.407407,0.38473,0.437037,0.56588,0.540741,2957728
2020-05-06,"ARM","Armenia",157,0,0,0,0,0,0,0,0,0.348715,0.050133,0.394904,0.039013,0.449062,0.052325,0.471338,0.039839,0.609289,0.051326,0.55414,0.03967,0,0,0,0,0.348715,0.394904,0.449062,0.471338,0.609289,0.55414,2957728
2020-05-07,"ARM","Armenia",182,0,0,0,0,0,0,0,0,0.395367,0.050868,0.401099,0.03633,0.388793,0.050716,0.368132,0.03575,0.575132,0.051429,0.494505,0.03706,0,0,0,0,0.395367,0.401099,0.388793,0.368132,0.575132,0.494505,2957728
2020-05-08,"ARM","Armenia",140,0.015379,0.012563,0.007143,0.007117,0.018323,0.013692,0.014286,0.010029,0.418367,0.050359,0.414286,0.041632,0.528119,0.050964,0.5,0.042258,0.596609,0.050082,0.614286,0.041139,0.015379,0.007143,0.018323,0.014286,0.418367,0.414286,0.528119,0.5,0.596609,0.614286,2957728
2020-05-09,"ARM","Armenia",174,0,0,0,0,0,0,0,0,0.390246,0.043854,0.413793,0.037337,0.392634,0.043901,0.431034,0.037543,0.522195,0.044906,0.545977,0.037744,0,0,0,0,0.390246,0.413793,0.392634,0.431034,0.522195,0.545977,2957728
2020-05-10,"ARM","Armenia",181,0.015891,0.012607,0.016575,0.00949,0.00881,0.009421,0.01105,0.00777,0.496356,0.050404,0.502762,0.037164,0.434794,0.049975,0.436464,0.036863,0.686884,0.046752,0.624309,0.035998,0.015891,0.016575,0.00881,0.01105,0.496356,0.502762,0.434794,0.436464,0.686884,0.624309,2957728
2020-05-11,"ARM","Armenia",150,0.013841,0.01382,0.013333,0.009365,0.013841,0.01382,0.013333,0.009365,0.416518,0.058315,0.393333,0.039885,0.40838,0.058144,0.5,0.040825,0.555305,0.058782,0.586667,0.040207,0.013841,0.013333,0.013841,0.013333,0.416518,0.393333,0.40838,0.5,0.555305,0.586667,2957728
2020-05-12,"ARM","Armenia",130,0.068248,0.030075,0.015385,0.010795,0.07263,0.030952,0.023077,0.013169,0.355933,0.057103,0.392308,0.042824,0.375303,0.057748,0.438462,0.043519,0.566599,0.059101,0.630769,0.042327,0.068248,0.015385,0.07263,0.023077,0.355933,0.392308,0.375303,0.438462,0.566599,0.630769,2957728
2020-05-13,"ARM","Armenia",147,0,0,0,0,0.010507,0.011796,0.006803,0.00678,0.453005,0.057589,0.44898,0.041024,0.505402,0.057841,0.496599,0.041238,0.526584,0.057763,0.564626,0.040893,0,0,0.010507,0.006803,0.453005,0.44898,0.505402,0.496599,0.526584,0.564626,2957728
2020-05-14,"ARM","Armenia",147,0.00694,0.009611,0.013605,0.009555,0.014298,0.013744,0.027211,0.013419,0.443083,0.057509,0.442177,0.040963,0.419233,0.057125,0.47619,0.041193,0.580046,0.057138,0.598639,0.040429,0.00694,0.013605,0.014298,0.027211,0.443083,0.442177,0.419233,0.47619,0.580046,0.598639,2957728
2020-05-15,"ARM","Armenia",141,0.010587,0.012113,0.014184,0.009958,0.01355,0.013683,0.021277,0.012153,0.429102,0.058578,0.41844,0.041544,0.557475,0.058784,0.539007,0.041979,0.510119,0.059164,0.560284,0.0418,0.010587,0.014184,0.01355,0.021277,0.429102,0.41844,0.557475,0.539007,0.510119,0.560284,2957728
2020-05-16,"ARM","Armenia",157,0.016495,0.012341,0.025478,0.012576,0.016495,0.012341,0.025478,0.012576,0.449937,0.048204,0.452229,0.039722,0.462043,0.048308,0.452229,0.039722,0.466124,0.048336,0.471338,0.039839,0.016495,0.025478,0.016495,0.025478,0.449937,0.452229,0.462043,0.452229,0.466124,0.471338,2957728
2020-05-17,"ARM","Armenia",162,0.005295,0.008211,0.012346,0.008676,0.003282,0.006471,0.006173,0.006154,0.462884,0.056412,0.450617,0.039092,0.347885,0.053887,0.450617,0.039092,0.601685,0.055386,0.561728,0.038983,0.005295,0.012346,0.003282,0.006173,0.462884,0.450617,0.347885,0.450617,0.601685,0.561728,2957728
