"date","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","percent_cli_smooth","percent_cli_smooth_low","percent_cli_smooth_high","percent_cli_unw_smooth","percent_cli_unw_smooth_low","percent_cli_unw_smooth_high","percent_ili_smooth","percent_ili_smooth_low","percent_ili_smooth_high","percent_ili_unw_smooth","percent_ili_unw_smooth_low","percent_ili_unw_smooth_high","percent_mc_smooth","percent_mc_smooth_low","percent_mc_smooth_high","percent_mc_unw_smooth","percent_mc_unw_smooth_low","percent_mc_unw_smooth_high","percent_dc_smooth","percent_dc_smooth_low","percent_dc_smooth_high","percent_dc_unw_smooth","percent_dc_unw_smooth_low","percent_dc_unw_smooth_high","percent_hf_smooth","percent_hf_smooth_low","percent_hf_smooth_high","percent_hf_unw_smooth","percent_hf_unw_smooth_low","percent_hf_unw_smooth_high","population"
2020-04-23,"COL","Colombia",2262,0.006037,0.002435,0.007515,0.001816,0.01283,0.003537,0.012378,0.002325,0.665221,0.014831,0.717949,0.009462,0.243607,0.01349,0.254642,0.00916,NA,NA,NA,NA,0.00790788491811298,0.00516739577938455,0.0106483740568414,0.00913351449029871,0.00678698334850871,0.0114800456320887,0.0110745888411963,0.00803817633581802,0.0141110013465745,0.0121499014822432,0.00988023612303336,0.0144195668414531,0.63784806672225,0.623615720863524,0.652080412580976,0.683953083543295,0.67264946251373,0.69525670457286,0.283062264643374,0.267054996095545,0.299069533191203,0.303638150180024,0.288280475324069,0.318995825035978,0.0260466679699095,0.00820160889205771,0.0438917270477614,0.028060436845343,0.00972735244823089,0.0463935212424552,50339443
2020-04-24,"COL","Colombia",2131,0.007908,0.002833,0.008916,0.002036,0.010195,0.003213,0.012201,0.002378,0.633792,0.015408,0.693571,0.009987,0.245829,0.013771,0.266072,0.009573,NA,NA,NA,NA,0.00791415325824605,0.00533035210143908,0.010497954415053,0.00912974393675704,0.00699936586878881,0.0112601220047253,0.0110253767810003,0.00818766785936736,0.0138630857026332,0.0120873990373869,0.0099983832999772,0.0141764147747966,0.640354610406186,0.627731538437865,0.652977682374507,0.685191493986663,0.675102721657541,0.695280266315784,0.289455476779551,0.275293244001737,0.303617709557364,0.310677380612486,0.297031232566424,0.324323528658548,0.0341200480581556,0.0127286935019901,0.0555114026143212,0.0366427347669393,0.0147361214957232,0.0585493480381554,50339443
2020-04-25,"COL","Colombia",2230,0.007396,0.002575,0.009417,0.002045,0.010248,0.003026,0.010762,0.002185,0.636191,0.014457,0.681614,0.009865,0.329871,0.014128,0.357399,0.010148,NA,NA,NA,NA,0.00792035803624173,0.00548352140885488,0.0103571946636286,0.00912464333145132,0.0071874110313255,0.0110618756315771,0.0109767375624687,0.0083230207770771,0.0136304543478603,0.0120255009531081,0.0101005673981818,0.0139504345080344,0.642900650994201,0.631665211276177,0.654136090712226,0.686486352894014,0.677455788926708,0.69551691686132,0.295745464535544,0.283165294089049,0.30832563498204,0.317648558953804,0.305483084551362,0.329814033356246,0.0446958390545681,0.0192725101870377,0.0701191679220984,0.0478499325794744,0.0218970594791174,0.0738028056798314,50339443
2020-04-26,"COL","Colombia",2467,0.008221,0.00269,0.009323,0.001935,0.010556,0.003045,0.01135,0.002133,0.642023,0.014284,0.672882,0.009446,0.317812,0.013873,0.349818,0.009602,NA,NA,NA,NA,0.0079265609613568,0.00562646571073643,0.0102266562119772,0.00911809653227847,0.00735016355551642,0.0108860295090405,0.0109288176544803,0.00844395155087429,0.0134136837580864,0.011964375135433,0.0101865242231931,0.0137422260476729,0.645483377801258,0.635412667391983,0.655554088210533,0.687841870725304,0.679710638475561,0.695973102975048,0.301896738386877,0.290633369180881,0.313160107592873,0.324518330783999,0.313597783572563,0.335438877995435,0.0585496839097898,0.0286470261490921,0.0884523416704875,0.0624848571598983,0.0320567841762314,0.0929129301435652,50339443
2020-04-27,"COL","Colombia",2216,0.009776,0.003069,0.009025,0.002009,0.012954,0.003527,0.01444,0.002534,0.648015,0.014899,0.681408,0.009898,0.312102,0.014454,0.33574,0.010032,NA,NA,NA,NA,0.00793282393700973,0.00575871626460734,0.0101069316094121,0.0091099883886136,0.00748639729367863,0.0107335794835486,0.0108817609728249,0.00855014255738095,0.0132133793882689,0.0119041860486086,0.0102559042918894,0.0135524678053278,0.648099935209732,0.63896439768342,0.657235472736044,0.689262304075395,0.681866108033953,0.696658500116837,0.30787202868605,0.29764687967909,0.31809717769301,0.331251458820291,0.321324909171017,0.341178008469565,0.0766976425199461,0.0419758860897088,0.111419398950183,0.0815958803663541,0.0463772966126015,0.116814464120107,50339443
2020-04-28,"COL","Colombia",2607,0.007438,0.002442,0.008822,0.001831,0.012738,0.003187,0.013809,0.002286,0.619189,0.013799,0.669735,0.009211,0.340944,0.01347,0.365554,0.009432,NA,NA,NA,NA,0.00793920906305528,0.00587986957499315,0.0099985485511174,0.00910020493379628,0.00759511567317644,0.0106052941944161,0.0108357089877651,0.00864137848932234,0.0130300394862079,0.0118450948365943,0.0103084945184986,0.01338169515469,0.650747420994744,0.642312108634766,0.659182733354723,0.690751959394177,0.68392220835065,0.697581710437704,0.313632463091875,0.304151162574241,0.323113763609509,0.337810948148082,0.328609636255767,0.347012260040397,0.100470710946637,0.0608049381146007,0.140136483778673,0.106552019087167,0.0664484506346958,0.146655587539637,50339443
2020-04-29,"COL","Colombia",2479,0.008858,0.002711,0.009681,0.001967,0.009431,0.002797,0.010085,0.002007,0.663108,0.013677,0.690198,0.009287,0.330076,0.013607,0.354175,0.009606,NA,NA,NA,NA,0.00794577864290876,0.00598968879832826,0.00990186848748927,0.00908863359130188,0.00767617828862589,0.0105010888939779,0.0107908008502244,0.00871768919236657,0.0128639125080822,0.0117872594666782,0.0103444684574432,0.0132300504759133,0.653422884777463,0.645458081579937,0.66138768797499,0.692315196979771,0.68588597362066,0.698744420338881,0.319137784307453,0.310103675928519,0.328171892686387,0.344158205954249,0.335407255821828,0.35290915608667,0.131612438485283,0.0872530859679289,0.175971791002637,0.139141004675445,0.0944380350657532,0.183843974285137,50339443
2020-04-30,"COL","Colombia",2390,0.008584,0.002806,0.010879,0.002122,0.008847,0.002848,0.012971,0.002314,0.631632,0.014672,0.68159,0.009529,0.301863,0.013964,0.338912,0.009682,NA,NA,NA,NA,0.0079525951955483,0.00608819941446051,0.0098169909766361,0.00907516339411506,0.00773089339029797,0.0104194333979321,0.0107471735360745,0.0087794805860994,0.0127148664860496,0.0117308348944533,0.0103646200611245,0.0130970497277821,0.656123326610096,0.648423546698864,0.663823106521328,0.693956435252011,0.687776804517643,0.700136065986379,0.324346609256121,0.315491358163188,0.333201860349054,0.350253237293493,0.341699368096101,0.358807106490884,0.172406801950894,0.124211492977534,0.220602110924255,0.181697346966783,0.133289030239666,0.2301056636939,50339443
2020-05-01,"COL","Colombia",2057,0.011894,0.003459,0.008751,0.002053,0.013941,0.003741,0.011181,0.002318,0.671404,0.014988,0.705882,0.010046,0.356036,0.015279,0.358775,0.010575,0,0,0,0,0.00795972147242468,0.00617576255607387,0.00974368038877548,0.00905968521674653,0.0077623211467903,0.0103570492867028,0.0107049620080491,0.00882762701317742,0.0125822970029208,0.0116759732494483,0.010370511865616,0.0129814346332805,0.658845695696519,0.651250721853096,0.666440669539941,0.695680155314138,0.689628218107115,0.701732092521162,0.329216730157734,0.320337343799133,0.338096116516335,0.35605487796297,0.34750128491244,0.3646084710135,0.225845715655962,0.175596839301148,0.276094592010776,0.23726956673753,0.186969077152269,0.287570056322791,50339443
2020-05-02,"COL","Colombia",1806,0.009673,0.003472,0.011074,0.002463,0.010544,0.003623,0.012182,0.002581,0.664516,0.01675,0.696567,0.010818,0.346851,0.016885,0.372647,0.011377,0,0,0,0,0.00796722047931205,0.00625310599879189,0.0096813349598322,0.00904209201925624,0.00777508408199034,0.0103090999565221,0.0106642993948676,0.00886349516007925,0.012465103629656,0.0116228240407785,0.0103644685816734,0.0128811794998836,0.66158688925265,0.653996491645365,0.669177286859935,0.69749090581136,0.691484442595136,0.703497369027584,0.333705457196388,0.324691447075794,0.342719467316983,0.361521065019084,0.352854590244329,0.370187539793838,0.295848462490948,0.24663355013521,0.345063374846686,0.309838576289764,0.260746210595495,0.358930941984034,50339443
