"date","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","percent_cli_past_smooth","percent_cli_unw_past_smooth","percent_ili_past_smooth","percent_ili_unw_past_smooth","percent_mc_past_smooth","percent_mc_unw_past_smooth","percent_dc_past_smooth","percent_dc_unw_past_smooth","percent_hf_past_smooth","percent_hf_unw_past_smooth","population"
2020-04-23,"SLV","El Salvador",547,0.014724,0.0075,0.010969,0.004453,0.01524,0.007628,0.012797,0.004806,0.680871,0.029026,0.685558,0.019852,0.149706,0.022216,0.166362,0.015923,NA,NA,NA,NA,0.014724,0.010969,0.01524,0.012797,0.680871,0.685558,0.149706,0.166362,NA,NA,645355
2020-04-24,"SLV","El Salvador",725,0.009794,0.005822,0.008276,0.003365,0.016475,0.007525,0.015172,0.00454,0.589288,0.029083,0.657931,0.017619,0.17782,0.022604,0.215172,0.015262,NA,NA,NA,NA,0.009794,0.008276,0.016475,0.015172,0.589288,0.657931,0.17782,0.215172,NA,NA,645355
2020-04-25,"SLV","El Salvador",739,0.003065,0.003173,0.005413,0.002699,0.003679,0.003475,0.008119,0.003301,0.645098,0.027467,0.664411,0.01737,0.253533,0.024972,0.26793,0.016292,NA,NA,NA,NA,0.003065,0.005413,0.003679,0.008119,0.645098,0.664411,0.253533,0.26793,NA,NA,645355
2020-04-26,"SLV","El Salvador",811,0.009843,0.005383,0.011097,0.003679,0.013321,0.006251,0.013564,0.004062,0.61983,0.026468,0.649815,0.016751,0.208893,0.022166,0.251541,0.015236,NA,NA,NA,NA,0.009843,0.011097,0.013321,0.013564,0.61983,0.649815,0.208893,0.251541,NA,NA,645355
2020-04-27,"SLV","El Salvador",742,0.009782,0.005415,0.012129,0.004019,0.013178,0.006275,0.013477,0.004233,0.644014,0.026346,0.66442,0.017335,0.249094,0.023797,0.27628,0.016416,NA,NA,NA,NA,0.009782,0.012129,0.013178,0.013477,0.644014,0.66442,0.249094,0.27628,NA,NA,645355
2020-04-28,"SLV","El Salvador",852,0.006018,0.004018,0.00939,0.003304,0.005662,0.003898,0.00939,0.003304,0.592543,0.025527,0.627934,0.016559,0.282095,0.023379,0.274648,0.015291,NA,NA,NA,NA,0.006018,0.00939,0.005662,0.00939,0.592543,0.627934,0.282095,0.274648,NA,NA,645355
2020-04-29,"SLV","El Salvador",740,0.006758,0.004663,0.008108,0.003297,0.005704,0.004286,0.006757,0.003011,0.587147,0.028018,0.637838,0.017668,0.233336,0.024069,0.275676,0.016427,NA,NA,NA,NA,0.006758,0.008108,0.005704,0.006757,0.587147,0.637838,0.233336,0.275676,NA,NA,645355
2020-04-30,"SLV","El Salvador",687,0.006555,0.004544,0.005822,0.002903,0.008474,0.005161,0.007278,0.003243,0.612948,0.027425,0.655022,0.018136,0.238306,0.023989,0.259098,0.016716,NA,NA,NA,NA,0.006555,0.005822,0.008474,0.007278,0.612948,0.655022,0.238306,0.259098,NA,NA,645355
2020-05-01,"SLV","El Salvador",463,0.006263,0.005155,0.008639,0.004301,0.026781,0.010549,0.012959,0.005256,0.712925,0.029561,0.699784,0.021301,0.267942,0.02894,0.298056,0.021257,0,0,0,0,0.006263,0.008639,0.026781,0.012959,0.712925,0.699784,0.267942,0.298056,0,0,645355
2020-05-02,"SLV","El Salvador",450,0.022192,0.009749,0.013333,0.005407,0.023301,0.009984,0.015556,0.005834,0.66372,0.031268,0.677778,0.02203,0.261636,0.02909,0.275556,0.021062,0,0,0,0,0.022192,0.013333,0.023301,0.015556,0.66372,0.677778,0.261636,0.275556,0,0,645355
2020-05-03,"SLV","El Salvador",1036,0.009531,0.004521,0.004826,0.002153,0.012559,0.005181,0.006757,0.002545,0.62463,0.022529,0.651544,0.014804,0.238803,0.019837,0.276062,0.013889,0.102213,0.014094,0.112934,0.009834,0.009531,0.004826,0.012559,0.006757,0.62463,0.651544,0.238803,0.276062,0.102213,0.112934,645355
2020-05-04,"SLV","El Salvador",1171,0.005743,0.003524,0.006832,0.002407,0.008019,0.004159,0.011102,0.003062,0.650653,0.022231,0.690009,0.013515,0.25946,0.02044,0.30743,0.013484,0.679901,0.021754,0.740393,0.012812,0.005743,0.006832,0.008019,0.011102,0.650653,0.690009,0.25946,0.30743,0.679901,0.740393,645355
2020-05-05,"SLV","El Salvador",1127,0.008777,0.003978,0.008873,0.002793,0.00956,0.00415,0.010648,0.003057,0.629944,0.02059,0.663709,0.014073,0.2483,0.018424,0.295475,0.013591,0.663987,0.020143,0.713398,0.013469,0.008777,0.008873,0.00956,0.010648,0.629944,0.663709,0.2483,0.295475,0.663987,0.713398,645355
2020-05-06,"SLV","El Salvador",1098,0.009412,0.004264,0.010018,0.003005,0.015062,0.005379,0.014572,0.003616,0.638981,0.02121,0.674863,0.014136,0.263859,0.019462,0.285974,0.013637,0.710088,0.020036,0.724954,0.013476,0.009412,0.010018,0.015062,0.014572,0.638981,0.674863,0.263859,0.285974,0.710088,0.724954,645355
2020-05-07,"SLV","El Salvador",1689,0.00868,0.003427,0.011841,0.002632,0.010439,0.003755,0.015394,0.002996,0.643246,0.017698,0.689165,0.011262,0.245216,0.015894,0.280639,0.010933,0.696219,0.016991,0.723505,0.010883,0.00868,0.011841,0.010439,0.015394,0.643246,0.689165,0.245216,0.280639,0.696219,0.723505,645355
2020-05-08,"SLV","El Salvador",1674,0.007868,0.003434,0.009558,0.002378,0.00774,0.003407,0.008961,0.002303,0.677771,0.018167,0.673238,0.011464,0.246156,0.016745,0.255675,0.010662,0.672987,0.018236,0.715651,0.011026,0.007868,0.009558,0.00774,0.008961,0.677771,0.673238,0.246156,0.255675,0.672987,0.715651,645355
2020-05-09,"SLV","El Salvador",1710,0.00716,0.003284,0.010526,0.002468,0.008799,0.003638,0.012281,0.002663,0.656541,0.018497,0.681871,0.011263,0.21418,0.015981,0.238596,0.010307,0.708715,0.017698,0.733333,0.010694,0.00716,0.010526,0.008799,0.012281,0.656541,0.681871,0.21418,0.238596,0.708715,0.733333,645355
2020-05-10,"SLV","El Salvador",1550,0.003944,0.0024,0.004516,0.001703,0.006559,0.003091,0.008387,0.002316,0.622865,0.01856,0.675484,0.011892,0.22064,0.015879,0.254839,0.011069,0.676141,0.017919,0.720645,0.011397,0.003944,0.004516,0.006559,0.008387,0.622865,0.675484,0.22064,0.254839,0.676141,0.720645,645355
2020-05-11,"SLV","El Salvador",1614,0.010606,0.003968,0.011772,0.002685,0.013171,0.004416,0.013631,0.002886,0.633331,0.018667,0.644981,0.011911,0.23944,0.016531,0.270756,0.01106,0.68431,0.018005,0.709418,0.011301,0.010606,0.011772,0.013171,0.013631,0.633331,0.644981,0.23944,0.270756,0.68431,0.709418,645355
2020-05-12,"SLV","El Salvador",1615,0.00754,0.003269,0.00805,0.002224,0.009688,0.003701,0.010526,0.00254,0.619616,0.018346,0.659443,0.011792,0.224284,0.015762,0.260681,0.010924,0.696664,0.017372,0.733127,0.011007,0.00754,0.00805,0.009688,0.010526,0.619616,0.659443,0.224284,0.260681,0.696664,0.733127,645355
2020-05-13,"SLV","El Salvador",1348,0.007187,0.003544,0.009644,0.002662,0.007701,0.003667,0.011869,0.00295,0.607783,0.020484,0.637982,0.01309,0.242575,0.017983,0.271513,0.012113,0.704613,0.01914,0.741098,0.011931,0.007187,0.009644,0.007701,0.011869,0.607783,0.637982,0.242575,0.271513,0.704613,0.741098,645355
2020-05-14,"SLV","El Salvador",1238,0.005676,0.003359,0.008078,0.002544,0.006767,0.003665,0.008885,0.002667,0.647423,0.021361,0.65105,0.013547,0.249108,0.019336,0.278675,0.012742,0.74537,0.019478,0.759289,0.01215,0.005676,0.008078,0.006767,0.008885,0.647423,0.65105,0.249108,0.278675,0.74537,0.759289,645355
2020-05-15,"SLV","El Salvador",1510,0.006895,0.003073,0.010596,0.002635,0.009077,0.003522,0.013245,0.002942,0.605318,0.018151,0.622517,0.012475,0.22417,0.015487,0.274834,0.011489,0.690684,0.017164,0.72053,0.011548,0.006895,0.010596,0.009077,0.013245,0.605318,0.622517,0.22417,0.274834,0.690684,0.72053,645355
2020-05-16,"SLV","El Salvador",1479,0.004874,0.002759,0.00879,0.002427,0.006249,0.003122,0.011494,0.002772,0.632351,0.019104,0.664638,0.012276,0.231424,0.01671,0.279243,0.011665,0.707309,0.018027,0.726842,0.011586,0.004874,0.00879,0.006249,0.011494,0.632351,0.664638,0.231424,0.279243,0.707309,0.726842,645355
2020-05-17,"SLV","El Salvador",1526,0.009375,0.003637,0.009174,0.002441,0.010065,0.003767,0.010485,0.002607,0.619989,0.018318,0.637615,0.012305,0.239035,0.016095,0.263434,0.011276,0.700033,0.017293,0.739843,0.011231,0.009375,0.009174,0.010065,0.010485,0.619989,0.637615,0.239035,0.263434,0.700033,0.739843,645355
2020-05-18,"SLV","El Salvador",1509,0.004798,0.0027,0.007952,0.002286,0.007636,0.003402,0.010603,0.002637,0.592341,0.019203,0.644135,0.012325,0.220321,0.016197,0.266402,0.01138,0.676254,0.018285,0.708416,0.0117,0.00506464897338587,0.00896287787937074,0.0077180488636637,0.0110630068976959,0.595865677578294,0.641324191289574,0.22719380914662,0.264855958013398,0.676254,0.708416,645355
2020-05-19,"SLV","El Salvador",1454,0.014209,0.004774,0.013067,0.002978,0.015644,0.005006,0.014443,0.003129,0.656726,0.019154,0.658184,0.012439,0.265415,0.017813,0.286107,0.011852,0.693488,0.018599,0.722834,0.011738,0.0135159197800285,0.00955342012891046,0.0152707800575027,0.0115252513887712,0.646452220306442,0.649874243326084,0.248259209719481,0.280702089410713,0.693488,0.722834,645355
2020-05-20,"SLV","El Salvador",1216,0.007794,0.003856,0.009868,0.002835,0.009332,0.004216,0.011513,0.003059,0.627673,0.021196,0.645559,0.013717,0.233439,0.018547,0.273849,0.012788,0.676727,0.020507,0.71875,0.012893,0.00940286058836261,0.00962568024845327,0.0104531131670765,0.0115305201427904,0.628787917075511,0.648683119955262,0.242209028419466,0.277500285039775,0.676727,0.71875,645355
2020-05-21,"SLV","El Salvador",1255,0.014349,0.005154,0.011155,0.002965,0.013011,0.004911,0.013546,0.003263,0.615353,0.021085,0.661355,0.013359,0.27576,0.019368,0.297211,0.012901,0.716125,0.01954,0.742629,0.012341,0.0135585892173008,0.00987138853278833,0.0123116656540038,0.0118122126076193,0.625974172429172,0.655728175852739,0.262272750070327,0.292982970886295,0.716125,0.742629,645355
2020-05-22,"SLV","El Salvador",1341,0.010283,0.004334,0.011186,0.002872,0.018829,0.005839,0.016406,0.003469,0.624785,0.0208,0.660701,0.012929,0.25567,0.018741,0.311708,0.012649,0.70451,0.019601,0.723341,0.012216,0.00913740151546854,0.0100952448131486,0.0186480615341884,0.0129963509398212,0.626060015979659,0.659846655304663,0.26200598931568,0.3101678574611,0.70451,0.723341,645355
2020-05-23,"SLV","El Salvador",1434,0.013634,0.004466,0.011158,0.002774,0.017063,0.004988,0.013947,0.003097,0.631978,0.018574,0.656206,0.012543,0.275679,0.01721,0.300558,0.012108,0.653915,0.018321,0.668061,0.012435,0.0115895932619313,0.0103478754286872,0.0176016110378047,0.0133794786315358,0.630620172409177,0.659830994564545,0.272138816765342,0.306146450774724,0.653915,0.668061,645355
2020-05-24,"SLV","El Salvador",1502,0.004403,0.002612,0.007989,0.002297,0.007986,0.003512,0.01265,0.002884,0.6341,0.019006,0.680426,0.012032,0.236532,0.016768,0.298935,0.011812,0.652688,0.018787,0.706391,0.011751,0.00858535884721352,0.0100423830759868,0.00904467037654844,0.0132019942072306,0.627005042142709,0.671347307288572,0.255032105678518,0.300829724499887,0.652688,0.706391,645355
2020-05-25,"SLV","El Salvador",1515,0.007809,0.003586,0.010561,0.002626,0.011681,0.004377,0.015842,0.003208,0.583723,0.020081,0.641584,0.01232,0.259603,0.01786,0.309571,0.011878,0.670743,0.019144,0.69967,0.011777,0.00841697660988151,0.0101503916150691,0.0103258095013601,0.0140677946673798,0.620058085393683,0.659124538711378,0.257246932176853,0.306745574531453,0.670743,0.69967,645355
2020-05-26,"SLV","El Salvador",1410,0.00972,0.004107,0.010638,0.002732,0.01547,0.005166,0.015603,0.0033,0.600882,0.020498,0.666667,0.012554,0.268613,0.018553,0.305674,0.012269,0.717804,0.018839,0.726241,0.011874,0.00920689375764233,0.0102562174655007,0.0153099505518216,0.0146667947398257,0.61524113036719,0.662780093873917,0.263308575800544,0.306550484897545,0.717804,0.726241,645355
2020-05-27,"SLV","El Salvador",1439,0.008606,0.00366,0.011119,0.002764,0.010728,0.004083,0.013204,0.003009,0.658523,0.018792,0.66296,0.012461,0.274459,0.017684,0.312717,0.012221,0.672216,0.018602,0.71091,0.011951,0.0086161994501004,0.0104094469216764,0.0107367517959295,0.0144095531554193,0.653548616366239,0.663294489112757,0.270150278935548,0.311543816394051,0.672216,0.71091,645355
2020-05-28,"SLV","El Salvador",1607,0.008666,0.003694,0.011823,0.002696,0.011464,0.004242,0.016179,0.003147,0.625681,0.019286,0.665215,0.011772,0.285193,0.017993,0.325451,0.011688,0.692245,0.018394,0.73491,0.01101,0.00861827855097417,0.0106323631360989,0.0109065129125555,0.0150168164497334,0.622474806182587,0.664623029739232,0.280628658305933,0.323585382697507,0.688876082288946,0.734263393704657,645355
2020-05-29,"SLV","El Salvador",1631,0.009837,0.003509,0.012876,0.002792,0.008602,0.003284,0.012876,0.002792,0.62836,0.017184,0.657265,0.011752,0.25247,0.015449,0.309013,0.011442,0.720498,0.015958,0.717351,0.01115,0.00874673568282231,0.0111283931461342,0.008647441921152,0.0146540562011255,0.622651058353196,0.661462117252983,0.268429486220842,0.314163462123026,0.715728043771393,0.718511102567371,645355
2020-05-30,"SLV","El Salvador",1600,0.012116,0.004274,0.015,0.003039,0.016593,0.00499,0.018125,0.003335,0.650306,0.018628,0.681875,0.011644,0.280309,0.017545,0.319375,0.011656,0.673931,0.018312,0.725625,0.011155,0.0093142072517587,0.0122292957683493,0.0159263599673208,0.015616964228678,0.625012249102186,0.67138166076682,0.274481214062388,0.317333031933969,0.683686446555893,0.725598220841386,645355
2020-05-31,"SLV","El Salvador",1544,0.017404,0.005207,0.012953,0.002878,0.007804,0.003504,0.012953,0.002878,0.643544,0.019071,0.664508,0.012016,0.23788,0.016954,0.288212,0.011527,0.695571,0.018323,0.729922,0.011299,0.0155624241523033,0.0125663668484071,0.00797561116542622,0.0151878873665397,0.62652131433085,0.669485508353084,0.255969051639293,0.295164975274982,0.690031063688509,0.729971473158672,645355
2020-06-01,"SLV","El Salvador",1180,0.010491,0.004489,0.011017,0.003039,0.012502,0.004895,0.014407,0.003469,0.635045,0.021209,0.672881,0.013658,0.267381,0.019499,0.288983,0.013196,0.684712,0.02047,0.721186,0.013054,0.011271088483922,0.0123012978973732,0.011457773017022,0.0151806754502552,0.627096118763832,0.671881070424086,0.260138869277366,0.286653374683669,0.68567948021779,0.721178655502441,645355
2020-06-02,"SLV","El Salvador",1239,0.013376,0.004914,0.016949,0.003667,0.015389,0.005265,0.01937,0.003915,0.616607,0.020796,0.657789,0.013479,0.257691,0.018707,0.292978,0.01293,0.692764,0.019733,0.717514,0.01279,0.0119557235680598,0.013628344946817,0.0154424487402681,0.0162060537004822,0.625903561558587,0.665866003342426,0.257871744753286,0.288924011766386,0.69135198348306,0.717506410747003,645355
2020-06-03,"SLV","El Salvador",1156,0.015738,0.005696,0.015571,0.003641,0.016035,0.005749,0.016436,0.00374,0.657497,0.02172,0.66955,0.013835,0.302411,0.021022,0.312284,0.01363,0.723573,0.02047,0.722318,0.013172,0.0131825451061582,0.0144055808494327,0.0159293998257762,0.0164678459960803,0.628546073953826,0.667230507971284,0.283616714943314,0.307389842115795,0.719868403411575,0.722321732637989,645355
