"date","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","population"
2020-05-08,"TZA","Tanzania",109,0.063169,0.025724,0.073394,0.024978,0.069688,0.026925,0.082569,0.026362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-05-13,"TZA","Tanzania",107,0.030238,0.019007,0.037383,0.018339,0.023436,0.016792,0.028037,0.015959,0.673151,0.046482,0.69,0.047142,0.369605,0.048355,0.382353,0.04803,NA,NA,NA,NA,58005461
2020-05-15,"TZA","Tanzania",111,0.029579,0.017703,0.036036,0.01769,0.041434,0.020824,0.045045,0.019686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-05-16,"TZA","Tanzania",111,0.017647,0.014415,0.018018,0.012625,0.017647,0.014415,0.018018,0.012625,NA,NA,NA,NA,0.322847,0.047551,0.352941,0.046524,NA,NA,NA,NA,58005461
2020-05-17,"TZA","Tanzania",113,0.027336,0.017152,0.017699,0.012404,0.040173,0.020655,0.035398,0.017383,NA,NA,NA,NA,0.497278,0.049666,0.470588,0.049751,NA,NA,NA,NA,58005461
2020-05-19,"TZA","Tanzania",102,0,0,0,0,0.018875,0.014722,0.019608,0.013728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-05-20,"TZA","Tanzania",101,0.04348,0.022623,0.039604,0.019406,0.050636,0.024322,0.049505,0.021584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-05-21,"TZA","Tanzania",110,0.033975,0.020239,0.036364,0.017848,0.033975,0.020239,0.036364,0.017848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-05-23,"TZA","Tanzania",106,0.022292,0.016464,0.018868,0.013215,0.022292,0.016464,0.018868,0.013215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-05-24,"TZA","Tanzania",108,0.02659,0.017174,0.027778,0.015813,0.02659,0.017174,0.027778,0.015813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-05-25,"TZA","Tanzania",121,0.027094,0.016542,0.033058,0.016253,0.027094,0.016542,0.033058,0.016253,0.57576,0.047793,0.588785,0.048004,0.467939,0.047111,0.423423,0.047575,0.609055,0.048523,0.586538,0.04808,58005461
2020-05-26,"TZA","Tanzania",136,0.033804,0.017935,0.036765,0.016137,0.025335,0.015595,0.029412,0.014488,0.659083,0.043488,0.669492,0.043823,0.481218,0.045778,0.475,0.045803,0.547787,0.046152,0.596491,0.046821,58005461
2020-05-28,"TZA","Tanzania",125,0.029487,0.017207,0.032,0.015742,0.029487,0.017207,0.032,0.015742,0.521302,0.049009,0.514286,0.048985,0.372721,0.046915,0.37963,0.046745,NA,NA,NA,NA,58005461
2020-05-29,"TZA","Tanzania",128,0.064679,0.023536,0.0625,0.021395,0.064679,0.023536,0.0625,0.021395,0.429529,0.048481,0.443396,0.048308,0.546661,0.046695,0.589286,0.047251,0.46141,0.049978,0.485149,0.049851,58005461
2020-05-30,"TZA","Tanzania",123,0.051729,0.022525,0.04065,0.017806,0.043964,0.020851,0.03252,0.015994,0.590598,0.047501,0.592593,0.047537,0.432795,0.047656,0.486486,0.047241,0.582086,0.048523,0.586538,0.048598,58005461
2020-05-31,"TZA","Tanzania",109,0.051349,0.023917,0.055046,0.021845,0.051349,0.023917,0.055046,0.021845,NA,NA,NA,NA,0.539599,0.049742,0.509804,0.049596,NA,NA,NA,NA,58005461
2020-06-02,"TZA","Tanzania",109,0.06639,0.025159,0.06422,0.023481,0.056135,0.023261,0.055046,0.021845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58005461
2020-06-12,"TZA","Tanzania",111,0.021741,0.015935,0.027027,0.015392,0.051235,0.02409,0.045045,0.019686,0.547317,0.050091,0.54,0.050026,0.622384,0.048467,0.601942,0.048001,NA,NA,NA,NA,58005461
2020-06-13,"TZA","Tanzania",114,0.02694,0.018198,0.035088,0.017233,0.037032,0.021225,0.052632,0.020914,NA,NA,NA,NA,0.511145,0.05,0.55,0.050239,NA,NA,NA,NA,58005461
2020-06-14,"TZA","Tanzania",125,0.022727,0.015523,0.024,0.013689,0.028202,0.017243,0.04,0.017527,0.501404,0.048562,0.504673,0.048564,0.437478,0.047086,0.4375,0.047085,NA,NA,NA,NA,58005461
