"date","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","population"
2020-05-08,"TZA","Tanzania",109,0.063169,0.025724,0.073394,0.024978,0.069688,0.026925,0.082569,0.026362,0.491867,0.052865,0.513761,0.047873,0.259512,0.046355,0.256881,0.041849,0.503378,0.052871,0.495413,0.047889,58005461
2020-05-13,"TZA","Tanzania",107,0.030238,0.019007,0.037383,0.018339,0.023436,0.016792,0.028037,0.015959,0.638574,0.053323,0.64486,0.046264,0.355847,0.053141,0.364486,0.046528,0.448028,0.055197,0.485981,0.048318,58005461
2020-05-15,"TZA","Tanzania",111,0.029579,0.017703,0.036036,0.01769,0.041434,0.020824,0.045045,0.019686,0.543673,0.052045,0.531532,0.047363,0.403876,0.05127,0.396396,0.046428,0.50521,0.052242,0.477477,0.04741,58005461
2020-05-16,"TZA","Tanzania",111,0.017647,0.014415,0.018018,0.012625,0.017647,0.014415,0.018018,0.012625,0.506381,0.054734,0.531532,0.047363,0.28411,0.049373,0.324324,0.044432,0.594059,0.053762,0.594595,0.046601,58005461
2020-05-17,"TZA","Tanzania",113,0.027336,0.017152,0.017699,0.012404,0.040173,0.020655,0.035398,0.017383,0.557491,0.052244,0.548673,0.046813,0.450135,0.052331,0.424779,0.046501,0.499442,0.052593,0.504425,0.047034,58005461
2020-05-19,"TZA","Tanzania",102,0,0,0,0,0.018875,0.014722,0.019608,0.013728,0.626646,0.052327,0.607843,0.048342,0.289468,0.049062,0.323529,0.046321,0.487884,0.054075,0.509804,0.049498,58005461
2020-05-20,"TZA","Tanzania",101,0.04348,0.022623,0.039604,0.019406,0.050636,0.024322,0.049505,0.021584,0.563077,0.055023,0.524752,0.049691,0.402428,0.054399,0.435644,0.049338,0.491835,0.055458,0.524752,0.049691,58005461
2020-05-21,"TZA","Tanzania",110,0.033975,0.020239,0.036364,0.017848,0.033975,0.020239,0.036364,0.017848,0.496495,0.055856,0.5,0.047673,0.386957,0.054411,0.427273,0.047166,0.44926,0.055569,0.418182,0.047031,58005461
2020-05-23,"TZA","Tanzania",106,0.022292,0.016464,0.018868,0.013215,0.022292,0.016464,0.018868,0.013215,0.521516,0.055708,0.528302,0.048486,0.473062,0.055678,0.471698,0.048486,0.376801,0.05404,0.358491,0.046579,58005461
2020-05-24,"TZA","Tanzania",108,0.02659,0.017174,0.027778,0.015813,0.02659,0.017174,0.027778,0.015813,0.441281,0.053005,0.425926,0.047582,0.497197,0.053373,0.518519,0.04808,0.51188,0.053359,0.481481,0.04808,58005461
2020-05-25,"TZA","Tanzania",121,0.027094,0.016542,0.033058,0.016253,0.027094,0.016542,0.033058,0.016253,0.486853,0.050927,0.520661,0.045416,0.420705,0.0503,0.38843,0.044308,0.494617,0.050942,0.504132,0.045453,58005461
2020-05-26,"TZA","Tanzania",136,0.033804,0.017935,0.036765,0.016137,0.025335,0.015595,0.029412,0.014488,0.587304,0.048858,0.580882,0.04231,0.433406,0.049178,0.419118,0.04231,0.475624,0.049561,0.5,0.042875,58005461
2020-05-28,"TZA","Tanzania",125,0.029487,0.017207,0.032,0.015742,0.029487,0.017207,0.032,0.015742,0.421983,0.050236,0.432,0.044306,0.31397,0.047208,0.328,0.041992,0.404858,0.04993,0.416,0.044086,58005461
2020-05-29,"TZA","Tanzania",128,0.064679,0.023536,0.0625,0.021395,0.064679,0.023536,0.0625,0.021395,0.349408,0.045624,0.367188,0.042607,0.467694,0.047745,0.515625,0.044173,0.360485,0.045945,0.382813,0.042963,58005461
2020-05-30,"TZA","Tanzania",123,0.051729,0.022525,0.04065,0.017806,0.043964,0.020851,0.03252,0.015994,0.515951,0.050825,0.520325,0.045046,0.393844,0.049692,0.439024,0.044747,0.488703,0.050838,0.495935,0.045082,58005461
2020-05-31,"TZA","Tanzania",109,0.051349,0.023917,0.055046,0.021845,0.051349,0.023917,0.055046,0.021845,0.609709,0.052862,0.587156,0.047158,0.506635,0.054178,0.477064,0.047841,0.444761,0.053851,0.46789,0.047792,58005461
2020-06-02,"TZA","Tanzania",109,0.06639,0.025159,0.06422,0.023481,0.056135,0.023261,0.055046,0.021845,0.507838,0.050521,0.495413,0.047889,0.527024,0.050453,0.513761,0.047873,0.531607,0.050426,0.53211,0.047792,58005461
2020-06-12,"TZA","Tanzania",111,0.021741,0.015935,0.027027,0.015392,0.051235,0.02409,0.045045,0.019686,0.498537,0.054632,0.486486,0.047441,0.591972,0.0537,0.558559,0.047131,0.414057,0.053819,0.414414,0.046757,58005461
2020-06-13,"TZA","Tanzania",114,0.02694,0.018198,0.035088,0.017233,0.037032,0.021225,0.052632,0.020914,0.487183,0.05618,0.421053,0.046242,0.472388,0.056112,0.482456,0.0468,0.416724,0.055413,0.359649,0.044947,58005461
2020-06-14,"TZA","Tanzania",125,0.022727,0.015523,0.024,0.013689,0.028202,0.017243,0.04,0.017527,0.419788,0.051404,0.432,0.044306,0.394547,0.050907,0.392,0.043666,0.475546,0.052016,0.416,0.044086,58005461
