"date","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","percent_cli_smooth","percent_cli_smooth_low","percent_cli_smooth_high","percent_cli_unw_smooth","percent_cli_unw_smooth_low","percent_cli_unw_smooth_high","percent_ili_smooth","percent_ili_smooth_low","percent_ili_smooth_high","percent_ili_unw_smooth","percent_ili_unw_smooth_low","percent_ili_unw_smooth_high","percent_mc_smooth","percent_mc_smooth_low","percent_mc_smooth_high","percent_mc_unw_smooth","percent_mc_unw_smooth_low","percent_mc_unw_smooth_high","percent_dc_smooth","percent_dc_smooth_low","percent_dc_smooth_high","percent_dc_unw_smooth","percent_dc_unw_smooth_low","percent_dc_unw_smooth_high","percent_hf_smooth","percent_hf_smooth_low","percent_hf_smooth_high","percent_hf_unw_smooth","percent_hf_unw_smooth_low","percent_hf_unw_smooth_high","population"
2020-05-02,"BEL","Belgium",714,0.005652,0.003663,0.005602,0.002793,0.006068,0.003794,0.005602,0.002793,0.275785,0.021835,0.316527,0.017407,0.188617,0.019113,0.205882,0.015132,0,0,0,0,0.00568693030822474,0.00384264218952829,0.00753121842692119,0.00642429577158619,0.00497538309667576,0.00787320844649663,0.00616271430741652,0.0042284072410757,0.00809702137375734,0.00684571634918904,0.00529891816910508,0.00839251452927299,0.272870057399556,0.260057747220545,0.285682367578567,0.315919359925611,0.305235042325886,0.326603677525337,0.218651326545946,0.206412875686668,0.230889777405224,0.227077928052892,0.215008899389448,0.239146956716336,0.152141842084059,0.11108697354684,0.193196710621278,0.157949254121459,0.120032814067398,0.19586569417552,11455519
2020-05-03,"BEL","Belgium",1139,0.005367,0.00289,0.003512,0.001753,0.005367,0.00289,0.003512,0.001753,0.297578,0.018083,0.345917,0.014094,0.205133,0.015971,0.222125,0.012317,0.038662,0.007625,0.039508,0.005772,0.00556347854983078,0.0037942309709505,0.00733272612871106,0.00624772564852643,0.00483283111370741,0.00766262018334546,0.00602153265018511,0.00415038113039417,0.00789268416997604,0.00666396414078758,0.00513821335526789,0.00818971492630727,0.282684404417044,0.269420498518979,0.295948310315109,0.327698315116053,0.316758764567659,0.338637865664447,0.223482024297547,0.211323061123122,0.235640987471971,0.232527766695901,0.220288924420315,0.244766608971487,0.191016846353311,0.155853318051837,0.226180374654785,0.202177281391415,0.169100792004873,0.235253770777956,11455519
2020-05-04,"BEL","Belgium",1070,0.004932,0.002834,0.004673,0.002085,0.004932,0.002834,0.004673,0.002085,0.276512,0.018096,0.353271,0.014612,0.218668,0.016724,0.225234,0.012771,0.326008,0.018965,0.357009,0.014647,0.00544469091162108,0.00373776967254954,0.00715161215069261,0.00607919734210409,0.00469045822265136,0.00746793646155682,0.00588499578525524,0.00406370697569757,0.0077062845948129,0.00649103916549331,0.00498258643723943,0.00799949189374719,0.293566797843902,0.279905238077757,0.307228357610048,0.340638651183715,0.329287667604697,0.351989634762732,0.22845409438697,0.216323445382735,0.240584743391205,0.238337678607936,0.225950748001382,0.250724609214489,0.231044427259868,0.203176488783021,0.258912365736716,0.248546630861336,0.222055158326836,0.275038103395835,11455519
2020-05-05,"BEL","Belgium",972,0.001412,0.001714,0.004115,0.002053,0.002201,0.002139,0.005144,0.002295,0.314569,0.0212,0.37037,0.015489,0.242449,0.019567,0.261317,0.014092,0.343477,0.021681,0.353909,0.015338,0.00533060385408528,0.00367554379786795,0.00698566391030262,0.00591870948500087,0.00455182241635222,0.00728559655364952,0.00575320280906651,0.00397226425268901,0.00753414136544401,0.00632705386123343,0.0048360580811271,0.00781804964133976,0.305573167921818,0.291725114307246,0.319421221536389,0.354675321703029,0.343020425859352,0.366330217546706,0.233567067805817,0.221465219274161,0.245668916337474,0.244521231813531,0.232086363391167,0.256956100235895,0.266296063559592,0.243490567078732,0.289101560040452,0.290005590220128,0.268360701922177,0.311650478518079,11455519
2020-05-06,"BEL","Belgium",951,0.008435,0.003916,0.007361,0.002772,0.005194,0.003077,0.005258,0.002345,0.314656,0.019882,0.377497,0.015719,0.234528,0.018141,0.232387,0.013696,0.323533,0.02003,0.371188,0.015666,0.00522127646382639,0.00360903870637275,0.00683351422128004,0.0057661775859409,0.0044179876860216,0.00711436748586019,0.00562635073228206,0.00387813789060438,0.00737456357395974,0.0061718210863301,0.00469850341896107,0.00764513875369913,0.318590493372321,0.304809594662845,0.332371392081796,0.369672823574443,0.357955841647094,0.381389805501792,0.238809673410644,0.226750260244386,0.250869086576903,0.251054503275931,0.238678661810209,0.263430344741653,0.294205391446994,0.272496356107512,0.315914426786476,0.323240345636802,0.302702133201819,0.343778558071784,11455519
2020-05-07,"BEL","Belgium",925,0.00324,0.002542,0.006486,0.002639,0.004441,0.002974,0.006486,0.002639,0.303621,0.020569,0.355676,0.01574,0.248047,0.019319,0.267027,0.014546,0.306231,0.020618,0.334054,0.015508,0.0051167606261063,0.00353942483512329,0.00669409641708932,0.00562150230011925,0.00428915324440211,0.0069538513558364,0.00550462389412086,0.0037826703611627,0.00722657742707902,0.00602512825950981,0.00456862426315742,0.00748163225586219,0.332460311304581,0.318967008653981,0.345953613955181,0.385459560777197,0.3739416644533,0.396977457101093,0.244168200606508,0.232157589646238,0.256178811566779,0.25790594127067,0.245665615603787,0.270146266937554,0.313418299078386,0.290865438118754,0.335971160038018,0.346388290272873,0.324960168974898,0.367816411570848,11455519
2020-05-08,"BEL","Belgium",977,0.002543,0.002081,0.003071,0.00177,0.010468,0.004204,0.005118,0.002283,0.331051,0.01944,0.401228,0.015681,0.25778,0.018069,0.270215,0.014207,0.313404,0.019163,0.336745,0.01512,0.00501709897995764,0.00346774596309734,0.00656645199681794,0.00548457957013248,0.00416527589003804,0.00680388325022692,0.00538818345660237,0.00368690349851869,0.00708946341468606,0.00588677063335923,0.00444501275721978,0.00732852850949868,0.346989461373142,0.33391234840381,0.360066574342474,0.401827912892624,0.390708474496622,0.412947351288625,0.249627490789821,0.237653987295267,0.261600994284376,0.265039672929448,0.252959087801017,0.27712025805788,0.323859859822158,0.301135948414669,0.346583771229647,0.35918404047409,0.337487246927442,0.380880834020739,11455519
2020-05-09,"BEL","Belgium",971,0.003381,0.002348,0.00206,0.001455,0.004072,0.002576,0.00309,0.001781,0.334563,0.019085,0.405767,0.015758,0.254778,0.017625,0.256437,0.014013,0.274202,0.018045,0.322348,0.014999,0.00492232658198868,0.00339501728071255,0.00644963588326481,0.00535530291485198,0.00404638318259769,0.00666422264710626,0.0052771703405558,0.00359182051793747,0.00696252016317413,0.00575655237894776,0.00432666507314084,0.00718643968475468,0.361944789620273,0.349271898307285,0.374617680933261,0.418530007015354,0.407879360373297,0.429180653657411,0.255170861087392,0.243201692277581,0.267140029897202,0.272414960793,0.260456687028224,0.284373234557777,0.326527798183491,0.305037178633115,0.348018417733868,0.362731100441796,0.342188300243219,0.383273900640373,11455519
2020-05-10,"BEL","Belgium",995,0.005277,0.002879,0.00603,0.002454,0.005277,0.002879,0.00603,0.002454,0.394972,0.019427,0.429146,0.015691,0.274435,0.017733,0.293467,0.014436,0.2954,0.018131,0.320603,0.014796,0.00483247253547177,0.00332227871151122,0.00634266635943231,0.00523356559745538,0.00393273724208116,0.0065343939528296,0.00517170815370864,0.0034984829263012,0.00684493338111609,0.00563428760548153,0.00421324407680021,0.00705533113416284,0.377049200461078,0.36460507205592,0.389493328866237,0.435274832594819,0.424986842005533,0.445562823184106,0.260780038400431,0.248766055377819,0.272794021423042,0.279985712423958,0.268056778875996,0.291914645971919,0.323135496744974,0.303590401562896,0.342680591927053,0.359057688555495,0.340438342019459,0.377677035091532,11455519
2020-05-11,"BEL","Belgium",903,0.004971,0.002917,0.00443,0.00221,0.004971,0.002917,0.00443,0.00221,0.40909,0.020391,0.465116,0.016598,0.279897,0.01862,0.305648,0.015331,0.325559,0.019434,0.346622,0.015837,0.00474756158608516,0.0032506077517109,0.00624451542045943,0.00511926268449537,0.0038248799993819,0.00641364536960883,0.00507190610084332,0.00340807677984947,0.00673573542183717,0.00551980132695144,0.00410513652091438,0.00693446613298851,0.391979589674856,0.37945804735481,0.404501131994902,0.451727165718715,0.441523886281661,0.461930445155769,0.266435105698832,0.254322233827388,0.278547977570276,0.287700059052348,0.275675741207095,0.299724376897601,0.315734368911742,0.297649741949186,0.333818995874298,0.350633241328462,0.333508160214436,0.367758322442488,11455519
