"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"Afghanistan","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.02031831801199,0.0369012739319184,0.917032702423891
"Albania","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,0.99313921249126,0.0150576579793611,0.779805209281184
"Algeria","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.09763721069017,0.00736145002520657,3.50024611328179
"Andorra","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,0.988726241613211,0.0167136474009597,0.861333711097698
"Angola","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.10446914520221,0.00429967095268989,3.92688790179139
"Argentina","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.00448208605495,0.00760011536621889,0.989344042435536
"Aruba","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,0.957944778547613,0.0100328675913505,0.541872765291103
"Australia","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.11045592093194,0.0039871735244664,4.49853425760013
"Austria","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.02042828752874,0.00572327180161832,1.26064701875219
"Azerbaijan","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.06095553738737,0.00751936233386436,2.15825075935903
"Bahamas","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.07608624219024,0.00366154660730874,2.73542177341441
"Bahrain","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.01875361798805,0.00408055447844309,1.25047527889427
"Bangladesh","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.09875404083374,0.00304874597927444,3.71248533705379
"Barbados","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,0.926738284464675,0.0040732771266689,0.330107335175972
"Belarus","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,0.985288394415834,0.0189667396362993,0.668223214232783
"Belgium","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.01944355907066,0.00392862346863748,1.26419651542914
"Belize","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.02724265821738,0.0112851746283167,1.31223802491781
"Benin","","2020-01-01",0,0,0,0,0,0,0,0,0,3,1,0,1.11207464677616,0.00569003902165044,4.24706152214381
