"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"Afghanistan","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10819540338532,0.0115820148739586,4.67862858152167
"Albania","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07204494045959,0.00739858371635221,2.83684852697513
"Algeria","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09321913784005,0.0174278648634784,4.0913663319949
"Andorra","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.00566274291035,0.000871738167220449,1.0844711303364
"Angola","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09890246983641,0.0161232084738217,4.36706739176419
"Argentina","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07057833996798,0.00529153576643243,2.73222093250522
"Aruba","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.05967211053399,0.00378874067052359,2.32544654295475
"Australia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.12936579241775,0.00527812360183848,5.64912081782374
"Austria","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.05535445388061,0.0069122460506068,2.2728868512093
"Azerbaijan","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.06585798781853,0.00471904089164282,2.49317375250141
"Bahamas","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09475778995714,0.00623962490853763,3.74029259417876
"Bahrain","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.05297761833288,0.00751833852731554,2.21598543392461
"Bangladesh","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09422261331483,0.0167210940622561,4.12120633001297
"Barbados","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.11965131985226,0.00674507009413535,5.11025018496439
"Belarus","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.0775352950524,0.0057537931130301,2.98753866942448
"Belgium","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.05500941808989,0.00283115254104717,2.07911882706747
"Belize","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.05642697407387,0.0154355786219301,2.5124172405607
"Benin","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.15512650571183,0.00982525848016025,6.91054488027727
"Bermuda","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.08552439813969,0.0120272541770111,2.92074891062284
"Bhutan","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09152339169289,0.0198133819985879,4.06308152484647
"Bolivia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.11142194219432,0.00158428415579301,4.43228456699006
"Bosnia and Herzegovina","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.06007641713606,0.0089060351896216,2.46616311609609
"Botswana","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.08531169176447,0.0186095264084977,3.74617554433929
"Brazil","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.06649775954023,0.00389197644611973,2.53636401853665
"Brunei","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.0599804435073,0.0108697821823628,2.51056595023702
"Burkina Faso","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.12369384952621,0.00473496559478683,5.35480593799248
"Burundi","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.1276605163589,0.00678664570785752,5.66452698097277
"Cambodia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07603517699346,0.0272023285547321,3.60719995876331
"Cameroon","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.12231055573268,0.00626047479588672,5.32953479546361
"Canada","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.08233128188791,0.00665271335572924,3.20741839423187
"Cape Verde","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07986083845893,0.0104885733683894,3.23846605855624
"Central African Republic","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chad","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.14243615782021,0.00317649053973606,6.27760748469517
"Chile","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07762206067703,0.00527894733182711,2.98723854952288
"China","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10423806595673,0.0143706144946872,4.57589478231394
"Colombia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07451682553881,0.003547372046105,2.72061209644632
"Comoros","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.17090668324362,0.0224399566863243,7.75013888264582
"Congo","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09801593546471,0.0162112806680767,4.32573406757478
"Costa Rica","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.06662826779086,0.00735523031031389,2.64156696032231
"Cote d'Ivoire","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.11624239220035,0.00898189684079929,5.05167636717149
"Croatia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.0344150477043,0.00319774362651526,1.62280133996841
"Cuba","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10686912867388,0.0126527129461043,4.63988109882998
"Cyprus","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07623996873877,0.00872920703444729,2.64735822377718
"Czech Republic","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.04129922194787,0.0105254161020456,1.60261273177853
"Democratic Republic of Congo","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.11112808666533,0.0113913095756198,4.84685812518436
"Denmark","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.05900702796766,0.015854229624956,1.95583907543748
"Djibouti","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.12232413485367,0.00430260145411078,5.15737042221505
"Dominica","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09186693623203,0.0185545815182668,4.11068726988013
"Dominican Republic","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.08607534304018,0.0103582112806617,3.5123444814401
"Ecuador","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09225746464999,0.0114789729716685,3.81621931831135
"Egypt","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.1086753336999,0.0114064841007338,4.70414635305741
"El Salvador","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10569580229553,0.00661202446277317,4.33933903332755
"Eritrea","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.12369749705578,0.00627818380345568,5.38318938983765
"Estonia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07182022700914,0.00586807016233126,2.59388165396208
"Eswatini","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.12169675793315,0.0107639086762671,4.58473203503558
"Ethiopia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10048786575815,0.015322924465589,4.3970192054468
"Faeroe Islands","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10151383273383,0.00820231835326786,4.17311086272199
"Fiji","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09577670580564,0.0178406471727862,4.2127743131935
"Finland","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.08883647205112,0.0141611548046365,3.77285492963787
"France","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.06905469589887,0.00410046413462664,2.4983363082866
"Gabon","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10050450851885,0.0133543438795595,4.33220511809982
"Gambia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.09274820349502,0.0180792840393483,4.1028764828054
"Georgia","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.02505437193983,0.00442384956203368,1.46951222046787
"Germany","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.07489887345585,0.00435421480858931,2.76097714648581
"Ghana","","2020-01-01",0,0,0,0,0,0,0,0,0,0,0,0,1.10527152706998,0.0128933663604413,4.57521392969362
