"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"Afghanistan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02217866164506,0.0385822845628406,0.925816021678796
"Albania","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.996272236735231,0.0156543419899158,0.810851365424083
"Algeria","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.10242119400565,0.00780919657555126,3.71995965254216
"Andorra","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.989795453244052,0.0148983791642165,0.881571276756592
"Angola","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.10960075284425,0.00454766867640567,4.20010772302193
"Argentina","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.0084175258765,0.00781631783607456,1.04410994353302
"Aruba","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.961024726642574,0.00699045788214663,0.562105638167291
"Australia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.11626641568531,0.00479874656959118,4.87501670784455
"Austria","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02468687194759,0.00587545812712312,1.33671616631789
"Azerbaijan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.06533423323157,0.00797453506888805,2.28369942759178
"Bahamas","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.08101878970885,0.00387291016621402,2.92266586648097
"Bahrain","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02330363277606,0.00400858670725673,1.33407552877137
"Bangladesh","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.1039129769871,0.00337842487220254,3.97541495910258
"Barbados","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.93060554328359,0.0037881271264996,0.35111085377898
"Belarus","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.988110012795353,0.0196536366066323,0.69118996174187
"Belgium","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02402868716001,0.0038367007512635,1.3495727265032
"Belize","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.03098257477321,0.011860819663062,1.37567218362151
"Benin","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.11729814242789,0.00577152640894206,4.54762287922556
"Bermuda","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.0332541483506,0.0248672809790046,1.24813439435132
"Bhutan","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.10196514502157,0.00596241886617013,3.77342693779
"Bolivia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.980881838945763,0.0190447944431449,0.626508686313541
"Bosnia and Herzegovina","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02754490433194,0.0122248395443518,1.30558210920083
"Botswana","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.975603721602522,0.0212330227692459,0.566771769610732
"Brazil","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.01427862594133,0.00714996387996283,1.14176980886766
"Brunei","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.12075488430933,0.00175745605760323,4.99308081701307
"Bulgaria","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.03413321258471,0.012961997331381,1.42068918903749
"Burkina Faso","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.07147969082524,0.028967527956107,2.03510949361684
"Burundi","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.00891560803055,0.0456048024912145,0.7091087711683
"Cambodia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.12207549967411,0.00151926711825366,5.03892700841007
"Cameroon","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Canada","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.00921501961656,0.0144568881060477,0.987920587838343
"Cape Verde","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.995650114644606,0.0145189345993335,0.813395710726916
"Central African Republic","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.12446060253175,0.00123618866153695,5.16242969920192
"Chad","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.10451569395842,0.00606778280027958,3.89199151575097
"Chile","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.0227609437873,0.00899970675807066,1.26245763047873
"China","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.12072439392024,0.00491525958825298,5.15885075466824
"Colombia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.00821908708008,0.0080807493093188,1.03862678292003
"Comoros","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.930461665857892,0.0202363431208259,0.292404715875807
"Congo","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.12053163300244,0.00288236246339894,5.05035648214735
"Costa Rica","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.01177227683694,0.00984800280231357,1.07220774698314
"Cote d'Ivoire","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.03799596756633,0.0377493902742708,1.1703711249608
"Croatia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02325174386922,0.00476122403037378,1.32304885824992
"Cuba","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.04768135924978,0.0252391775039462,1.52409536404292
"Cyprus","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.99984728713743,0.00990919247230418,0.905477863574436
"Czech Republic","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.982101724070827,0.0129940149493408,0.770297267370896
"Democratic Republic of Congo","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.10939366933752,0.00640062940229387,4.11327838357615
"Denmark","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.0214685209848,0.00904536668879343,1.23908385651952
"Djibouti","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.09808647044916,0.00982231695357416,3.44858149766325
"Dominica","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02137776138555,0.0339651142525897,0.960664636040585
"Dominican Republic","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.01640595181923,0.0186076387118244,1.04858442546615
"Ecuador","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.0388457326271,0.0205592204841382,1.40975711653008
"Egypt","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.08942565951616,0.0138670517875055,2.98313284105946
"El Salvador","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.02223197875219,0.0262839520499876,1.05314749253849
"Eritrea","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,1.11270839918491,0.00308617997675272,4.57031234461414
"Estonia","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.983749123737968,0.00937584781737798,0.723039689994637
"Eswatini","","2020-01-01",0,0,0,0,0,0,0,0,1,0,0,1,0.996930543172077,0.0192232319623668,0.788971197649838
