"year_week","date","countrycode","countryname","hosp_occupancy","hosp_weekly_admission","icu_weekly_admission"
"2020-W08",2020-02-19,"LT","Lithuania",NA,NA,NA
"2020-W08",2020-02-20,"LT","Lithuania",NA,NA,NA
"2020-W08",2020-02-21,"LT","Lithuania",NA,NA,NA
"2020-W08",2020-02-22,"LT","Lithuania",NA,NA,NA
"2020-W08",2020-02-23,"LT","Lithuania",NA,NA,NA
"2020-W08",2020-02-24,"LT","Lithuania",NA,NA,NA
"2020-W09",2020-02-25,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W09",2020-02-26,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W09",2020-02-27,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W09",2020-02-28,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W09",2020-02-29,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W09",2020-03-01,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W09",2020-03-02,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W09",2020-03-03,"LT","Lithuania",NA,0.107365871395728,NA
"2020-W10",2020-03-04,"LT","Lithuania",NA,NA,NA
"2020-W10",2020-03-05,"LT","Lithuania",NA,NA,NA
"2020-W10",2020-03-06,"LT","Lithuania",NA,NA,NA
"2020-W10",2020-03-07,"LT","Lithuania",NA,NA,NA
"2020-W10",2020-03-08,"LT","Lithuania",NA,NA,NA
"2020-W11",2020-03-09,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W11",2020-03-10,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W11",2020-03-11,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W11",2020-03-12,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W11",2020-03-13,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W11",2020-03-14,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W11",2020-03-15,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W11",2020-03-16,"LT","Lithuania",NA,0.78734972356867,NA
"2020-W12",2020-03-17,"LT","Lithuania",NA,3.22097614187183,NA
"2020-W12",2020-03-18,"LT","Lithuania",NA,3.22097614187183,NA
"2020-W12",2020-03-19,"LT","Lithuania",NA,3.22097614187183,NA
"2020-W12",2020-03-20,"LT","Lithuania",NA,3.22097614187183,NA
"2020-W12",2020-03-21,"LT","Lithuania",NA,3.22097614187183,NA
"2020-W12",2020-03-22,"LT","Lithuania",NA,3.22097614187183,NA
"2020-W13",2020-03-23,"LT","Lithuania",NA,3.04203302287895,NA
"2020-W13",2020-03-24,"LT","Lithuania",NA,3.04203302287895,NA
"2020-W13",2020-03-25,"LT","Lithuania",NA,3.04203302287895,NA
"2020-W13",2020-03-26,"LT","Lithuania",NA,3.04203302287895,NA
"2020-W13",2020-03-27,"LT","Lithuania",NA,3.04203302287895,NA
