"year_week","date","countrycode","countryname","icu_occupancy","hosp_weekly_admission"
"2020-W05",2020-02-02,"DE","Germany",NA,0.0566134010448883
"2020-W06",2020-02-03,"DE","Germany",NA,0.0289089707463259
"2020-W06",2020-02-04,"DE","Germany",NA,0.0289089707463259
"2020-W06",2020-02-05,"DE","Germany",NA,0.0289089707463259
"2020-W06",2020-02-06,"DE","Germany",NA,0.0289089707463259
"2020-W06",2020-02-07,"DE","Germany",NA,0.0289089707463259
"2020-W06",2020-02-08,"DE","Germany",NA,0.0289089707463259
"2020-W06",2020-02-09,"DE","Germany",NA,0.0289089707463259
"2020-W07",2020-02-10,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-11,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-12,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-13,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-14,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-15,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-16,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-17,"DE","Germany",NA,0.0433634561194889
"2020-W07",2020-02-18,"DE","Germany",NA,0.0433634561194889
"2020-W08",2020-02-19,"DE","Germany",NA,0.068658805522524
"2020-W08",2020-02-20,"DE","Germany",NA,0.068658805522524
"2020-W08",2020-02-21,"DE","Germany",NA,0.068658805522524
"2020-W08",2020-02-22,"DE","Germany",NA,0.068658805522524
"2020-W08",2020-02-23,"DE","Germany",NA,0.068658805522524
"2020-W08",2020-02-24,"DE","Germany",NA,0.068658805522524
"2020-W09",2020-02-25,"DE","Germany",NA,0.215612740149681
"2020-W09",2020-02-26,"DE","Germany",NA,0.215612740149681
"2020-W09",2020-02-27,"DE","Germany",NA,0.215612740149681
"2020-W09",2020-02-28,"DE","Germany",NA,0.215612740149681
"2020-W09",2020-02-29,"DE","Germany",NA,0.215612740149681
"2020-W09",2020-03-01,"DE","Germany",NA,0.215612740149681
"2020-W09",2020-03-02,"DE","Germany",NA,0.215612740149681
"2020-W09",2020-03-03,"DE","Germany",NA,0.215612740149681
"2020-W10",2020-03-04,"DE","Germany",NA,0.399907428657508
"2020-W10",2020-03-05,"DE","Germany",NA,0.399907428657508
"2020-W10",2020-03-06,"DE","Germany",NA,0.399907428657508
"2020-W10",2020-03-07,"DE","Germany",NA,0.399907428657508
"2020-W10",2020-03-08,"DE","Germany",NA,0.399907428657508
"2020-W11",2020-03-09,"DE","Germany",NA,1.11299537373355
"2020-W11",2020-03-10,"DE","Germany",NA,1.11299537373355
"2020-W11",2020-03-11,"DE","Germany",NA,1.11299537373355
"2020-W11",2020-03-12,"DE","Germany",NA,1.11299537373355
"2020-W11",2020-03-13,"DE","Germany",NA,1.11299537373355
"2020-W11",2020-03-14,"DE","Germany",NA,1.11299537373355
"2020-W11",2020-03-15,"DE","Germany",NA,1.11299537373355
"2020-W11",2020-03-16,"DE","Germany",NA,1.11299537373355
"2020-W12",2020-03-17,"DE","Germany",NA,2.80898832418467
"2020-W12",2020-03-18,"DE","Germany",NA,2.80898832418467
"2020-W12",2020-03-19,"DE","Germany",NA,2.80898832418467
"2020-W12",2020-03-20,"DE","Germany",200,2.80898832418467
"2020-W12",2020-03-21,"DE","Germany",308,2.80898832418467
"2020-W12",2020-03-22,"DE","Germany",364,2.80898832418467
"2020-W13",2020-03-23,"DE","Germany",451,5.33972780493595
"2020-W13",2020-03-24,"DE","Germany",616,5.33972780493595
"2020-W13",2020-03-25,"DE","Germany",789,5.33972780493595
"2020-W13",2020-03-26,"DE","Germany",824,5.33972780493595
"2020-W13",2020-03-27,"DE","Germany",905,5.33972780493595
"2020-W13",2020-03-28,"DE","Germany",1001,5.33972780493595
"2020-W13",2020-03-29,"DE","Germany",1063,5.33972780493595
"2020-W14",2020-03-30,"DE","Germany",1203,4.97716113015911
"2020-W14",2020-03-31,"DE","Germany",1550,4.97716113015911
"2020-W14",2020-04-01,"DE","Germany",1784,4.97716113015911
"2020-W14",2020-04-02,"DE","Germany",2102,4.97716113015911
"2020-W14",2020-04-03,"DE","Germany",2361,4.97716113015911
"2020-W14",2020-04-04,"DE","Germany",2471,4.97716113015911
"2020-W14",2020-04-05,"DE","Germany",2528,4.97716113015911
"2020-W15",2020-04-06,"DE","Germany",2551,3.64614393538036
"2020-W15",2020-04-07,"DE","Germany",2641,3.64614393538036
"2020-W15",2020-04-08,"DE","Germany",2654,3.64614393538036
"2020-W15",2020-04-09,"DE","Germany",2714,3.64614393538036
"2020-W15",2020-04-10,"DE","Germany",2702,3.64614393538036
"2020-W15",2020-04-11,"DE","Germany",2652,3.64614393538036
"2020-W15",2020-04-12,"DE","Germany",2652,3.64614393538036
"2020-W16",2020-04-13,"DE","Germany",2719,2.55964845149761
"2020-W16",2020-04-14,"DE","Germany",2722,2.55964845149761
"2020-W16",2020-04-15,"DE","Germany",2735,2.55964845149761
"2020-W16",2020-04-16,"DE","Germany",2810,2.55964845149761
"2020-W16",2020-04-17,"DE","Germany",2879,2.55964845149761
"2020-W16",2020-04-18,"DE","Germany",2928,2.55964845149761
"2020-W16",2020-04-19,"DE","Germany",2870,2.55964845149761
"2020-W17",2020-04-20,"DE","Germany",2900,1.7959698076155
"2020-W17",2020-04-21,"DE","Germany",2855,1.7959698076155
"2020-W17",2020-04-22,"DE","Germany",2739,1.7959698076155
"2020-W17",2020-04-23,"DE","Germany",2720,1.7959698076155
"2020-W17",2020-04-24,"DE","Germany",2644,1.7959698076155
"2020-W17",2020-04-25,"DE","Germany",2538,1.7959698076155
"2020-W17",2020-04-26,"DE","Germany",2524,1.7959698076155
"2020-W18",2020-04-27,"DE","Germany",2466,1.18767688149489
"2020-W18",2020-04-28,"DE","Germany",2391,1.18767688149489
"2020-W18",2020-04-29,"DE","Germany",2310,1.18767688149489
"2020-W18",2020-04-30,"DE","Germany",2235,1.18767688149489
"2020-W18",2020-05-01,"DE","Germany",2118,1.18767688149489
"2020-W18",2020-05-02,"DE","Germany",2046,1.18767688149489
"2020-W18",2020-05-03,"DE","Germany",2011,1.18767688149489
"2020-W19",2020-05-04,"DE","Germany",1976,0.897382633583867
"2020-W19",2020-05-05,"DE","Germany",1903,0.897382633583867
"2020-W19",2020-05-06,"DE","Germany",1820,0.897382633583867
"2020-W19",2020-05-07,"DE","Germany",1763,0.897382633583867
"2020-W19",2020-05-08,"DE","Germany",1659,0.897382633583867
"2020-W19",2020-05-09,"DE","Germany",1594,0.897382633583867
"2020-W19",2020-05-10,"DE","Germany",1603,0.897382633583867
"2020-W20",2020-05-11,"DE","Germany",1587,0.56854309134441
"2020-W20",2020-05-12,"DE","Germany",1496,0.56854309134441
"2020-W20",2020-05-13,"DE","Germany",1384,0.56854309134441
"2020-W20",2020-05-14,"DE","Germany",1316,0.56854309134441
"2020-W20",2020-05-15,"DE","Germany",1232,0.56854309134441
"2020-W20",2020-05-16,"DE","Germany",1173,0.56854309134441
"2020-W20",2020-05-17,"DE","Germany",1125,0.56854309134441
"2020-W21",2020-05-18,"DE","Germany",1122,0.434839101642652
"2020-W21",2020-05-19,"DE","Germany",1087,0.434839101642652
"2020-W21",2020-05-20,"DE","Germany",1019,0.434839101642652
"2020-W21",2020-05-21,"DE","Germany",999,0.434839101642652
"2020-W21",2020-05-22,"DE","Germany",971,0.434839101642652
"2020-W21",2020-05-23,"DE","Germany",928,0.434839101642652
"2020-W21",2020-05-24,"DE","Germany",896,0.434839101642652
"2020-W22",2020-05-25,"DE","Germany",883,0.362566674776838
"2020-W22",2020-05-26,"DE","Germany",810,0.362566674776838
"2020-W22",2020-05-27,"DE","Germany",749,0.362566674776838
"2020-W22",2020-05-28,"DE","Germany",723,0.362566674776838
"2020-W22",2020-05-29,"DE","Germany",722,0.362566674776838
"2020-W22",2020-05-30,"DE","Germany",711,0.362566674776838
"2020-W22",2020-05-31,"DE","Germany",697,0.362566674776838
"2020-W23",2020-06-01,"DE","Germany",696,0.273430681642333
"2020-W23",2020-06-02,"DE","Germany",691,0.273430681642333
"2020-W23",2020-06-03,"DE","Germany",631,0.273430681642333
"2020-W23",2020-06-04,"DE","Germany",595,0.273430681642333
"2020-W23",2020-06-05,"DE","Germany",584,0.273430681642333
"2020-W23",2020-06-06,"DE","Germany",561,0.273430681642333
"2020-W23",2020-06-07,"DE","Germany",566,0.273430681642333
"2020-W24",2020-06-08,"DE","Germany",543,0.332453163582748
"2020-W24",2020-06-09,"DE","Germany",516,0.332453163582748
"2020-W24",2020-06-10,"DE","Germany",483,0.332453163582748
"2020-W24",2020-06-11,"DE","Germany",452,0.332453163582748
"2020-W24",2020-06-12,"DE","Germany",450,0.332453163582748
"2020-W24",2020-06-13,"DE","Germany",441,0.332453163582748
"2020-W24",2020-06-14,"DE","Germany",438,0.332453163582748
"2020-W25",2020-06-15,"DE","Germany",434,0.298726031045368
"2020-W25",2020-06-16,"DE","Germany",421,0.298726031045368
"2020-W25",2020-06-17,"DE","Germany",407,0.298726031045368
"2020-W25",2020-06-18,"DE","Germany",394,0.298726031045368
"2020-W25",2020-06-19,"DE","Germany",374,0.298726031045368
"2020-W25",2020-06-20,"DE","Germany",359,0.298726031045368
"2020-W25",2020-06-21,"DE","Germany",350,0.298726031045368
"2020-W26",2020-06-22,"DE","Germany",363,0.261385277164697
"2020-W26",2020-06-23,"DE","Germany",358,0.261385277164697
"2020-W26",2020-06-24,"DE","Germany",353,0.261385277164697
"2020-W26",2020-06-25,"DE","Germany",358,0.261385277164697
"2020-W26",2020-06-26,"DE","Germany",359,0.261385277164697
"2020-W26",2020-06-27,"DE","Germany",343,0.261385277164697
"2020-W26",2020-06-28,"DE","Germany",335,0.261385277164697
"2020-W27",2020-06-29,"DE","Germany",329,0.249339872687061
"2020-W27",2020-06-30,"DE","Germany",333,0.249339872687061
"2020-W27",2020-07-01,"DE","Germany",324,0.249339872687061
"2020-W27",2020-07-02,"DE","Germany",325,0.249339872687061
"2020-W27",2020-07-03,"DE","Germany",314,0.249339872687061
"2020-W27",2020-07-04,"DE","Germany",320,0.249339872687061
"2020-W27",2020-07-05,"DE","Germany",299,0.249339872687061
"2020-W28",2020-07-06,"DE","Germany",305,0.263794358060224
"2020-W28",2020-07-07,"DE","Germany",292,0.263794358060224
"2020-W28",2020-07-08,"DE","Germany",287,0.263794358060224
"2020-W28",2020-07-09,"DE","Germany",272,0.263794358060224
"2020-W28",2020-07-10,"DE","Germany",276,0.263794358060224
"2020-W28",2020-07-11,"DE","Germany",253,0.263794358060224
"2020-W28",2020-07-12,"DE","Germany",254,0.263794358060224
"2020-W29",2020-07-13,"DE","Germany",263,0.302339652388659
"2020-W29",2020-07-14,"DE","Germany",256,0.302339652388659
"2020-W29",2020-07-15,"DE","Germany",246,0.302339652388659
"2020-W29",2020-07-16,"DE","Germany",251,0.302339652388659
"2020-W29",2020-07-17,"DE","Germany",246,0.302339652388659
"2020-W29",2020-07-18,"DE","Germany",246,0.302339652388659
"2020-W29",2020-07-19,"DE","Germany",249,0.302339652388659
"2020-W30",2020-07-20,"DE","Germany",245,0.346907648955911
"2020-W30",2020-07-21,"DE","Germany",251,0.346907648955911
"2020-W30",2020-07-22,"DE","Germany",248,0.346907648955911
"2020-W30",2020-07-23,"DE","Germany",234,0.346907648955911
"2020-W30",2020-07-24,"DE","Germany",235,0.346907648955911
"2020-W30",2020-07-25,"DE","Germany",247,0.346907648955911
"2020-W30",2020-07-26,"DE","Germany",265,0.346907648955911
"2020-W31",2020-07-27,"DE","Germany",257,0.393884726418691
"2020-W31",2020-07-28,"DE","Germany",253,0.393884726418691
"2020-W31",2020-07-29,"DE","Germany",255,0.393884726418691
"2020-W31",2020-07-30,"DE","Germany",260,0.393884726418691
"2020-W31",2020-07-31,"DE","Germany",259,0.393884726418691
"2020-W31",2020-08-01,"DE","Germany",255,0.393884726418691
"2020-W31",2020-08-02,"DE","Germany",267,0.393884726418691
"2020-W32",2020-08-03,"DE","Germany",263,0.354134891642493
"2020-W32",2020-08-04,"DE","Germany",258,0.354134891642493
"2020-W32",2020-08-05,"DE","Germany",238,0.354134891642493
"2020-W32",2020-08-06,"DE","Germany",236,0.354134891642493
"2020-W32",2020-08-07,"DE","Germany",226,0.354134891642493
"2020-W32",2020-08-08,"DE","Germany",228,0.354134891642493
"2020-W32",2020-08-09,"DE","Germany",234,0.354134891642493
"2020-W33",2020-08-10,"DE","Germany",227,0.396293807314218
"2020-W33",2020-08-11,"DE","Germany",230,0.396293807314218
"2020-W33",2020-08-12,"DE","Germany",220,0.396293807314218
"2020-W33",2020-08-13,"DE","Germany",223,0.396293807314218
"2020-W33",2020-08-14,"DE","Germany",230,0.396293807314218
"2020-W33",2020-08-15,"DE","Germany",228,0.396293807314218
"2020-W33",2020-08-16,"DE","Germany",224,0.396293807314218
"2020-W34",2020-08-17,"DE","Germany",226,0.355339432090256
"2020-W34",2020-08-18,"DE","Germany",219,0.355339432090256
"2020-W34",2020-08-19,"DE","Germany",226,0.355339432090256
"2020-W34",2020-08-20,"DE","Germany",229,0.355339432090256
"2020-W34",2020-08-21,"DE","Germany",235,0.355339432090256
