"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","icu_weekly_admission"
"2020-W06",2020-02-03,"SE","Sweden",NA,NA,0
"2020-W06",2020-02-04,"SE","Sweden",NA,NA,0
"2020-W06",2020-02-05,"SE","Sweden",NA,NA,0
"2020-W06",2020-02-06,"SE","Sweden",NA,NA,0
"2020-W06",2020-02-07,"SE","Sweden",NA,NA,0
"2020-W06",2020-02-08,"SE","Sweden",NA,NA,0
"2020-W06",2020-02-09,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-10,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-11,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-12,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-13,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-14,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-15,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-16,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-17,"SE","Sweden",NA,NA,0
"2020-W07",2020-02-18,"SE","Sweden",NA,NA,0
"2020-W08",2020-02-19,"SE","Sweden",NA,NA,0
"2020-W08",2020-02-20,"SE","Sweden",NA,NA,0
"2020-W08",2020-02-21,"SE","Sweden",NA,NA,0
"2020-W08",2020-02-22,"SE","Sweden",NA,NA,0
"2020-W08",2020-02-23,"SE","Sweden",NA,NA,0
"2020-W08",2020-02-24,"SE","Sweden",NA,NA,0
"2020-W09",2020-02-25,"SE","Sweden",NA,NA,0
"2020-W09",2020-02-26,"SE","Sweden",NA,NA,0
"2020-W09",2020-02-27,"SE","Sweden",1,0,0
"2020-W09",2020-02-28,"SE","Sweden",1,0,0
"2020-W09",2020-02-29,"SE","Sweden",1,0,0
"2020-W09",2020-03-01,"SE","Sweden",1,0,0
"2020-W09",2020-03-02,"SE","Sweden",3,0,0
"2020-W09",2020-03-03,"SE","Sweden",3,0,0
"2020-W10",2020-03-04,"SE","Sweden",3,0,0.0293249828815412
"2020-W10",2020-03-05,"SE","Sweden",6,0,0.0293249828815412
"2020-W10",2020-03-06,"SE","Sweden",7,0,0.0293249828815412
"2020-W10",2020-03-07,"SE","Sweden",7,0,0.0293249828815412
"2020-W10",2020-03-08,"SE","Sweden",7,0,0.0293249828815412
"2020-W11",2020-03-09,"SE","Sweden",10,0,0.156399908701553
"2020-W11",2020-03-10,"SE","Sweden",14,0,0.156399908701553
"2020-W11",2020-03-11,"SE","Sweden",18,0,0.156399908701553
"2020-W11",2020-03-12,"SE","Sweden",15,0,0.156399908701553
"2020-W11",2020-03-13,"SE","Sweden",16,0,0.156399908701553
"2020-W11",2020-03-14,"SE","Sweden",18,1,0.156399908701553
"2020-W11",2020-03-15,"SE","Sweden",23,2,0.156399908701553
"2020-W11",2020-03-16,"SE","Sweden",26,3,0.156399908701553
"2020-W12",2020-03-17,"SE","Sweden",46,3,0.860199497858543
"2020-W12",2020-03-18,"SE","Sweden",65,7,0.860199497858543
"2020-W12",2020-03-19,"SE","Sweden",209,31,0.860199497858543
"2020-W12",2020-03-20,"SE","Sweden",267,35,0.860199497858543
"2020-W12",2020-03-21,"SE","Sweden",319,56,0.860199497858543
"2020-W12",2020-03-22,"SE","Sweden",384,62,0.860199497858543
"2020-W13",2020-03-23,"SE","Sweden",461,94,2.32644864193561
"2020-W13",2020-03-24,"SE","Sweden",530,106,2.32644864193561
"2020-W13",2020-03-25,"SE","Sweden",638,132,2.32644864193561
"2020-W13",2020-03-26,"SE","Sweden",751,161,2.32644864193561
"2020-W13",2020-03-27,"SE","Sweden",880,187,2.32644864193561
"2020-W13",2020-03-28,"SE","Sweden",948,199,2.32644864193561
"2020-W13",2020-03-29,"SE","Sweden",1045,221,2.32644864193561
"2020-W14",2020-03-30,"SE","Sweden",1162,262,2.70767341939564
"2020-W14",2020-03-31,"SE","Sweden",1295,298,2.70767341939564
"2020-W14",2020-04-01,"SE","Sweden",1382,315,2.70767341939564
"2020-W14",2020-04-02,"SE","Sweden",1487,342,2.70767341939564
"2020-W14",2020-04-03,"SE","Sweden",1524,361,2.70767341939564
"2020-W14",2020-04-04,"SE","Sweden",1570,378,2.70767341939564
"2020-W14",2020-04-05,"SE","Sweden",1774,404,2.70767341939564
"2020-W15",2020-04-06,"SE","Sweden",1808,422,2.82497335092181
"2020-W15",2020-04-07,"SE","Sweden",1865,434,2.82497335092181
"2020-W15",2020-04-08,"SE","Sweden",1913,454,2.82497335092181
"2020-W15",2020-04-09,"SE","Sweden",1922,465,2.82497335092181
"2020-W15",2020-04-10,"SE","Sweden",2011,482,2.82497335092181
"2020-W15",2020-04-11,"SE","Sweden",2054,494,2.82497335092181
"2020-W15",2020-04-12,"SE","Sweden",2104,504,2.82497335092181
"2020-W16",2020-04-13,"SE","Sweden",2175,517,2.44374857346177
"2020-W16",2020-04-14,"SE","Sweden",2199,518,2.44374857346177
"2020-W16",2020-04-15,"SE","Sweden",2229,526,2.44374857346177
"2020-W16",2020-04-16,"SE","Sweden",2229,522,2.44374857346177
