"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","hosp_weekly_admission","icu_weekly_admission"
"2020-W09",2020-02-25,"NL","Netherlands",NA,NA,0.225666196991661,0.0173589382301278
"2020-W09",2020-02-26,"NL","Netherlands",NA,NA,0.225666196991661,0.0173589382301278
"2020-W09",2020-02-27,"NL","Netherlands",NA,14,0.225666196991661,0.0173589382301278
"2020-W09",2020-02-28,"NL","Netherlands",NA,15,0.225666196991661,0.0173589382301278
"2020-W09",2020-02-29,"NL","Netherlands",NA,16,0.225666196991661,0.0173589382301278
"2020-W09",2020-03-01,"NL","Netherlands",NA,18,0.225666196991661,0.0173589382301278
"2020-W09",2020-03-02,"NL","Netherlands",NA,17,0.225666196991661,0.0173589382301278
"2020-W09",2020-03-03,"NL","Netherlands",NA,19,0.225666196991661,0.0173589382301278
"2020-W10",2020-03-04,"NL","Netherlands",NA,22,0.480263957700202,0.104153629380767
"2020-W10",2020-03-05,"NL","Netherlands",NA,22,0.480263957700202,0.104153629380767
"2020-W10",2020-03-06,"NL","Netherlands",NA,26,0.480263957700202,0.104153629380767
"2020-W10",2020-03-07,"NL","Netherlands",NA,28,0.480263957700202,0.104153629380767
"2020-W10",2020-03-08,"NL","Netherlands",NA,34,0.480263957700202,0.104153629380767
"2020-W11",2020-03-09,"NL","Netherlands",NA,39,2.06571364938521,0.601776525311097
"2020-W11",2020-03-10,"NL","Netherlands",NA,47,2.06571364938521,0.601776525311097
"2020-W11",2020-03-11,"NL","Netherlands",NA,55,2.06571364938521,0.601776525311097
"2020-W11",2020-03-12,"NL","Netherlands",NA,75,2.06571364938521,0.601776525311097
"2020-W11",2020-03-13,"NL","Netherlands",NA,86,2.06571364938521,0.601776525311097
"2020-W11",2020-03-14,"NL","Netherlands",NA,104,2.06571364938521,0.601776525311097
"2020-W11",2020-03-15,"NL","Netherlands",NA,127,2.06571364938521,0.601776525311097
"2020-W11",2020-03-16,"NL","Netherlands",NA,158,2.06571364938521,0.601776525311097
"2020-W12",2020-03-17,"NL","Netherlands",NA,188,7.97353896037203,2.3318840355805
"2020-W12",2020-03-18,"NL","Netherlands",NA,238,7.97353896037203,2.3318840355805
"2020-W12",2020-03-19,"NL","Netherlands",NA,296,7.97353896037203,2.3318840355805
"2020-W12",2020-03-20,"NL","Netherlands",NA,371,7.97353896037203,2.3318840355805
"2020-W12",2020-03-21,"NL","Netherlands",NA,440,7.97353896037203,2.3318840355805
"2020-W12",2020-03-22,"NL","Netherlands",NA,490,7.97353896037203,2.3318840355805
"2020-W13",2020-03-23,"NL","Netherlands",NA,583,16.3984103147274,4.17193148797405
"2020-W13",2020-03-24,"NL","Netherlands",NA,664,16.3984103147274,4.17193148797405
"2020-W13",2020-03-25,"NL","Netherlands",NA,762,16.3984103147274,4.17193148797405
"2020-W13",2020-03-26,"NL","Netherlands",NA,847,16.3984103147274,4.17193148797405
"2020-W13",2020-03-27,"NL","Netherlands",NA,934,16.3984103147274,4.17193148797405
