"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","hosp_weekly_admission"
"2020-W09",2020-02-25,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W09",2020-02-26,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W09",2020-02-27,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W09",2020-02-28,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W09",2020-02-29,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W09",2020-03-01,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W09",2020-03-02,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W09",2020-03-03,"GB","United Kingdom",NA,NA,0.007502200545464
"2020-W10",2020-03-04,"GB","United Kingdom",NA,NA,0.151544451018373
"2020-W10",2020-03-05,"GB","United Kingdom",NA,NA,0.151544451018373
"2020-W10",2020-03-06,"GB","United Kingdom",NA,NA,0.151544451018373
"2020-W10",2020-03-07,"GB","United Kingdom",NA,NA,0.151544451018373
"2020-W10",2020-03-08,"GB","United Kingdom",NA,NA,0.151544451018373
"2020-W11",2020-03-09,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W11",2020-03-10,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W11",2020-03-11,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W11",2020-03-12,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W11",2020-03-13,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W11",2020-03-14,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W11",2020-03-15,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W11",2020-03-16,"GB","United Kingdom",NA,NA,0.267078339418518
"2020-W12",2020-03-17,"GB","United Kingdom",NA,NA,4.9589545605517
"2020-W12",2020-03-18,"GB","United Kingdom",NA,NA,4.9589545605517
"2020-W12",2020-03-19,"GB","United Kingdom",NA,NA,4.9589545605517
"2020-W12",2020-03-20,"GB","United Kingdom",NA,NA,4.9589545605517
"2020-W12",2020-03-21,"GB","United Kingdom",NA,NA,4.9589545605517
"2020-W12",2020-03-22,"GB","United Kingdom",NA,NA,4.9589545605517
"2020-W13",2020-03-23,"GB","United Kingdom",NA,NA,20.8711219174808
"2020-W13",2020-03-24,"GB","United Kingdom",NA,NA,20.8711219174808
"2020-W13",2020-03-25,"GB","United Kingdom",NA,NA,20.8711219174808
"2020-W13",2020-03-26,"GB","United Kingdom",NA,NA,20.8711219174808
"2020-W13",2020-03-27,"GB","United Kingdom",7043,NA,20.8711219174808
"2020-W13",2020-03-28,"GB","United Kingdom",8019,NA,20.8711219174808
"2020-W13",2020-03-29,"GB","United Kingdom",9237,NA,20.8711219174808
"2020-W14",2020-03-30,"GB","United Kingdom",10732,NA,32.4635222003318
"2020-W14",2020-03-31,"GB","United Kingdom",12205,NA,32.4635222003318
"2020-W14",2020-04-01,"GB","United Kingdom",13113,NA,32.4635222003318
"2020-W14",2020-04-02,"GB","United Kingdom",13268,1813,32.4635222003318
"2020-W14",2020-04-03,"GB","United Kingdom",14751,2120,32.4635222003318
"2020-W14",2020-04-04,"GB","United Kingdom",16610,2309,32.4635222003318
"2020-W14",2020-04-05,"GB","United Kingdom",17805,2469,32.4635222003318
"2020-W15",2020-04-06,"GB","United Kingdom",18285,2644,27.7341349764713
"2020-W15",2020-04-07,"GB","United Kingdom",18985,2864,27.7341349764713
"2020-W15",2020-04-08,"GB","United Kingdom",19367,2967,27.7341349764713
"2020-W15",2020-04-09,"GB","United Kingdom",19530,2963,27.7341349764713
"2020-W15",2020-04-10,"GB","United Kingdom",19654,3228,27.7341349764713
"2020-W15",2020-04-11,"GB","United Kingdom",19527,3274,27.7341349764713
"2020-W15",2020-04-12,"GB","United Kingdom",19881,3301,27.7341349764713
"2020-W16",2020-04-13,"GB","United Kingdom",19404,3277,20.0923935008617
"2020-W16",2020-04-14,"GB","United Kingdom",19264,3234,20.0923935008617
"2020-W16",2020-04-15,"GB","United Kingdom",18560,3228,20.0923935008617
"2020-W16",2020-04-16,"GB","United Kingdom",18286,3222,20.0923935008617
"2020-W16",2020-04-17,"GB","United Kingdom",17330,3162,20.0923935008617
"2020-W16",2020-04-18,"GB","United Kingdom",17470,3247,20.0923935008617
"2020-W16",2020-04-19,"GB","United Kingdom",17482,3176,20.0923935008617
"2020-W17",2020-04-20,"GB","United Kingdom",17362,3130,15.9436765992201
"2020-W17",2020-04-21,"GB","United Kingdom",17105,3036,15.9436765992201
"2020-W17",2020-04-22,"GB","United Kingdom",16533,2964,15.9436765992201
"2020-W17",2020-04-23,"GB","United Kingdom",15968,2867,15.9436765992201
"2020-W17",2020-04-24,"GB","United Kingdom",15348,2703,15.9436765992201
"2020-W17",2020-04-25,"GB","United Kingdom",14810,2702,15.9436765992201
"2020-W17",2020-04-26,"GB","United Kingdom",14705,2580,15.9436765992201
"2020-W18",2020-04-27,"GB","United Kingdom",14800,2454,14.4252312088182
"2020-W18",2020-04-28,"GB","United Kingdom",14125,2347,14.4252312088182
"2020-W18",2020-04-29,"GB","United Kingdom",13865,2286,14.4252312088182
"2020-W18",2020-04-30,"GB","United Kingdom",13490,2224,14.4252312088182
"2020-W18",2020-05-01,"GB","United Kingdom",13065,2178,14.4252312088182
"2020-W18",2020-05-02,"GB","United Kingdom",12780,2068,14.4252312088182
"2020-W18",2020-05-03,"GB","United Kingdom",12623,2009,14.4252312088182
"2020-W19",2020-05-04,"GB","United Kingdom",12509,1936,11.3028153417961
"2020-W19",2020-05-05,"GB","United Kingdom",12167,1874,11.3028153417961
"2020-W19",2020-05-06,"GB","United Kingdom",11697,1802,11.3028153417961
"2020-W19",2020-05-07,"GB","United Kingdom",11176,1685,11.3028153417961
"2020-W19",2020-05-08,"GB","United Kingdom",10703,1641,11.3028153417961
"2020-W19",2020-05-09,"GB","United Kingdom",10716,1585,11.3028153417961
"2020-W19",2020-05-10,"GB","United Kingdom",10446,1538,11.3028153417961
"2020-W20",2020-05-11,"GB","United Kingdom",10672,1485,9.53979821361202
"2020-W20",2020-05-12,"GB","United Kingdom",10355,1414,9.53979821361202
"2020-W20",2020-05-13,"GB","United Kingdom",10100,1342,9.53979821361202
"2020-W20",2020-05-14,"GB","United Kingdom",9713,1314,9.53979821361202
"2020-W20",2020-05-15,"GB","United Kingdom",9508,1302,9.53979821361202
"2020-W20",2020-05-16,"GB","United Kingdom",9116,1234,9.53979821361202
"2020-W20",2020-05-17,"GB","United Kingdom",9135,1196,9.53979821361202
"2020-W21",2020-05-18,"GB","United Kingdom",9107,1141,8.08287086768291
"2020-W21",2020-05-19,"GB","United Kingdom",8926,1106,8.08287086768291
"2020-W21",2020-05-20,"GB","United Kingdom",8526,1034,8.08287086768291
"2020-W21",2020-05-21,"GB","United Kingdom",8281,1008,8.08287086768291
"2020-W21",2020-05-22,"GB","United Kingdom",8246,964,8.08287086768291
"2020-W21",2020-05-23,"GB","United Kingdom",7882,926,8.08287086768291
"2020-W21",2020-05-24,"GB","United Kingdom",7885,886,8.08287086768291
"2020-W22",2020-05-25,"GB","United Kingdom",7908,863,6.63644660251745
"2020-W22",2020-05-26,"GB","United Kingdom",7813,847,6.63644660251745
"2020-W22",2020-05-27,"GB","United Kingdom",7488,783,6.63644660251745
"2020-W22",2020-05-28,"GB","United Kingdom",7225,751,6.63644660251745
"2020-W22",2020-05-29,"GB","United Kingdom",6922,719,6.63644660251745
"2020-W22",2020-05-30,"GB","United Kingdom",6632,704,6.63644660251745
"2020-W22",2020-05-31,"GB","United Kingdom",6599,679,6.63644660251745
"2020-W23",2020-06-01,"GB","United Kingdom",6647,652,5.63565304975255
"2020-W23",2020-06-02,"GB","United Kingdom",6462,636,5.63565304975255
"2020-W23",2020-06-03,"GB","United Kingdom",6266,602,5.63565304975255
"2020-W23",2020-06-04,"GB","United Kingdom",6007,571,5.63565304975255
"2020-W23",2020-06-05,"GB","United Kingdom",5852,554,5.63565304975255
"2020-W23",2020-06-06,"GB","United Kingdom",5642,540,5.63565304975255
"2020-W23",2020-06-07,"GB","United Kingdom",5440,515,5.63565304975255
"2020-W24",2020-06-08,"GB","United Kingdom",5419,509,4.49981988716931
"2020-W24",2020-06-09,"GB","United Kingdom",5239,491,4.49981988716931
"2020-W24",2020-06-10,"GB","United Kingdom",4981,439,4.49981988716931
"2020-W24",2020-06-11,"GB","United Kingdom",4740,390,4.49981988716931
"2020-W24",2020-06-12,"GB","United Kingdom",4669,393,4.49981988716931
"2020-W24",2020-06-13,"GB","United Kingdom",4527,390,4.49981988716931
"2020-W24",2020-06-14,"GB","United Kingdom",4526,393,4.49981988716931
"2020-W25",2020-06-15,"GB","United Kingdom",4496,385,3.91314780451402
"2020-W25",2020-06-16,"GB","United Kingdom",4496,378,3.91314780451402
"2020-W25",2020-06-17,"GB","United Kingdom",4354,357,3.91314780451402
"2020-W25",2020-06-18,"GB","United Kingdom",4223,352,3.91314780451402
"2020-W25",2020-06-19,"GB","United Kingdom",4085,330,3.91314780451402
"2020-W25",2020-06-20,"GB","United Kingdom",3933,315,3.91314780451402
"2020-W25",2020-06-21,"GB","United Kingdom",3905,310,3.91314780451402
"2020-W26",2020-06-22,"GB","United Kingdom",3968,340,3.4165021284043
"2020-W26",2020-06-23,"GB","United Kingdom",3849,311,3.4165021284043
"2020-W26",2020-06-24,"GB","United Kingdom",3739,316,3.4165021284043
"2020-W26",2020-06-25,"GB","United Kingdom",3593,276,3.4165021284043
"2020-W26",2020-06-26,"GB","United Kingdom",3370,268,3.4165021284043
"2020-W26",2020-06-27,"GB","United Kingdom",3293,270,3.4165021284043
"2020-W26",2020-06-28,"GB","United Kingdom",3317,270,3.4165021284043
"2020-W27",2020-06-29,"GB","United Kingdom",3500,262,2.41420813553031
"2020-W27",2020-06-30,"GB","United Kingdom",3155,279,2.41420813553031
