"Date","CountryName","RegionName","cases","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","X","date","estimate","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"Bulgaria","",0,NA,0,0,0,NA,NA,0,0,0
2020-01-02,"Bulgaria","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-03,"Bulgaria","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-04,"Bulgaria","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-05,"Bulgaria","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-06,"Bulgaria","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-07,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-08,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-09,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-10,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-11,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-12,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-13,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-14,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-15,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-16,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-17,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-18,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-19,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-20,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-21,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-22,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-23,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-24,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-25,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-26,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-27,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-28,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-29,"Bulgaria","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-30,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-01-31,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-01,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-02,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-03,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-04,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-05,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-06,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-07,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-08,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-09,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-10,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-11,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-12,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-13,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-14,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-15,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-16,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-17,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-18,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
2020-02-19,"Bulgaria","",0,0,0,0,0,NA,NA,0,0,0
